component,Calanoida indet (small),Calanoides acutus,Calanus propinquus,Calanus simillimus,Candacia sp.,Chaetognatha indet,Clausocalanus brevipes,Clausocalanus laticeps,Copepoda nauplius indet,Ctenocalanus sp.,Eukrohnia hamata,Euphausia frigida,Euphausia frigida furcilia,Euphausia triacantha,Euphausia triacantha furcilia,Euphausia vallentini,Euphausiidae calyptopis indet,Euphausiidae furcilia indet,Euphausiidae indet,Foraminifera indet,Fritillaria sp.,Harpacticoida indet,Hyperiidea indet,Limacina sp.,Metridia gerlachei,Metridia lucens,Metridia sp.,Oikopleura sp.,Oithona similis,Ostracoda indet,Paraeuchaeta sp.,Pisces larvae,Pleuromamma robusta,Rhincalanus gigas,Rhincalanus gigas nauplius,Salpa thompsoni,Subeucalanus longiceps,Subeucalanus sp.,Themisto gaudichaudii,Thysanoessa macrura,Thysanoessa macrura F1,Thysanoessa macrura F2,Thysanoessa macrura F3,Thysanoessa macrura F4,Thysanoessa macrura F5,Tomopteris sp.
component_1,0.5478967225513055,0.0,0.0,0.03540714782351263,0.00016357872666868947,0.0,0.004738274586457402,0.0011998595183543915,0.0001697100561631364,0.3091656113362913,1.0528990382355654e-05,0.0003435486531818775,0.00043302231104958906,3.773993121221039e-05,0.0,0.0,2.8321122797523603e-05,0.0012572095598894428,0.0,7.41096784533865e-05,0.0,0.0,0.0008161591494709356,0.001921254991054886,0.0,8.576138170034252e-06,2.4238066797958045e-05,0.0,0.09272536391357725,0.002567906215833964,0.0002716067078332306,2.4208796522596303e-05,7.07584369248378e-06,8.576138170034252e-06,0.0,6.447808967035837e-06,0.0,4.07857431927794e-06,0.0,0.0,9.268626735457577e-06,1.2647314173786927e-05,0.00025465311776423893,0.0,0.0002882328825244243,0.00012432086867292876
component_2,0.005456962214599923,0.0010981054091673676,0.00018894388376494755,0.0,0.0,0.00010468145391526316,0.0,0.002946611646710169,0.07073566485039602,0.07600585248336819,3.4635393678007534e-05,0.0,0.0,6.83484632367664e-05,6.45019740045303e-05,9.409919903146212e-05,1.0275917110502776e-05,0.0013235157676689255,0.0001353333115755495,0.0021181030488561644,0.032282124439278165,0.0001879949239876981,0.0,0.0019369124165528426,1.481392734457344e-05,0.0,9.631070444365711e-06,0.0027536309613533563,0.7870861103967122,0.0,0.0,3.242952310109101e-05,1.481459728037036e-06,0.0,0.009971314294346655,7.1259500744480635e-06,1.8026417518445164e-05,1.9162976442844817e-05,0.0035937746425387567,0.00010415459892758941,0.00010382679190037399,7.769352120731623e-05,0.0006568950974800829,7.720069903174036e-05,0.0005852903242059909,9.477055073971259e-05
