component,Calanoida indet (small),Calanoides acutus,Calanus simillimus,Chaetognatha indet,Clausocalanus brevipes,Clausocalanus laticeps,Copepoda nauplius indet,Ctenocalanus citer,Decapoda zoea indet,Euchirella rostromagna,Eukrohnia hamata,Euphausia frigida,Euphausia longirostris furcilia,Euphausia vallentini,Euphausiidae calyptopis indet,Euphausiidae furcilia indet,Euphausiidae indet,Foraminifera indet,Fritillaria sp.,Hansarsia megalops,Harpacticoida indet,Hyperiella sp.,Hyperiidea indet,Limacina sp.,Metridia lucens,Myctophidae indet,Neocalanus tonsus,Oikopleura sp.,Oithona similis,Oncaea sp.,Ostracoda indet,Pelagobia longicirrata,Pisces larvae,Pleuromamma borealis,Pleuromamma robusta,Pseudosagitta gazellae,Rhincalanus gigas,Rhincalanus gigas nauplius,Salpa thompsoni,Scina sp.,Themisto gaudichaudii,Thysanoessa macrura,Thysanoessa macrura C2,Thysanoessa macrura C3,Thysanoessa macrura F1,Thysanoessa macrura F2,Thysanoessa macrura F3,Thysanoessa macrura F4,Vibilia antarctica
component_1,25.262229735077813,0.014315472571806464,2.939520630226847,0.0,3.2148073724075115,0.22552027040486491,1.302236536288383,0.8509843288020584,0.0004578901019886356,0.0009001307795568059,0.0004942930284986582,0.00898805999039878,0.0006740482033166722,0.0008933287756404489,0.6558230051726883,0.13411829228087113,0.01801775892541844,0.0,0.0,0.0017238371372358206,0.04362973607131165,0.008434880497840355,0.09716799446625878,0.3523857071524142,0.15562685030537116,0.0184010343656017,0.0,0.009677391390393803,1.0558393443271692,0.008190278313059948,0.18734239545029266,0.07946662443400437,0.00645038669271951,0.0,0.009880038891331353,0.0,0.03373238164957779,0.0,0.5128679218947931,0.00032535543828481674,0.14552235677647643,0.0,0.016645391028072432,0.03602302453725618,0.423590959315386,0.008554974464762699,0.0,0.0,0.03349679420196392
component_2,0.0,0.05841956466568769,0.43286519812280577,0.0,2.160040865687114,0.3871728930207995,0.29402290549084686,0.0,0.0,0.0015197617119733344,0.0013527131183129527,0.0077921447173945136,0.0,0.0011241514627193451,0.0,0.0,0.030038843442139702,0.06307448425361506,0.8170993459557708,0.0,0.0,0.05001086836408907,0.05477757911788452,0.08767008279059271,0.0,0.0039779281416418635,0.0,0.04354483594039915,15.400364399341715,0.0,0.0,0.0,0.019120294051630207,0.0005987852474516449,0.0,0.0009806258171303167,0.028306709135683845,11.575741619069277,0.0,0.00028418946749006067,0.0029293549964450995,0.21216959750921371,0.0,0.0,0.0,0.02266535519561423,0.05404363902537543,0.0981221694360543,0.028607101824926446
component_3,0.0,0.0007175751261666183,0.0,0.008338730814870783,0.15224775919561562,0.006664737010484486,0.0,0.0008460646716528957,0.002999593279066868,0.015360298882514622,0.0,0.00042123203889328416,2.7210179060741033e-06,0.013696845020946138,0.005572223378961978,0.001789135110712534,0.008124779349855326,0.00021096958315238397,0.0,0.016342571574526715,0.0,0.0,0.005950814676350527,0.0,0.0,0.0,14.413731162547794,0.0008341069456233623,0.02307025672082547,0.009983851886977658,0.004145963999971051,0.0,0.0005375374959204624,0.010018360059981763,0.0,0.012697658845892853,0.0013203705308727964,0.0,0.013135019975227894,0.0009986739320386917,0.004764766144577694,0.0,0.0,0.0,0.004793701136687541,0.0,0.0,0.0,0.0
