Topic_Name,K,Perplexity,Coherence
K2_MC0,2,9.35983411674536,0.4047421221365316
K2_MC1,2,9.35983411674536,0.4047421221365316
K3_MC0,3,8.496712060943237,0.4614571228013098
K3_MC1,3,8.496712060943237,0.4614571228013098
K3_MC2,3,8.496712060943237,0.4614571228013098
K4_MC0,4,7.98598218633053,0.44998517057905996
K4_MC1,4,7.98598218633053,0.44998517057905996
K4_MC2,4,7.98598218633053,0.44998517057905996
K4_MC3,4,7.98598218633053,0.44998517057905996
K5_MC0,5,7.548967771073556,0.4398634968477767
K5_MC1,5,7.548967771073556,0.4398634968477767
K5_MC2,5,7.548967771073556,0.4398634968477767
K5_MC3,5,7.548967771073556,0.4398634968477767
K5_MC4,5,7.548967771073556,0.4398634968477767
K6_MC0,6,7.2540659754585315,0.42146707547367696
K6_MC1,6,7.2540659754585315,0.42146707547367696
K6_MC2,6,7.2540659754585315,0.42146707547367696
K6_MC3,6,7.2540659754585315,0.42146707547367696
K6_MC4,6,7.2540659754585315,0.42146707547367696
K6_MC5,6,7.2540659754585315,0.42146707547367696
K7_MC0,7,6.79761885647164,0.4668050523097752
K7_MC1,7,6.79761885647164,0.4668050523097752
K7_MC2,7,6.79761885647164,0.4668050523097752
K7_MC3,7,6.79761885647164,0.4668050523097752
K7_MC4,7,6.79761885647164,0.4668050523097752
K7_MC5,7,6.79761885647164,0.4668050523097752
K7_MC6,7,6.79761885647164,0.4668050523097752
K8_MC0,8,6.710512163401436,0.4234589877844482
K8_MC1,8,6.710512163401436,0.4234589877844482
K8_MC2,8,6.710512163401436,0.4234589877844482
K8_MC3,8,6.710512163401436,0.4234589877844482
K8_MC4,8,6.710512163401436,0.4234589877844482
K8_MC5,8,6.710512163401436,0.4234589877844482
K8_MC6,8,6.710512163401436,0.4234589877844482
K8_MC7,8,6.710512163401436,0.4234589877844482
K9_MC0,9,6.633853232882979,0.38514643934999315
K9_MC1,9,6.633853232882979,0.38514643934999315
K9_MC2,9,6.633853232882979,0.38514643934999315
K9_MC3,9,6.633853232882979,0.38514643934999315
K9_MC4,9,6.633853232882979,0.38514643934999315
K9_MC5,9,6.633853232882979,0.38514643934999315
K9_MC6,9,6.633853232882979,0.38514643934999315
K9_MC7,9,6.633853232882979,0.38514643934999315
K9_MC8,9,6.633853232882979,0.38514643934999315
K10_MC0,10,6.5312558382883505,0.45079606008420886
K10_MC1,10,6.5312558382883505,0.45079606008420886
K10_MC2,10,6.5312558382883505,0.45079606008420886
K10_MC3,10,6.5312558382883505,0.45079606008420886
K10_MC4,10,6.5312558382883505,0.45079606008420886
K10_MC5,10,6.5312558382883505,0.45079606008420886
K10_MC6,10,6.5312558382883505,0.45079606008420886
K10_MC7,10,6.5312558382883505,0.45079606008420886
K10_MC8,10,6.5312558382883505,0.45079606008420886
K10_MC9,10,6.5312558382883505,0.45079606008420886
K11_MC0,11,6.567313150416241,0.3966227134243738
K11_MC1,11,6.567313150416241,0.3966227134243738
K11_MC10,11,6.567313150416241,0.3966227134243738
K11_MC2,11,6.567313150416241,0.3966227134243738
K11_MC3,11,6.567313150416241,0.3966227134243738
K11_MC4,11,6.567313150416241,0.3966227134243738
K11_MC5,11,6.567313150416241,0.3966227134243738
K11_MC6,11,6.567313150416241,0.3966227134243738
K11_MC7,11,6.567313150416241,0.3966227134243738
K11_MC8,11,6.567313150416241,0.3966227134243738
K11_MC9,11,6.567313150416241,0.3966227134243738
K12_MC0,12,6.278925781642524,0.3847579527778245
K12_MC1,12,6.278925781642524,0.3847579527778245
K12_MC10,12,6.278925781642524,0.3847579527778245
K12_MC11,12,6.278925781642524,0.3847579527778245
K12_MC2,12,6.278925781642524,0.3847579527778245
K12_MC3,12,6.278925781642524,0.3847579527778245
K12_MC4,12,6.278925781642524,0.3847579527778245
K12_MC5,12,6.278925781642524,0.3847579527778245
K12_MC6,12,6.278925781642524,0.3847579527778245
K12_MC7,12,6.278925781642524,0.3847579527778245
K12_MC8,12,6.278925781642524,0.3847579527778245
K12_MC9,12,6.278925781642524,0.3847579527778245
K13_MC0,13,6.300564875181576,0.4086910290854586
K13_MC1,13,6.300564875181576,0.4086910290854586
K13_MC10,13,6.300564875181576,0.4086910290854586
K13_MC11,13,6.300564875181576,0.4086910290854586
