component,Calanoida indet (small),Calanoides acutus,Calanus simillimus,Chaetognatha indet,Cirripedia nauplius,Clausocalanus laticeps,Clausocalanus sp.,Clio pyramidata,Copepoda nauplius indet,Ctenocalanus sp.,Euphausia frigida,Euphausia similis,Euphausia vallentini,Euphausiidae calyptopis indet,Euphausiidae furcilia indet,Euphausiidae indet,Foraminifera indet,Fritillaria sp.,Hyperiidea indet,Metridia lucens,Metridia sp.,Microsetella sp.,Neocalanus tonsus,Oikopleura sp.,Oithona similis,Oncaea sp.,Ostracoda indet,Pisces larvae,Pseudosagitta gazellae,Rhincalanus gigas,Rhincalanus gigas nauplius,Sagittidae indet,Salpidae indet,Thysanoessa sp. furcilia,Tintinnina indet,Tomopteris sp.,Vibilia sp.
component_1,0.0,0.0,0.0,0.0,0.0,3.053108176414221e-05,0.0,2.5067739802419214e-06,0.123564650082503,0.0,0.0,0.0,0.0,0.0007790809389387235,0.0012008949922300914,0.00012500459121377361,0.03996643725985375,0.11346809355369597,0.0004891564082611154,0.0,0.0,0.0,6.899854968057732e-05,0.0,0.6280790132141689,0.0,0.0005955574345009601,0.000152246492392233,0.0,0.0,0.09111769879786498,0.0,0.0,0.00011469277453558505,0.0002454370544160458,0.0,0.0
component_2,0.09953129675363605,0.0,0.0010508968173297026,0.00015646282762260528,0.0,8.365102968961836e-05,0.0,2.5913328932179303e-05,0.0,0.0,0.00023497613705587687,0.0,4.36700488222059e-06,0.0,0.0,0.0,0.470532776927911,0.1791174836680842,0.0,0.0,0.0,1.379826399425786e-05,0.0,0.11802700845801506,0.07725415110840214,0.0,0.0021955079867472757,0.0,0.0,0.00013187583406249604,0.051456107835037776,1.0307212992269483e-05,0.0,0.0,0.00016497794110296662,8.440864502190035e-06,0.0
component_3,0.44406236704846563,0.0002513855582609091,0.007344478451150243,0.0008073169767259195,0.0004716794024416148,0.0004524205658418126,0.19493002500613318,0.0,0.014476276010324376,0.19858323250640403,0.000655226598321401,0.0028310103207990454,5.202664115721889e-05,0.010753611703355733,0.0015265037495282394,2.1275683124057777e-05,0.0,0.010658822486898006,0.0004892720144182185,0.00382744115419999,0.004811580042441601,0.000253400552535721,0.0016805723454010352,0.0,0.08962298785513412,0.003199320621374011,2.358688665621999e-05,0.0,0.0003175240561103697,0.00013183718899748408,0.0,3.148593777707158e-05,0.007220104013270219,0.0,0.0001706909895066897,0.00017651189047974305,0.00016602574276585466
