Segment_ID,component_1,component_2,component_3
SA_672.0_06-Dec-2012_09:05,0.14314362719224968,0.0,0.8568563728077503
SA_672.0_06-Dec-2012_09:40,0.10538476165237905,0.0,0.894615238347621
SA_672.0_06-Dec-2012_10:15,0.09721829456833374,0.025146151549453336,0.8776355538822129
SA_672.0_06-Dec-2012_10:49,0.023472211265695903,0.22353021241854243,0.7529975763157616
SA_672.0_06-Dec-2012_11:24,0.041195721497008675,0.09359666392822713,0.8652076145747642
SA_672.0_06-Dec-2012_11:57,0.05174488270810899,0.09633477615313017,0.8519203411387608
SA_672.0_06-Dec-2012_12:31,0.02830882194266178,0.06539415901898032,0.9062970190383579
SA_672.0_06-Dec-2012_13:05,0.16155596067058994,0.0,0.8384440393294101
SA_672.0_06-Dec-2012_13:40,0.0,0.0,1.0
SA_672.0_06-Dec-2012_14:15,0.01236699594120752,0.018233211338512786,0.9693997927202797
SA_672.0_06-Dec-2012_14:50,0.01447902436403054,0.010017150074015,0.9755038255619545
SA_672.0_06-Dec-2012_16:02,0.46783450785240105,0.4590905707252661,0.0730749214223328
SA_672.0_06-Dec-2012_16:39,0.40261159820686354,0.2014995899127635,0.395888811880373
SA_672.0_06-Dec-2012_17:51,0.40376386694915567,0.5512759993238757,0.04496013372696855
SA_672.0_06-Dec-2012_18:27,0.18319237312669914,0.3137410442954387,0.5030665825778621
SA_672.0_06-Dec-2012_19:03,0.20233540531940508,0.5033356841439895,0.2943289105366054
SA_672.0_06-Dec-2012_20:14,0.34530902430528065,0.28742050308798794,0.3672704726067314
SA_672.0_06-Dec-2012_20:50,0.326928699823226,0.30362304948802904,0.369448250688745
SA_672.0_06-Dec-2012_21:26,0.652245972480924,0.15854823685158367,0.1892057906674924
SA_672.0_06-Dec-2012_22:03,0.547789689023695,0.31961774387792086,0.1325925670983841
SA_672.0_06-Dec-2012_22:41,0.6052107836760344,0.2610339020094074,0.133755314314558
SA_672.0_06-Dec-2012_23:19,0.6884070714142191,0.18635593267331874,0.1252369959124623
