component,Calanoida indet (small),Calanoides acutus,Calanus propinquus,Calanus simillimus,Clausocalanus brevipes,Clausocalanus laticeps,Copepoda nauplius indet,Euphausia superba,Euphausiidae furcilia indet,Euphausiidae indet,Foraminifera indet,Fritillaria sp.,Limacina sp.,Metridia gerlachei,Metridia lucens,Oikopleura sp.,Oithona similis,Pelagobia longicirrata,Rhincalanus gigas,Rhincalanus gigas nauplius,Salpa thompsoni,Spongiobranchaea australis,Themisto gaudichaudii,Thysanoessa macrura,Thysanoessa macrura F1,Thysanoessa macrura F4
component_1,30.873912492324173,0.0329527113343913,0.004415176709708371,0.3113973324158068,0.06432467624846312,0.0,0.0,0.0006380112326231949,0.0,0.0006916095454881161,3.853482122661061,0.0,0.00034681102177842,3.895043368690332e-05,0.0,0.0,1.0002575478037496,0.0,0.0,0.5405098904315232,0.0,0.0,0.05031704058749358,0.0030222681658201747,0.0,0.008866469509942458
component_2,0.0007250478400069213,0.0,0.0,0.033597133639970564,0.0,0.04399553388734953,0.198784412125831,0.0,0.011609182273223738,0.011267488470197061,0.2860119967679625,0.4312171894456932,0.0,0.0,0.047794463092930395,0.010157847691405378,33.179863957525065,0.01978004442746341,0.01011375894499172,0.405162951835184,0.0035922511440992294,0.0016520476513089367,0.0,0.0033773650301354716,0.014281248349998738,0.009432883981258347
