component,Calanoida indet (small),Calanoides acutus,Calanus propinquus,Calanus simillimus,Candacia maxima,Chaetognatha indet,Cnidaria indet,Cyllopus lucasii,Decapoda (natant) indet juv,Decapoda zoea indet,Eukrohnia hamata,Euphausia frigida calyptopis,Euphausia frigida furcilia,Euphausia superba,Euphausia triacantha,Euphausia triacantha calyptopis,Euphausia triacantha furcilia,Euphausia vallentini,Euphausiidae calyptopis indet,Foraminifera indet,Fritillaria sp.,Harpacticoida indet,Heterorhabdus austrinus,Hyperiella dilatata,Limacina sp.,Nauplius indet,Oikopleura sp.,Oithona similis,Ostracoda indet,Paraeuchaeta antarctica,Paraeuchaeta sp.,Pelagobia longicirrata,Pisces egg,Pisces larvae,Pleuromamma robusta,Pseudosagitta gazellae,Rhincalanus gigas,Rhincalanus gigas nauplius,Salpa thompsoni,Spongiobranchaea australis,Themisto gaudichaudii,Thysanoessa macrura,Thysanoessa macrura calyptopis,Thysanoessa macrura furcilia,Tomopteris sp.
component_1,44.69582145744636,0.024220636068927385,0.0,0.36249458611110996,0.005195212775841911,0.0,0.0033766641956426823,0.0021173091085219028,0.0,0.002342527342232395,0.0,0.008705502320718855,0.0020609736987431096,0.0,0.00032105078909763443,0.0058977454726761745,0.00608858999785673,0.0,0.0,0.0,0.06914868483425061,0.00021763934055851048,0.001401387899526761,0.0,0.656244491576579,0.04136473112553772,0.09497229276062583,21.026745732230687,0.02158453316927839,0.003642379888863767,0.010437725485438762,0.0005624096401822528,0.0032230601094623283,0.002785010802682748,0.0017938862735652284,0.0,0.4776561809366375,0.8790927352793592,0.001972310165305783,0.0020194576816313856,0.08023499084035711,0.0420357456314734,0.0,0.6388322826458885,0.0021556204855001523
component_2,2.300403111004941,0.4351834407502892,0.0,0.1568653685696902,0.0,0.007055901287714166,0.0,0.00016325828936810812,0.0004926513860304915,0.0,0.026977267836790997,0.0031417740078444776,0.0,0.002958133127664467,0.0,0.0,0.0,0.0,0.0013871132993267797,0.149916024529422,0.38693108254108943,0.001444719948386837,0.0,0.0038576423278974784,0.0,0.4236259147744083,0.5593405474501622,34.18480513509827,0.017795312197291992,0.0,0.0,0.0033927832948599194,0.002864847351752163,0.0029643968263619517,0.0033852392312211815,0.010494854187836768,0.13079110401387087,0.6031187125266992,0.01012522167509863,0.0,0.19245996632033435,0.0,0.0015611162731482566,0.0,0.00433325811888056
component_3,13.152362301912381,0.0,6.270806580138315,0.0,0.015318221953339563,0.0037850500555225326,0.0,0.0,0.0,0.006454136315033448,0.013376740372901885,0.08064555486907657,0.0073572018038882,0.0,2.7810936815994296e-05,0.0020849530749227126,0.08998630030261649,0.08919472542620716,0.029162101520101655,0.0711185848376772,0.0,0.008120607317781373,0.008417072119287638,0.0,2.4387991280283488,0.22068335729325492,0.4657256116064337,2.678382890344201,0.11843180747795883,0.015685404365495446,0.10731602659328614,0.014084554461562176,0.030541974665492033,0.008745940019737412,0.0,0.016707036662568422,0.0,0.0,0.014640025736358878,0.0,1.2169222465896705,0.09776519972422286,0.025007983501993045,0.5630385081183888,0.005408248573951768
