component,Acartia sp.,Bivalvia larvae,Bryozoa larvae,Calanoida indet (small),Calanoides acutus,Calanoides brevicornis,Calanoides sp.,Calanus australis,Calanus propinquus,Calanus simillimus,Calocalanus sp.,Candacia sp.,Centropages aucklandicus,Centropages bradyi,Chaetognatha indet,Cirripedia cyprid,Cirripedia nauplius,Clausocalanus brevipes,Clausocalanus laticeps,Clausocalanus sp.,Clione limacina antarctica,Cnidaria indet,Copepoda indet,Copepoda nauplius indet,Ctenocalanus sp.,Decapoda (natant) indet juv,Decapoda zoea indet,Egg indet,Eucalanus sp.,Euchirella rostrata,Euchirella sp.,Euphausia lucens,Euphausia similis var armata,Euphausia superba,Euphausia vallentini,Euphausiidae calyptopis indet,Euphausiidae furcilia indet,Euphausiidae indet,Euphausiidae nauplius indet,Foraminifera indet,Fritillaria sp.,Gammaridea indet,Gastropoda indet,Globigerina bulloides,Globorotalia sp.,Heterorhabdus spinifrons,Hyperiidea indet,Limacina sp.,Mesocalanus sp.,Metridia gerlachei,Metridia lucens,Metridia sp.,Microcalanus pygmaeus,Microsetella rosea,Microsetella sp.,Neocalanus tonsus,Neogloboquadrina pachyderma,Nyctiphanes australis,Oikopleura sp.,Oithona similis,Oncaea sp.,Orcadia riedeli,Ostracoda indet,Paracalanus sp.,Paraeuchaeta sp.,Phronima sp.,Pisces egg,Pisces larvae,Pleuragramma antarctica,Pleuromamma gracilis,Pleuromamma robusta,Polychaeta indet,Polychaeta larvae,Primno macropa,Pseudosagitta gazellae,Pteropoda indet,Pyrosomatidae indet,Radiozoa indet,Rhincalanus gigas,Rhincalanus gigas nauplius,Rhincalanus sp.,Sagittidae indet,Salpa thompsoni,Salpidae indet,Scolecithricella minor,Scolecithricella sp.,Sergestidae indet,Siphonophorae nectophore,Solidosagitta marri,Spongiobranchaea australis,Stephos longipes,Teuthida indet,Thalia sp.,Themisto australis,Themisto gaudichaudii,Themisto sp.,Thysanoessa macrura,Thysanoessa macrura C2,Thysanoessa macrura C3,Thysanoessa macrura F1,Thysanoessa macrura F2,Thysanoessa macrura F3,Thysanoessa macrura F4,Thysanoessa macrura F5,Thysanoessa macrura F6,Thysanoessa macrura furcilia,Thysanoessa sp.,Thysanoessa sp. furcilia,Tintinnina indet,Vibilia sp.
component_1,6.671438818628537e-05,1.0137522749181315e-05,3.334041563051849e-05,0.026158474261907746,0.001982318356044549,1.8748372538204902e-05,0.0005176609863648866,0.0011351643807418657,0.0,0.0,7.471765487581416e-05,0.0,0.00017349132238013274,0.00024628098003981024,0.0008112920998204688,1.531634526276584e-05,3.1543765113794803e-06,0.00036745864426661616,0.0004178825544847828,0.006869574119136538,2.9515020724424865e-06,3.59479714584298e-06,0.11369956129784227,0.0,0.019558479551253748,1.620098436401395e-06,5.192869996993601e-05,1.05953536940444e-09,7.017239165702356e-05,1.2335875265262292e-06,0.0,4.971060463863771e-05,0.0,0.0,0.00021801468172198536,0.005067417338541317,0.0015257601619123465,0.0006517573150340987,0.00043664548271801594,0.03264814405998726,0.046942678958781,2.055712116976839e-06,2.2469847837970802e-06,0.0,8.66002144942438e-06,3.972722753247477e-07,6.458219072133155e-05,0.0008910111823909164,0.0008641288803333305,0.0,0.00013047030954293153,0.0,0.0017905785720125353,0.0006015388235115734,0.0,0.0010471561064489588,0.0,0.0010508608006737227,0.003482692155715448,0.6597406340476768,0.0024402984349661165,3.686007987441179e-05,7.985841356724598e-05,0.022289600028353333,0.0,1.3525447377112474e-05,4.472445773970914e-05,1.588939844396706e-05,1.8858040842648028e-06,1.5150124227041588e-05,1.098685787328291e-06,1.0234190654330287e-06,6.948456205389747e-05,1.074911703090673e-05,4.575820165565426e-06,0.0,6.936109351249774e-05,0.008033422774593884,2.8123577022247188e-05,0.027914473665062795,2.992548373430309e-05,5.516916441599878e-05,2.345416842968092e-06,3.7060424089615114e-06,0.0,7.006675129009855e-05,2.445242767582173e-06,1.7783177513863623e-05,3.1190227470924886e-05,5.3344029353536315e-06,1.906822799439186e-06,4.561532854131002e-06,0.004801215986803979,0.0,0.0,5.666105797507566e-07,0.0002165062335263134,1.0120419488869086e-06,0.0,0.0,0.0,0.0,4.7911903975360376e-05,0.0,0.0,0.0,0.000619695837936019,0.0,0.0035101407878992638,0.0
component_2,4.735362727963921e-08,7.577431931067499e-06,0.0,0.01367752501836764,0.0,8.971063863041823e-07,1.97776695873477e-06,0.0,1.8465118604553833e-07,0.4953281152535183,2.8693715776398992e-06,0.00019326084221096831,0.0,0.0,0.0003706403921639152,5.9251835096623305e-06,0.0,1.9889019368687673e-05,0.00012184882481997784,0.018598969861122455,2.8043285997387945e-06,4.437929251221554e-05,0.014333791808976908,0.0,0.04799805214622808,3.1890819149993243e-06,0.0,6.229901033756488e-08,0.0,8.209826031404522e-05,0.00043532083004886666,3.708229752832457e-05,0.00013483574994829612,0.0002570205262172467,0.007095340279611106,0.0003242417438021896,0.0026080864147445316,0.00707218183114655,0.0,0.04027742174596279,0.0,0.00012775780256135986,4.782171164305004e-07,0.00788399424730821,2.3210956344406673e-06,4.480767517078792e-05,0.0022688221817719722,0.2864537799272998,4.138646274647305e-05,2.7180683059246923e-06,0.004423185646802372,0.005265297409690923,0.0025513071329506653,4.741965907626266e-05,0.00021203517093977932,0.007796178975781048,4.318831271377708e-05,3.752382242068148e-05,0.00023804886173611436,0.005207593838897514,0.0,7.920961260395232e-06,0.002715895230263342,0.0,0.001282697494420607,0.0,5.855421901317443e-07,7.20409612746711e-05,0.0,7.226888172988473e-08,1.4054805994458194e-06,4.013680229025134e-06,0.00045031086440381604,0.00021696822313632764,5.0885459345170014e-06,0.0,0.0,0.00027701130252027394,0.0,0.0,0.00016017426941688186,0.0017716040776964122,0.0,5.428778981280386e-05,4.2847918246104795e-05,3.426964733054082e-07,2.472564677318617e-07,1.578455774023968e-07,4.850011453608401e-07,2.5360409447363046e-05,0.0,4.604204396669287e-07,0.0,4.00344131957887e-06,0.0010925481588103115,3.225964023004049e-07,0.016914590710046272,3.3894244672036474e-08,7.097166849793801e-06,0.0,0.0005868140801863899,0.0001515041828651394,9.485799039323658e-06,0.0,0.00024367471371281588,4.921546005455931e-07,0.0013973518085012792,0.000586727209903415,0.00020161002929124425,3.0284592150316228e-05
component_3,0.0,0.0,0.0,0.0,0.0004854571045242748,0.0,0.0,0.0,0.00014929183085273383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001396620801875616,0.0,0.0,0.0,0.03265169506470859,0.5813578747096335,0.06829319912471098,0.0,0.0,0.0,0.0,6.308224349729412e-07,0.0,0.0,0.0,0.0025105849699756533,0.0,0.0,0.0,0.0,0.0,0.07377111465757685,0.060394028652169786,0.0,0.0,0.01106627914630999,1.425506681518359e-06,4.603073828670841e-06,0.0,0.0008503420903879463,0.0,4.635654382741657e-05,0.0013041220570221721,0.0003803313776431322,0.0,0.000717099962308093,0.0008197807228199805,0.0,0.00011416083417702678,0.0,0.0,0.15223034981725247,0.0014516727964670275,1.743657490705788e-05,0.00034511597024017944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.929148163238243e-06,0.0,0.0,0.0,3.077040789910038e-05,0.0,0.0,0.0005593791340905771,0.0,0.0,0.0,0.0,0.00011477886199809038,2.9304621708827028e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9629760424060856e-06,0.0010409726552471506,2.747510543965787e-07,0.0010988795818087178,0.0,4.888366972258109e-05,0.0005333623861713078,0.0005240898217795481,0.000767303122325156,0.0015129249919677776,0.0018239331368674401,0.0009534377940724591,3.439921813585709e-05,0.0,0.0006556829557949482,0.0011456014737090095,1.9513800794168502e-05
