component,Calanoida indet (small),Calanoides acutus,Calanus propinquus,Calanus simillimus,Candacia maxima,Chaetognatha indet,Clausocalanus brevipes,Clausocalanus laticeps,Clio pyramidata,Cnidaria indet,Copepoda nauplius indet,Ctenocalanus citer,Decapoda zoea indet,Egg indet,Egg mass,Euchirella rostromagna,Eukrohnia hamata,Euphausia crystallorophias,Euphausia frigida,Euphausia frigida calyptopis,Euphausia longirostris furcilia,Euphausia similis,Euphausia superba,Euphausia triacantha,Euphausia vallentini,Euphausia vallentini furcilia,Euphausiidae calyptopis indet,Euphausiidae furcilia indet,Euphausiidae indet,Foraminifera indet,Fritillaria sp.,Harpacticoida indet,Hyperiidea indet,Limacina sp.,Metridia lucens,Microcalanus pygmaeus,Neocalanus tonsus,Oikopleura sp.,Oithona similis,Ostracoda indet,Paraeuchaeta sp.,Pelagobia longicirrata,Phronima sp.,Pisces larvae,Pleuromamma robusta,Primno macropa,Pseudosagitta gazellae,Rhincalanus gigas,Rhincalanus gigas nauplius,Siphonophorae nectophore,Spongiobranchaea australis,Stephos longipes,Subeucalanus longiceps,Teuthida indet,Themisto gaudichaudii,Thysanoessa macrura,Thysanoessa macrura F1,Thysanoessa macrura F2,Thysanoessa macrura F3,Thysanoessa macrura F6,Tomopteris sp.
component_1,0.7218525879135211,0.028198371495869987,4.6272673655987466e-05,0.0,2.9440915320576338e-05,0.0,0.0032383401400544283,0.002711695130014703,0.0,2.056247629185116e-06,0.0038472243021749728,0.0,2.2183795179580997e-06,0.0,5.813407874776101e-07,0.0,0.0,2.5325666402559033e-06,0.0,0.0,2.056247629185116e-06,7.661272963970586e-05,7.786379611197196e-06,0.0,0.0,0.0001610841441123452,5.2026604779943464e-05,1.5053898048309106e-05,0.00021382704735523552,0.0023722856013818584,0.019226002078084975,0.0,0.0,0.0,0.0021289612208023672,0.0,0.000770640822528716,0.0016477941880102948,0.18085132023937947,0.0009224692778589765,0.0003364211505799789,4.1940004578535496e-05,0.0,0.0,4.17277754607112e-05,1.667935068493329e-05,0.0,0.0,0.022251563050063396,5.255171073654823e-06,0.0,0.0,0.0,0.0,0.00038056053877514717,0.0007857028557591202,0.00035406094010803516,9.875728030101915e-05,0.0003971945159089977,0.00682656264138798,8.43331409088568e-05
component_2,0.17211150440571837,0.0,0.0,0.3294466444170119,0.0002129642541068744,0.0047970568225872935,0.011896533171987767,0.003274046042787739,0.0,3.3176088197398017e-06,0.0,0.037412263776164446,2.650309947945839e-07,0.0,4.3725234585913124e-07,1.2998238844103761e-05,0.00034910368188807424,0.0,0.0010809075873548226,0.0,3.3176088197398017e-06,7.129135020190588e-05,3.522591846542947e-05,0.0014473552403377243,0.0007986349196978283,4.9668570120623176e-05,6.705524411405677e-05,0.0018346987484394377,0.0,0.02654073321822188,0.0,0.0,0.008702669440028218,0.31723082484087817,0.021790055356819736,3.4859111343722073e-06,0.0011182240484705684,0.009402899101815285,0.012569572910167736,0.012195547646588633,0.0,0.0,1.4202576672874972e-05,2.4830366785166476e-05,1.0216995955503675e-05,0.0013279393728978424,0.0006679500937356278,0.0003398702282974483,0.0,5.751354925459531e-07,0.0,3.026947983971126e-06,5.4528823654035e-06,0.00013005110134838455,0.0015488362540351723,0.0033711703911321472,0.000497383543501479,0.0,0.0005440650455591597,0.01705512669930427,0.0
component_3,0.0,0.06339952223485784,0.00021100373252149062,0.07589090068952166,0.0,0.00020753148788898193,0.004544166721467166,0.0,0.00010749507357739586,0.0,0.01893191608240696,0.0067084570393429665,0.0,0.00015484284830438803,0.0,5.869105654294271e-06,0.0,0.0,0.0,2.6002542272009305e-05,0.0,0.0,0.00022077855886781117,0.0,0.0,5.307701930520437e-05,0.0003628881937784657,0.0026752621190917775,0.0,0.03548772394557628,0.0034462426762551855,1.7865929738686492e-06,0.0,0.0,0.0,0.0001376454730831114,0.0,0.0039051162366971572,0.7383964449885134,0.0,0.0,0.00017973165204011795,9.524524023783099e-06,0.0,0.0,0.0,1.9156028137390862e-05,0.0015525370718884673,0.02589003178167082,2.73582857812781e-06,2.6406931576722596e-06,5.477773278155696e-07,1.8665242843499307e-06,0.0,0.0011011608242974039,0.0,0.0008335125864044568,0.0,0.0003915033862878237,0.015140377959944013,0.0
