component,Calanus propinquus,Clio pyramidata,Clione limacina antarctica,Euphausia superba,Spongiobranchaea australis,Themisto gaudichaudii,Thysanoessa macrura,Thysanoessa macrura furcilia
component_1,0.0,0.00013051258592665192,0.0,0.0,0.00521004774571289,0.0,0.9946594396683603,0.0
component_2,0.0,2.3300188363754974e-05,0.0,0.990800958776181,0.009175741035455206,0.0,0.0,0.0
component_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
component_4,0.0,0.9289081771675324,0.0,2.9084302675867298e-05,0.0,0.07104694759415309,1.579093563859712e-05,0.0
