Segment_ID,component_1,component_2,component_3,component_4
AA_10.0_13-Jan-1993_12:26,0.0,0.0,0.9036020036098446,0.0
AA_10.0_13-Jan-1993_12:47,0.0,0.0,0.0,0.5036580802462854
AA_10.0_13-Jan-1993_13:08,0.0,0.0,0.0,0.5036580802462854
AA_10.0_13-Jan-1993_13:28,0.0,0.0,0.9036020036098446,0.0
AA_10.0_13-Jan-1993_13:49,0.0,0.0,0.4518010018049223,0.0
AA_10.0_13-Jan-1993_14:10,0.0,0.0,0.0,0.0
AA_10.0_13-Jan-1993_14:31,0.457891086881769,0.0,0.0,0.0
AA_10.0_13-Jan-1993_14:54,0.0,0.0,0.9036020036098446,0.0
AA_10.0_13-Jan-1993_15:15,0.0,0.0,0.0,0.0
AA_10.0_13-Jan-1993_15:35,0.0,0.0,0.0,0.5421805886185967
AA_10.0_13-Jan-1993_15:56,0.0,0.0,0.0,0.0
AA_10.0_13-Jan-1993_16:16,0.0,0.7910140191943843,0.0,0.0
AA_10.0_13-Jan-1993_16:36,0.0,0.0,0.0,0.5036580802462854
AA_10.0_13-Jan-1993_16:57,0.0,0.2636713397314614,0.0,0.0
AA_10.0_13-Jan-1993_17:18,0.0,2.6367133973146144,0.0,0.0
AA_10.0_13-Jan-1993_17:38,0.0,1.8456993781202298,0.0,0.0
AA_10.0_13-Jan-1993_17:59,0.0,1.0546853589258456,0.0,0.0
AA_10.0_13-Jan-1993_18:19,0.0,1.0546853589258456,0.0,0.0
AA_10.0_13-Jan-1993_18:39,0.0,0.5273426794629228,0.0,0.0
AA_10.0_13-Jan-1993_19:00,0.0,0.2636713397314614,0.0,0.0
AA_10.0_13-Jan-1993_19:20,0.0,0.2636713397314614,0.0,0.0
AA_10.0_13-Jan-1993_19:41,0.0,0.0,0.0,0.5036580802462854
AA_10.0_13-Jan-1993_20:01,0.0,0.0,0.0,0.03852250837231123
AA_10.0_13-Jan-1993_20:22,0.0,0.0,0.0,0.0
AA_10.0_13-Jan-1993_20:42,0.0,0.0,0.0,0.0
AA_10.0_13-Jan-1993_21:02,0.0,0.0,0.0,0.0
AA_10.0_13-Jan-1993_21:22,0.0,0.0,0.4518010018049223,0.0
AA_10.0_13-Jan-1993_21:42,0.0,0.0,0.0,0.0
AA_10.0_13-Jan-1993_22:02,0.0,0.0,0.4518010018049223,0.0
AA_10.0_13-Jan-1993_22:22,0.0,0.0,0.0,0.0
AA_10.0_13-Jan-1993_22:41,0.0,0.0,1.3554030054147668,0.0
AA_10.0_13-Jan-1993_23:01,0.2289455434408845,0.0,0.0,0.0
AA_10.0_13-Jan-1993_23:21,0.0,0.2636713397314614,0.0,0.0
AA_10.0_13-Jan-1993_23:42,0.0,0.0,0.0,0.0
AA_10.0_14-Jan-1993_00:03,0.0,0.0,0.0,0.0
AA_10.0_14-Jan-1993_00:23,0.0,0.0,0.0,0.0
AA_10.0_14-Jan-1993_00:44,0.22893443810498132,0.2636585491527913,0.0,0.0
AA_10.0_14-Jan-1993_01:06,0.0,0.0,0.0,0.0
AA_10.0_14-Jan-1993_01:28,0.0,0.0,0.0,0.0
AA_10.0_14-Jan-1993_01:51,0.0,0.0,0.0,0.0
AA_10.0_14-Jan-1993_02:14,0.0,0.2636713397314614,0.0,0.0
AA_10.0_14-Jan-1993_02:37,0.0,0.2636713397314614,0.0,0.0
AA_10.0_14-Jan-1993_03:00,0.0,0.0,0.0,0.0
AA_10.0_14-Jan-1993_03:22,0.0,0.0,0.0,0.0
AA_10.0_14-Jan-1993_03:44,0.0,0.0,0.0,0.0
