component,Calanus propinquus,Ctenocalanus citer,Euphausia superba,Limacina sp.,Oithona similis
component_1,1.7799962527870847,0.17770435152209085,0.17770435152209085,0.48472132937543794,0.0
component_2,0.0,0.0,0.0,0.0,1.4953487812212203
