,Euphausia superba,Chaetognatha indet,Thysanoessa macrura,Calanus propinquus,Thysanoessa macrura furcilia,Ctenocalanus citer,Oithona similis,Limacina sp.,Nematocarcinus longirostris,Metridia gerlachei,Calanoida indet (small),Calanoides acutus,Drepanopus sp.,Euphausia superba furcilia,Themisto gaudichaudii,Paraeuchaeta antarctica,Oikopleura sp.,Hansarsia megalops,Onchocalanus sp.,Hyperiidea indet,Salpa thompsoni,Nauplius indet,Foraminifera indet,Clio pyramidata,Clione limacina antarctica,Spongiobranchaea australis,Crustacea nauplius indet,Vanadis antarctica,Copepoda indet,Hyperiella dilatata,Hyperiella sp.,Euphausia superba calyptopis,Pisces larvae,Calanus simillimus,Euphausia frigida,Pisces egg,Eukrohnia hamata,Fritillaria sp.,Rhincalanus gigas,Ostracoda indet,Cnidaria indet,Euphausia frigida calyptopis,Euphausia frigida furcilia,Tomopteris sp.,Pseudosagitta gazellae,Candacia maxima,Pleuromamma robusta,Harpacticoida indet,Primno macropa,Hyperia spinigera,Rhincalanus gigas nauplius,Euaugaptilus sp.,Candacia falcifera,Heterorhabdus austrinus,Ctenophora indet,Haloptilus oxycephalus,Metridia lucens,Vibilia antarctica,Thysanoessa macrura calyptopis,Euphausia triacantha furcilia,Euphausia triacantha calyptopis,Euphausiidae indet,Egg mass,Euphausia crystallorophias furcilia,Pelagobia longicirrata,Tomopteris carpenteri,Decapoda zoea indet,Euphausiidae calyptopis indet,Euphausiidae furcilia indet,Euphausia triacantha,Teuthida indet,Euphausia vallentini,Siphonophorae nectophore,Solidosagitta marri,Paraeuchaeta sp.,Radiozoa indet,Decapoda (natant) indet juv,Euphausia superba C1,Euchirella rostromagna,Echinoidea larvae,Gastropoda indet,Pleuromamma sp.,Phronima sp.,Euphausia longirostris,Solmundella bitentaculata,Polychaeta indet,Oncaea sp.,Appendicularia indet,Thysanoessa macrura metanauplius,Euphausiidae metanauplius indet,Egg indet,Cyllopus lucasii,Scolecithricella minor,Hyperiella antarctica,Metridia sp.,Travisiopsis sp.,Calanus sp.,Clausocalanus brevipes,Clausocalanus laticeps,Clausocalanus sp.,Copepoda nauplius indet,Scolecithricella sp.,Oithona frigida,Pteropoda indet,Candacia sp.,Phalacrophorus pictus,Euphausiidae nauplius indet,Microsetella rosea,Euphausia vallentini calyptopis,Euphausia vallentini furcilia,Doliolidae indet,Subeucalanus longiceps,Neocalanus tonsus,Calocalanus sp.,Paracalanus sp.,Cyclopoida nauplius indet,Stephos longipes,Thysanoessa macrura F3,Thysanoessa macrura F5,Thysanoessa macrura F4,Thysanoessa macrura F1,Thysanoessa macrura F2,Thysanoessa macrura F6,Thysanoessa macrura C3,Thysanoessa sp.,Protomyctophum sp.,Iospilidae indet,Euphausia longirostris calyptopis,Thysanoessa macrura C2,Thysanoessa macrura C1,Eucalanus sp.,Microcalanus pygmaeus,Euphausia longirostris furcilia,Myctophidae indet,Typhloscolex muelleri,Mecynocera clausi,Thysanoessa gregaria,Sapphirina sp.,Ctenocalanus sp.,Pyrosomatidae indet,Subeucalanus sp.,Pleuromamma borealis,Decapoda nauplius indet,Mysidae indet,Paraeuchaeta exigua,Vanadis longissima,Centropages bradyi,Sagittidae indet,Hyperia sp.,Euphausia superba C2,Lubbockia sp.,Pleuragramma antarctica,Euphausia superba C3,Euphausia crystallorophias calyptopis,Euphausia superba F1,Euphausia superba F2,Vibilia sp.,Paraeuchaeta barbata,Pseudosagitta sp.,Oithona sp.,Maupasia sp.,Rhincalanus sp.,Chelophyes sp.,Alciopidae indet,Vibilia armata,Platysceloidea indet,Dairella californica,Euphausia lucens,Pleuromamma piseki,Euphausia similis,Heterorhabdus sp.,Decapoda megalopa indet,Cyllopus magellanicus,Hyperoche sp.,Hyperoche medusarum,Phalacrophorus sp.,Oncaea curvata,Triconia antarctica,Euphausia spinifera calyptopis,Euphausia spinifera furcilia,Euphausia crystallorophias,Branchiopoda indet,Paralabidocera antarctica,Heterorhabdus lobatus,Paraeuchaeta biloba,Calanus australis,Nyctiphanes australis,Temora turbinata,Salpa fusiformis,Euphausia spinifera,Cirripedia nauplius,Paraheterorhabdus farrani,Euphausia superba F5,Euphausia superba F6,Euphausia superba F3,Calanoides brevicornis,Candacia cheirura,Euphausia superba F4,Pleuromamma abdominalis,Euphausia recurva,Pleuromamma gracilis,Acartia (Acartia) danae,Sulcanus conflictus,Scina sp.,Acartia sp.,Munida gregaria,Thalia sp.,Mesocalanus tenuicornis,Amphipoda indet,Bivalvia larvae,Lucicutia sp.,Themisto australis,Neocalanus gracilis,Salpidae indet,Thysanoessa sp. furcilia,Microsetella sp.,Tintinnina indet,Centropages aucklandicus,Nyctiphanes australis calyptopis,Nyctiphanes australis furcilia,Noctiluca scintillans,Evadne sp.,Isopoda indet,Euphausia hanseni furcilia,Squilla sp.,Thysanoessa gregaria furcilia,Thysanoessa gregaria calyptopis,Themisto sp.,Globorotalia sp.,Heterorhabdus spinifrons,Abylidae indet,Candacia bipinnata,Podon sp.,Cumacea indet,Sergestidae indet,Brachyscelus crusculum,Pleuromamma xiphias,Euchirella sp.,Euchirella rostrata,Euphausia similis furcilia,Decapoda phyllosoma indet,Siphonophorae sp.,Clione sp.,Clio sp.,Globigerina bulloides,Neogloboquadrina pachyderma,Clausocalanus pergens,Paracalanus indicus,Microsetella norvegica,Mecynocera sp.,Oncaea mediterranea,Scaphocalanus echinatus,Calocalanus plumulosus,Lensia sp.,Rhincalanus nasutus,Calanoides sp.,Mesocalanus sp.,Clausocalanus ingens,Oculosetella gracilis,Nannocalanus minor,Centropages furcatus,Oncaea venusta typica,Acartia (Acartiura) tranteri,Calocalanus styliremis,Travisiopsis levinseni,Turborotalita quinqueloba,Neogloboquadrina incompta,Globigerinita uvula,Scaphocalanus farrani,Aetideus sp.,Paracalanus aculeatus,Cirripedia cyprid,Acartia (Odontacartia) pacifica,Lucicutia flavicornis,Oithona atlantica,Hemityphis sp.,Oithona longispina,Centropages sp.,Sapphirina nigromaculata,Clytemnestra scutellata,Clausocalanus arcuicornis,Farranula sp.,Eucalanus hyalinus,Polychaeta larvae,Euterpina sp.,Lopadorrhynchidae indet,Clytemnestra sp.,Soestia zonaria,Aetideus australis,Globorotalia inflata,Gammaridea indet,Orcadia riedeli,Euphausia similis var armata,Bryozoa larvae
K3_MC0,2.0340773e-05,0.0046535907,0.00519086,0.0013355054,0.00017095766,0.0011281946,2.597342e-07,0.08787478,2.1678456e-07,0.0010960586,0.07905039,0.00396837,1.6644952e-05,3.0843745e-05,0.0013938368,3.1344505e-05,0.0046935393,0.00041820182,2.9882506e-06,0.0052964496,0.002873152,1.9559924e-07,0.0060519194,2.1735714e-07,2.280514e-05,4.3521162e-05,2.3727391e-07,1.3954296e-06,0.0051403726,2.0077086e-07,0.0001709623,1.34036e-05,0.00089174433,0.22860053,0.0006585408,1.57354e-05,0.0005363564,2.287446e-07,4.7731522e-05,0.01372175,0.00019489205,2.8048233e-05,0.00022656843,0.00014648474,0.00016996248,0.0003025801,0.00067993504,6.166484e-05,0.0006547658,3.9117207e-05,2.216172e-07,1.1240091e-06,1.5598301e-06,0.0002031193,1.45448175e-05,2.1938675e-07,0.029434953,2.3006029e-05,2.057627e-07,0.00029242155,2.1460338e-07,0.002967052,2.057054e-07,7.124794e-07,8.323593e-06,2.114812e-07,0.00034526,0.007555108,0.013399002,0.00021472604,5.8467573e-05,0.0025846157,0.00027974715,2.1674113e-07,0.0012744456,2.1739628e-07,0.00013384443,1.5829397e-05,3.2807566e-05,3.1227464e-07,0.0003112079,0.0007237076,6.420565e-05,0.00017814744,7.526253e-07,8.877197e-05,0.0033863026,0.0003650766,1.9080164e-07,6.2649843e-07,2.03326e-07,5.9600675e-06,2.9016006e-05,2.0999833e-07,0.004140848,6.9756625e-06,2.3614634e-06,0.028378163,0.02092254,0.02933868,9.17483e-07,7.189205e-07,0.00017417406,2.695683e-05,9.806195e-05,1.9117375e-07,0.00041112985,1.6871902e-05,0.00015707735,0.00038251295,0.0001618347,0.0019419233,0.06299724,0.0010469272,0.005302413,2.1600758e-07,4.0208947e-06,0.0021874802,0.00065251306,0.0001269963,0.0010488767,0.00021796903,0.005809475,0.00010047971,0.0019776123,1.9481313e-07,0.0003555589,3.217841e-05,3.7531695e-06,2.3801688e-07,0.00015240395,0.0017351343,8.3307285e-05,9.166033e-06,2.5582887e-07,0.00022844813,0.0029485119,1.842977e-05,0.24103573,0.0004196044,0.0017152533,0.000993855,1.9141166e-07,1.0888148e-05,0.00072231656,3.6564177e-07,2.5764924e-05,0.00024213667,1.7484434e-05,0.00019490744,1.9057224e-07,2.2365012e-07,0.00013870084,2.8950473e-07,5.880925e-05,1.3994938e-05,0.00014141969,1.0512831e-06,0.00041800953,0.0017541551,1.9285825e-07,4.8349575e-05,1.9057143e-07,1.3466192e-06,3.6085686e-07,1.9676679e-07,1.9879143e-07,0.00021581604,0.00031080123,3.8262944e-05,0.00036428164,1.2319184e-05,3.1985965e-05,1.752057e-06,8.48307e-06,1.8727209e-05,5.072095e-07,4.025639e-07,0.000110674984,5.5362667e-05,2.0425631e-07,5.81664e-07,4.1982425e-05,4.3979726e-06,0.000113987175,0.0012279414,0.001790064,3.3155567e-07,7.043376e-05,2.6264703e-07,4.733664e-05,2.0491643e-07,2.3797851e-07,2.7698988e-07,1.8635687e-05,0.0004214109,2.4966595e-05,1.936109e-07,1.2062658e-05,2.3091731e-07,0.00010920501,2.5215337e-07,1.9248634e-07,2.2236767e-07,0.0032078929,8.0752594e-05,0.000394628,5.6501067e-06,0.00017295418,3.1429936e-05,4.1546446e-05,1.5554462e-05,2.1824899e-07,0.0014630891,0.00030297638,2.8697268e-05,2.3708571e-07,0.00013686372,0.0014229683,8.190369e-05,2.0078433e-07,2.0451286e-07,3.6878555e-06,2.4457788e-07,9.2478655e-07,0.0033502604,0.0008570434,7.769494e-05,0.00018479583,3.535505e-06,2.5205134e-07,2.341364e-07,7.795449e-07,2.8036735e-07,7.162898e-05,2.3357633e-07,4.5417814e-06,0.00013301431,4.3558557e-05,2.2292186e-07,2.6895075e-06,6.487807e-05,5.6392564e-06,2.6953756e-05,0.034085296,0.0033693695,0.00042523377,0.00015681921,4.533225e-06,1.5994327e-05,3.0935487e-05,2.9058054e-07,4.313412e-06,2.7825553e-07,2.7702947e-07,3.4211145e-05,8.152389e-05,2.0711632e-05,2.3583352e-06,1.0107638e-06,3.9598675e-07,1.2375674e-05,2.716465e-07,9.094427e-06,3.1819135e-07,0.00038353496,0.0009953748,0.00016830149,3.208912e-07,2.2089364e-07,4.144296e-07,2.6438245e-05,2.6602598e-07,2.753383e-06,5.008647e-07,3.0085567e-07,3.0085567e-07,6.3287034e-06,5.861916e-07,3.1050115e-07,2.9658958e-07,3.084712e-07,4.2665303e-07,2.8588107e-05,2.2394445e-06,9.984269e-06,3.482901e-07,9.557712e-06,4.4914196e-07,4.9724704e-06,5.563386e-07,5.413657e-07,5.135536e-07,3.3300674e-07
K3_MC1,0.0014465266,0.00085715466,0.0009584039,1.5334363e-07,1.4723416e-07,0.010989912,0.31704193,0.0027906268,1.3742986e-07,2.053535e-07,2.0012906e-06,0.0002310489,4.2048643e-07,1.3830223e-07,0.00035757545,1.3883421e-07,0.015128365,1.437311e-07,1.8781436e-07,0.00030007807,1.3344195e-05,3.1837845e-07,0.16144475,0.0002313923,9.964756e-06,2.001729e-05,0.00051617104,1.4602914e-07,0.042165864,5.083193e-07,6.24096e-07,1.3910754e-07,2.1286387e-05,1.4847333e-07,1.4521895e-07,3.633195e-05,2.0054147e-05,0.26330703,0.0006389303,1.959453e-07,9.48267e-06,1.7842375e-07,1.4993245e-07,0.000106224295,2.0600874e-05,1.3855359e-07,1.4502662e-07,8.6843436e-05,1.3824577e-05,1.3728351e-07,0.027054686,1.730216e-07,1.4978197e-07,1.4118456e-07,1.5079866e-07,8.272121e-06,1.4702115e-07,3.6497447e-06,1.4501089e-07,1.449763e-07,1.6149524e-07,0.0005164163,1.49914495e-05,1.7631368e-06,0.00011863834,1.6721144e-07,8.303768e-06,0.0007804268,0.000838293,1.6408325e-07,3.6502868e-06,1.9089329e-07,1.6389332e-07,3.567557e-07,1.4446348e-07,0.0039695976,2.631793e-07,3.491346e-05,1.4495424e-07,2.323368e-06,2.4155142e-07,1.3924742e-07,1.4507187e-07,1.418281e-07,1.6066855e-07,0.0003973046,0.002038876,1.116981e-06,1.3580951e-07,0.00062919204,0.0064166,1.7317718e-07,1.11667905e-05,1.4278724e-07,1.6568185e-07,1.7483619e-07,0.00021145842,1.488267e-07,0.00047385372,0.0016891115,0.12544002,4.5450397e-06,0.00010495908,0.0002700904,2.8316886e-06,1.4561754e-05,0.00014703501,4.207998e-06,1.4813267e-07,1.4662214e-07,5.835871e-07,2.2188229e-07,1.515718e-07,5.2288938e-06,1.3823248e-07,0.00040260606,8.2177095e-05,5.1122726e-05,8.823266e-05,0.0002421274,8.2486295e-05,0.00014320301,1.466366e-07,0.00014581726,6.7943234e-05,1.7341468e-07,2.1052716e-07,1.388974e-07,8.2340026e-05,3.4544395e-05,3.2440465e-07,0.00056063395,1.3755532e-07,1.4606472e-07,1.5551169e-07,1.8760322e-07,1.744932e-07,1.6520386e-07,2.6009886e-07,1.4091978e-07,0.00038214543,1.3866077e-07,1.4146681e-07,1.392691e-07,1.4158176e-07,1.3836127e-07,2.7297477e-07,0.00021532444,2.974411e-06,2.2962895e-05,1.5886168e-07,0.0007727798,1.8045321e-07,1.9849885e-07,1.3973028e-07,1.4133433e-07,1.548598e-07,1.5470951e-07,1.6445819e-07,1.501384e-07,1.4100887e-07,1.4039345e-05,1.4210832e-07,1.4112598e-07,6.0421735e-07,1.4622853e-07,1.4534213e-07,2.3490875e-07,1.3689926e-07,1.3708802e-07,1.5214555e-07,1.664118e-07,1.5282299e-07,2.6227096e-07,2.3140626e-07,1.8018915e-07,0.0015135275,1.4836915e-07,1.3901035e-07,1.4390797e-07,2.2155298e-05,1.3738682e-07,1.1241843e-06,1.3613645e-07,1.3596285e-07,1.4273401e-07,1.4117624e-07,1.3690962e-07,1.6101899e-07,1.3856963e-07,2.3235656e-05,1.3553107e-07,8.80637e-06,2.7946514e-06,1.8012236e-07,1.5644754e-07,1.7700675e-07,1.5218826e-07,1.3616103e-07,1.3845623e-07,1.371674e-07,1.3575685e-07,1.375987e-07,1.3572479e-07,1.3877117e-07,1.3764993e-07,1.4601085e-07,2.0511715e-07,4.5156037e-05,9.91177e-06,1.4153217e-07,4.174158e-06,2.2505188e-07,0.00025837164,0.00012171638,0.00046215748,0.0023818195,1.5610313e-07,1.9694795e-07,1.5363668e-07,0.00087246665,8.2133425e-07,1.769768e-07,1.3623017e-07,1.4305162e-07,1.5205605e-07,1.616326e-07,2.3052764e-05,2.4737886e-07,1.4052696e-07,1.595606e-07,1.4060592e-07,1.4097822e-07,1.3722153e-07,1.00086645e-05,1.3557174e-07,1.4621232e-07,1.4614737e-07,1.3665301e-07,1.3552066e-07,2.1405907e-07,7.2576804e-06,2.0748366e-05,5.8323534e-05,9.398029e-05,0.00036761703,1.3980598e-07,1.4151894e-07,0.00010146552,1.4241047e-07,1.3741018e-07,1.3554966e-07,1.3893872e-07,1.3560516e-07,1.3570323e-07,1.4553673e-07,2.4785047e-06,1.3957587e-07,3.610623e-07,1.6365458e-07,1.3610067e-07,2.7373073e-07,1.3566188e-07,1.5829389e-07,1.3552719e-07,0.00011086371,2.8389388e-05,1.799238e-07,1.3562375e-07,1.3566061e-07,1.36325e-07,2.6497062e-07,1.4835791e-07,1.4827923e-07,1.360522e-07,1.355332e-07,1.355332e-07,1.4192166e-07,1.3570524e-07,1.3580751e-07,1.4517724e-07,1.3941202e-07,1.3676524e-07,3.7067373e-05,3.1771793e-07,2.5498753e-07,1.4833155e-07,2.9286886e-07,1.7495842e-07,2.4727387e-07,1.5664395e-07,4.3971883e-07,1.3851692e-07,1.6817786e-07
K3_MC2,1.2532629e-05,0.00077571924,0.0013139215,0.00010109901,0.00015769993,7.880233e-08,0.42429435,4.2032192e-05,7.85655e-08,9.763187e-06,0.43459982,0.0105188,0.00019535043,8.0280444e-08,0.001743585,9.2319015e-06,0.012348484,8.4816456e-08,7.85597e-08,0.00069045025,0.00033137028,0.0002704403,8.774986e-08,9.884887e-06,4.3709415e-06,1.7348928e-05,9.612586e-08,7.700553e-08,8.16625e-08,1.6093715e-06,3.5897406e-06,7.756803e-08,4.340535e-05,0.004833142,8.4279956e-05,9.8529024e-05,0.00014792237,0.002502869,0.0025172145,0.0006918917,0.00014103296,0.00015735145,3.4830795e-05,0.0002779166,1.4829772e-05,1.5300822e-05,6.431559e-05,0.00020524625,7.172799e-05,1.0025349e-07,0.019224169,8.977518e-06,1.0505374e-07,4.304286e-06,1.5441855e-06,9.47732e-05,0.0009810032,2.714872e-06,1.692413e-05,6.5442573e-06,2.849161e-05,5.485136e-05,5.5389108e-05,1.2142394e-07,8.11131e-05,4.6557147e-06,3.0476182e-05,0.00030145425,0.00062780955,2.1764497e-06,8.738497e-07,5.923584e-06,5.6606306e-05,2.3148704e-07,7.9087054e-05,0.017356502,4.8449356e-06,7.962717e-08,8.021175e-08,3.3842196e-05,8.836202e-08,8.879958e-08,4.9642034e-07,9.205344e-08,1.3120482e-05,8.510721e-08,2.6641626e-05,1.8483196e-07,7.7781614e-08,8.023935e-08,0.0043654675,2.5665636e-07,9.443274e-08,1.1668252e-06,8.3852434e-08,1.3370023e-07,8.903296e-08,0.037639316,0.0063049765,8.667307e-08,0.009351571,1.2842537e-07,2.9630794e-05,1.0008413e-07,2.1743328e-05,7.902644e-08,1.0474502e-07,9.308169e-08,0.0001141604,4.9842885e-05,1.1868188e-07,1.432229e-05,8.3524185e-08,8.502845e-08,7.8957044e-08,7.861414e-08,9.8522825e-08,0.00036561195,1.9241223e-05,1.8159823e-05,0.0011694481,1.8188432e-05,0.0008163933,0.0005755641,8.1251756e-08,7.760036e-08,1.01241724e-07,8.6644214e-08,0.00022979791,4.640258e-05,8.2623e-08,8.9733035e-08,8.3826876e-08,8.9905015e-08,7.771382e-08,8.179929e-05,8.401846e-08,7.975205e-08,1.0807538e-07,8.680462e-08,2.252872e-05,3.398876e-07,8.5488075e-08,7.8028066e-08,2.2385519e-05,1.0076869e-07,3.047997e-06,8.799069e-08,1.3797852e-07,7.924143e-08,7.6941845e-08,7.9364035e-08,7.978914e-08,3.6988083e-06,7.8563275e-08,7.939272e-08,7.906861e-06,7.7951384e-08,1.5929747e-05,9.126375e-08,7.682965e-08,9.341126e-08,7.684815e-08,8.3928136e-08,7.746282e-08,7.688863e-08,7.685151e-08,8.910491e-08,8.488436e-08,7.965565e-08,9.813437e-08,7.9039495e-08,2.0761853e-07,1.0872837e-07,2.7196668e-07,8.25075e-08,1.05902586e-07,2.0428809e-06,9.421791e-08,1.01021e-07,7.9086085e-08,8.809723e-07,8.095108e-08,8.044206e-08,8.876174e-08,1.7027613e-06,8.192268e-08,5.2219548e-05,9.436991e-08,8.528794e-06,8.1594976e-08,7.9056164e-08,1.9921433e-06,2.6654677e-06,1.6451772e-07,8.288825e-08,3.944945e-07,7.76833e-08,8.4027285e-08,3.9001262e-07,8.221124e-08,2.0958502e-07,8.254352e-08,8.0396475e-08,7.888589e-08,7.865573e-08,8.7074014e-08,1.3166067e-07,9.671372e-08,9.266942e-08,9.179727e-08,1.5925145e-06,8.535662e-08,9.2648165e-08,8.259124e-08,9.464272e-08,9.329925e-08,8.460153e-08,8.938998e-08,1.07924464e-07,1.2003906e-07,2.015874e-05,8.743681e-08,7.9928775e-08,1.04493395e-07,9.0573835e-08,5.9253225e-06,8.7821036e-08,8.559759e-07,8.5170775e-08,1.0770407e-07,8.0625156e-08,1.0327547e-07,7.733898e-08,8.779321e-08,8.407064e-08,1.151637e-07,1.3717873e-07,8.952266e-08,8.559381e-08,1.1043977e-07,8.9844356e-08,1.1404562e-07,3.5164765e-05,1.3994209e-07,2.6340467e-07,9.91427e-08,1.0059658e-07,1.0717405e-07,9.551853e-08,1.0258997e-07,8.0988094e-08,1.094319e-07,8.240865e-08,8.2568434e-08,1.1177892e-07,1.4724112e-07,1.13096974e-07,8.651849e-08,9.213562e-08,8.58559e-08,8.024495e-08,8.3021405e-08,9.802203e-08,7.7834564e-08,7.6865705e-05,1.4722077e-07,1.06318296e-07,7.74495e-08,8.9726356e-08,8.279708e-08,8.333619e-08,7.936198e-08,1.0044936e-07,9.318236e-08,7.980397e-08,7.980397e-08,9.224938e-08,8.531817e-08,7.852225e-08,7.6864644e-08,7.74872e-08,8.5208974e-08,1.7070278e-07,1.0021368e-07,1.8740269e-07,9.490006e-08,9.008181e-08,9.602858e-08,3.3263286e-06,1.16135745e-07,8.150189e-08,7.701916e-08,9.366544e-08
