component,Calanoida indet (small),Calanus propinquus,Copepoda indet,Copepoda nauplius indet,Ctenocalanus sp.,Euphausia crystallorophias,Euphausia superba,Euphausiidae calyptopis indet,Euphausiidae metanauplius indet,Globigerina bulloides,Limacina sp.,Oithona similis,Radiozoa indet
component_1,0.0,0.0,0.0012505268586695982,0.03738190697933687,0.0,0.0,0.0,0.003732454460901461,0.07296911466325752,0.7459971738514419,0.10201492040699321,0.0018122999689018631,0.03484160281049752
component_2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
component_3,0.04291929180779938,0.0033066436850468814,0.05060839617065576,0.173412260030582,0.009901689352806862,0.0,0.0,0.1521132692290154,0.026392653462098268,0.0,0.29276891127013466,0.24857688499186067,0.0
