Segment_ID,component_1,component_2
IN_1152.0_16-Feb-2023_08:46,0.0,1.5413308595280975
IN_1152.0_16-Feb-2023_09:12,0.0,1.5236527173361418
IN_1152.0_16-Feb-2023_09:38,0.0,2.916295446134435
IN_1152.0_16-Feb-2023_10:04,0.0,3.2399641796816936
IN_1152.0_16-Feb-2023_10:30,0.0,2.1776455177534233
IN_1152.0_16-Feb-2023_10:57,0.0,3.207083881175032
IN_1152.0_16-Feb-2023_11:23,0.0,2.7979543516245613
IN_1152.0_16-Feb-2023_11:50,0.0,2.4506699434553227
IN_1152.0_16-Feb-2023_12:17,0.34525616239387813,1.620429446456783
IN_1152.0_16-Feb-2023_12:44,0.7266519749066483,1.3389248124363367
IN_1152.0_16-Feb-2023_13:11,0.36301733652962154,2.034166341312793
IN_1152.0_16-Feb-2023_13:39,0.4281463897190728,1.694682454433259
IN_1152.0_16-Feb-2023_14:07,0.6031304023855698,2.320351103554418
IN_1152.0_16-Feb-2023_14:36,0.9290192997249453,3.358227447709122
IN_1152.0_16-Feb-2023_15:03,1.3386169401851933,4.203445642884251
IN_1152.0_16-Feb-2023_15:30,0.8633716409527236,3.3740298181896486
IN_1152.0_16-Feb-2023_15:57,1.367720576709298,3.33703391288569
IN_1152.0_16-Feb-2023_16:24,3.036965453003383,5.600986444138477
IN_1152.0_16-Feb-2023_16:50,1.6327936930907418,5.204377713987804
IN_1152.0_16-Feb-2023_17:17,2.3929830263654845,5.749678858230422
IN_1152.0_16-Feb-2023_17:42,1.6461882841441562,5.344724683962715
IN_1152.0_16-Feb-2023_18:07,2.2423081816012758,5.6952107387540005
IN_1152.0_16-Feb-2023_18:32,2.4210280180760586,5.740998093974655
IN_1152.0_16-Feb-2023_18:57,1.2694220451734122,3.8136558170276333
IN_1152.0_16-Feb-2023_19:22,1.3626568917333393,2.702370997706892
IN_1152.0_16-Feb-2023_19:47,0.46433712728520854,2.7391728290553035
IN_1152.0_16-Feb-2023_20:12,0.6117033331376669,2.1641571352333084
IN_1152.0_16-Feb-2023_20:37,0.37997678985738337,1.9579288427697696
IN_1152.0_16-Feb-2023_21:02,0.13315801750703365,1.8315832335310778
IN_1152.0_16-Feb-2023_21:27,0.04180108834076558,1.5004549855028624
IN_1152.0_16-Feb-2023_21:52,0.0,1.7931524936276277
IN_1152.0_16-Feb-2023_22:18,0.08757919389694187,1.897766753435026
IN_1152.0_16-Feb-2023_22:45,0.0,1.995349307954091
IN_1152.0_16-Feb-2023_23:11,0.0,2.026402239824567
IN_1152.0_16-Feb-2023_23:37,0.0,2.5277084041454847
IN_1152.0_17-Feb-2023_00:03,0.0,2.2057590411322017
IN_1152.0_17-Feb-2023_00:28,0.0,2.0916767042357427
IN_1152.0_17-Feb-2023_00:54,0.0,1.5515144906330869
IN_1152.0_17-Feb-2023_01:20,0.0,1.3891172713345181
IN_1152.0_17-Feb-2023_01:46,0.07861502739437158,1.337050146943042
IN_1152.0_17-Feb-2023_02:12,0.0,1.1581436348486978
IN_1152.0_17-Feb-2023_02:39,0.10839627929935873,0.8654780590797209
IN_1152.0_17-Feb-2023_03:05,0.011125585228155507,1.4289527234888735
IN_1152.0_17-Feb-2023_03:31,0.11219809394849933,0.8547815436394341
IN_1152.0_17-Feb-2023_03:57,0.0,1.0442481460778708
IN_1152.0_17-Feb-2023_04:22,0.0,0.8057915793941858
IN_1152.0_17-Feb-2023_04:48,0.0,0.654306413330394
IN_1152.0_17-Feb-2023_05:13,0.0,0.9404240591112754
IN_1152.0_17-Feb-2023_05:39,0.0,0.79240449761044
IN_1152.0_17-Feb-2023_06:05,0.0,0.9975277694665136
IN_1152.0_17-Feb-2023_06:31,0.09053976455255469,0.44206009311374567
IN_1152.0_17-Feb-2023_06:57,0.02614959625361411,0.49782620291344154
IN_1152.0_17-Feb-2023_07:22,0.052426069675444116,0.5647250155989458
IN_1152.0_17-Feb-2023_07:48,0.0,0.6779792962498923
IN_1152.0_17-Feb-2023_08:15,0.06535521016552827,0.5193328532580924
IN_1152.0_17-Feb-2023_08:41,0.0,0.6323757468729003
IN_1152.0_17-Feb-2023_09:07,0.0,0.6076754677197048
IN_1152.0_17-Feb-2023_09:33,0.0,0.7629713436608893
IN_1152.0_17-Feb-2023_09:59,0.15162936956500667,0.43906495941878504
IN_1152.0_17-Feb-2023_10:26,0.37286770018340915,0.5742607805246919
IN_1152.0_17-Feb-2023_10:54,0.11090881477975073,0.5263514380932887
IN_1152.0_17-Feb-2023_11:22,0.046665173206788514,0.5457511439841779
IN_1152.0_17-Feb-2023_11:49,0.3994374052587959,0.35810661754596784
IN_1152.0_17-Feb-2023_12:17,0.9889947727034731,0.44152632383526996
IN_1152.0_17-Feb-2023_12:45,6.172994186122202,0.0
IN_1152.0_17-Feb-2023_13:12,2.9471742148416977,0.4252384620295524
IN_1152.0_17-Feb-2023_13:40,3.7301742789988666,0.5479927458756411
IN_1152.0_17-Feb-2023_14:06,4.5558516148347685,0.5134112694999691
