component,Calanoida indet (small),Calanoides acutus,Calanus propinquus,Calanus simillimus,Candacia maxima,Clio pyramidata,Cnidaria indet,Eukrohnia hamata,Euphausia frigida,Euphausia frigida calyptopis,Euphausia frigida furcilia,Euphausia superba,Euphausia triacantha furcilia,Euphausia vallentini,Euphausiidae furcilia indet,Euphausiidae indet,Fritillaria sp.,Harpacticoida indet,Heterorhabdus austrinus,Hyperiella dilatata,Limacina sp.,Nauplius indet,Oikopleura sp.,Oithona similis,Ostracoda indet,Paraeuchaeta antarctica,Pelagobia longicirrata,Pleuromamma robusta,Rhincalanus gigas,Rhincalanus gigas nauplius,Salpa thompsoni,Solidosagitta marri,Teuthida indet,Themisto gaudichaudii,Thysanoessa macrura,Thysanoessa macrura furcilia,Tomopteris sp.
component_1,0.6749739179107493,0.0014805286986233368,0.00011120086331264502,0.010051348245243652,0.0001275713216863372,0.0,0.00020770919415595812,2.5048101308114416e-05,0.00010864933159977003,0.00044821960175063714,0.000800574021060151,0.0,0.00011935665949151858,1.1040892409850542e-05,0.0002568798176498901,5.79197014039297e-06,0.0,4.085468538852805e-05,2.77476041099831e-05,6.354294174253803e-05,0.0063201826815413665,0.0011983257378755513,0.006499051962063233,0.28048688737009414,0.0008408383595948123,0.0003267664796661035,0.0006706686364792193,9.971424692786216e-05,0.0005642117469287905,0.0025815083509057577,7.065334485600412e-05,0.0,2.261171342466065e-05,0.0,0.00010456506452466877,0.011083114184051163,0.0002709182606441072
component_2,0.027100141855180497,0.0,0.0,0.0,0.0,0.0013481485680977544,0.0,0.0,0.0,0.0,0.0,1.566169360370239e-06,0.0,0.0,0.0,0.0,0.0024500502491772874,0.0,4.6463702628862236e-05,0.0,0.0,0.0010356616471175158,0.0,0.9585578819090077,0.0,0.0,0.0,0.0,0.0,0.0,5.637485519964484e-05,5.9254219202528015e-05,0.0,0.0013813718793606717,0.000255072634495885,0.0070590376780187885,0.0006489746331523175
component_3,0.11594506466614393,0.009385848055940465,0.0077248393746049936,0.003469972421506711,0.0,0.0,0.0,0.00010518048100681647,0.0004102034428077775,0.0,0.0,0.002165758973433835,0.0005125639588431769,0.0,0.00033251946254208794,2.7410509753424052e-05,0.4674267695807857,4.447481149600412e-05,0.0,0.0,0.0,0.15480157519210683,0.0,0.11593807676269928,0.0,0.0,0.0033750006177430715,0.0005330268312186376,0.0017736878492759544,0.11590430616106528,0.0,0.0,0.00012372084702592,0.0,0.0,0.0,0.0
