	rank	measure	value
0	2	r_squared	0.3874123884472271
1	2	cosine_similarity	0.6389719253359067
2	2	r_squared	0.39240180680629144
3	2	cosine_similarity	0.6251478014709345
4	2	r_squared	0.12314283181854568
5	2	cosine_similarity	0.4864984013160281
6	2	r_squared	0.3875328081962435
7	2	cosine_similarity	0.6351366549982865
8	2	r_squared	0.14744069164021203
9	2	cosine_similarity	0.489948284851445
10	2	r_squared	0.1425644543148108
11	2	cosine_similarity	0.45276496274315303
12	2	r_squared	0.3727915833789074
13	2	cosine_similarity	0.623302353189525
14	2	r_squared	0.21187146262214493
15	2	cosine_similarity	0.5344844910362586
16	2	r_squared	-0.03030945223834432
17	2	cosine_similarity	0.4086953801584738
18	2	r_squared	0.17892067533374256
19	2	cosine_similarity	0.47431222133109585
20	2	r_squared	0.2704516382102027
21	2	cosine_similarity	0.5309932767691511
22	2	r_squared	0.20953497342712624
23	2	cosine_similarity	0.5063145130247481
24	2	r_squared	0.35011005390741246
25	2	cosine_similarity	0.6146070478939568
26	2	r_squared	0.09253484323047395
27	2	cosine_similarity	0.5016454657856879
28	2	r_squared	0.3248926531600427
29	2	cosine_similarity	0.5680819301948344
30	2	r_squared	0.16581352801267285
31	2	cosine_similarity	0.4726560658907924
32	2	r_squared	0.3448748215702853
33	2	cosine_similarity	0.6082735021343272
34	2	r_squared	0.05032096310539112
35	2	cosine_similarity	0.430370030877138
36	2	r_squared	0.3112588480656428
37	2	cosine_similarity	0.5726072600571073
38	2	r_squared	0.32540441590745023
39	2	cosine_similarity	0.5747519457110365
40	2	r_squared	0.1374756733789114
41	2	cosine_similarity	0.48358279726571074
42	2	r_squared	0.17212063763706972
43	2	cosine_similarity	0.5100706225149205
44	2	r_squared	0.3386537420930865
45	2	cosine_similarity	0.5986753482275133
46	2	r_squared	0.1575176073363506
47	2	cosine_similarity	0.5205879099441783
48	2	r_squared	0.1241136450217412
49	2	cosine_similarity	0.519268234084853
50	2	r_squared	0.2937224907371565
51	2	cosine_similarity	0.5415086068630173
52	2	r_squared	0.43156867871810073
53	2	cosine_similarity	0.664614236641738
54	2	r_squared	0.40913022315835
55	2	cosine_similarity	0.6503284878209286
56	2	r_squared	0.42544507528781367
57	2	cosine_similarity	0.6588099614377056
58	2	r_squared	0.36347165687483757
59	2	cosine_similarity	0.5916199961327816
60	2	r_squared	0.3907969832095683
61	2	cosine_similarity	0.6296660512620325
62	2	r_squared	0.37996319341292967
63	2	cosine_similarity	0.636487487210579
64	2	r_squared	0.3561594892957804
65	2	cosine_similarity	0.5994791948972356
66	2	r_squared	0.20771179115211147
67	2	cosine_similarity	0.5354727583291723
68	2	r_squared	0.175288186094974
69	2	cosine_similarity	0.49776342721280453
70	2	r_squared	0.06595101323540316
71	2	cosine_similarity	0.4824139979828073
72	2	r_squared	0.437600450495079
73	2	cosine_similarity	0.6640256701467631
74	2	r_squared	0.4214575354314763
75	2	cosine_similarity	0.6535255896475101
76	2	r_squared	0.18994891515074316
77	2	cosine_similarity	0.5426470141050465
78	2	r_squared	0.3685524726981388
79	2	cosine_similarity	0.6038012409582898
80	2	r_squared	0.3814741893608298
81	2	cosine_similarity	0.6248198784611654
82	2	r_squared	0.37854472669132044
83	2	cosine_similarity	0.6365509066134243
84	2	r_squared	0.14822909476629448
85	2	cosine_similarity	0.48588720610179653
86	2	r_squared	0.36916832855733994
87	2	cosine_similarity	0.6137453802230611
88	2	r_squared	0.28455341753105884
89	2	cosine_similarity	0.5500450609296547
90	2	r_squared	0.33186264430265416
91	2	cosine_similarity	0.597973498039731
92	2	r_squared	0.4032802160209646
93	2	cosine_similarity	0.642772213047847
94	2	r_squared	0.390115156105979
95	2	cosine_similarity	0.6265018735055521
96	2	r_squared	0.21364428917254066
97	2	cosine_similarity	0.5266533008789609
98	2	r_squared	0.316558369927016
99	2	cosine_similarity	0.5918048244613149
100	2	r_squared	0.21854980847100272
101	2	cosine_similarity	0.5349997722023456
102	2	r_squared	0.18322287335421436
103	2	cosine_similarity	0.4981807193398178
104	2	r_squared	0.3618081555379471
105	2	cosine_similarity	0.6100392770582244
106	2	r_squared	0.1231470186240461
107	2	cosine_similarity	0.49597174977262554
108	2	r_squared	0.1901514842143601
109	2	cosine_similarity	0.4746955277909598
110	2	r_squared	0.4018817335914074
111	2	cosine_similarity	0.6319636904425633
112	2	r_squared	0.35147173146239047
113	2	cosine_similarity	0.58592877340671
114	2	r_squared	0.1675396160368719
115	2	cosine_similarity	0.5142772661907854
116	2	r_squared	0.19251391255144648
117	2	cosine_similarity	0.4681599303060319
118	2	r_squared	0.36607921042828845
119	2	cosine_similarity	0.6171610463581513
120	2	r_squared	0.3299746230883483
121	2	cosine_similarity	0.572378137495388
122	2	r_squared	0.22922800207095348
