component,Calanoida indet (small),Calanoides acutus,Calanus propinquus,Calanus simillimus,Calocalanus sp.,Candacia maxima,Chaetognatha indet,Cirripedia cyprid,Cirripedia nauplius,Clausocalanus brevipes,Clausocalanus laticeps,Clausocalanus sp.,Clio sp.,Clione sp.,Copepoda nauplius indet,Ctenocalanus sp.,Decapoda (natant) indet juv,Euphausia frigida,Euphausia longirostris,Euphausia similis,Euphausia superba,Euphausia vallentini,Euphausiidae calyptopis indet,Euphausiidae furcilia indet,Euphausiidae indet,Foraminifera indet,Fritillaria sp.,Hansarsia megalops,Heterorhabdus austrinus,Hyperiidea indet,Iospilidae indet,Limacina sp.,Metridia gerlachei,Metridia lucens,Metridia sp.,Microcalanus pygmaeus,Microsetella sp.,Neocalanus tonsus,Oikopleura sp.,Oithona similis,Oncaea sp.,Ostracoda indet,Paraeuchaeta sp.,Phronima sp.,Pisces larvae,Pleuromamma abdominalis,Polychaeta larvae,Primno macropa,Pseudosagitta gazellae,Pseudosagitta sp.,Pteropoda indet,Rhincalanus gigas,Rhincalanus gigas nauplius,Sagittidae indet,Salpidae indet,Scolecithricella minor,Siphonophorae nectophore,Siphonophorae sp.,Stephos longipes,Themisto australis,Themisto gaudichaudii,Thysanoessa gregaria,Thysanoessa macrura,Thysanoessa macrura C1,Thysanoessa macrura C2,Thysanoessa macrura C3,Thysanoessa macrura F1,Thysanoessa macrura F2,Thysanoessa macrura F3,Thysanoessa macrura F4,Thysanoessa macrura F5,Thysanoessa macrura F6,Thysanoessa sp.,Thysanoessa sp. furcilia,Tintinnina indet,Vanadis antarctica
component_1,0.14420586306081848,0.0,0.0,1.1715593711056271,0.006464253457636271,0.0007240728531544022,0.3639796349865709,4.6009222918507166e-05,0.011892545874192625,0.01914969631023185,0.07243392833993607,0.06222138607895094,0.0034857952144296137,0.0010894562458522033,0.0,0.5054870409525696,0.0,0.0006325619168413745,0.0007822912301266763,0.00045795628735237766,0.0,0.015242693296735867,1.9591026795343175e-05,0.04288873596515316,0.015366937700712196,42.501523959517385,0.0,0.00277863699148317,0.0,0.04066703916187255,0.0,0.0811374118347884,0.0,0.020353691020499567,0.054962724541425756,0.00902992633428383,0.021265298707445257,0.0,0.06540471606597466,0.11949620632017827,0.0,0.0,0.0018710452403277182,0.0045129570115098605,0.006783647572814849,0.0,0.0,0.0038732973347877426,0.0018878849648733679,0.020209505601623393,0.00045795628735237766,0.0,0.0,0.0,0.0034745744285202555,0.0007358799157355136,0.022974743672394417,0.016436095452259714,0.0,0.0004491917257797982,0.013879237462513955,0.0020482732844925642,0.07528003256287559,0.0,0.0,0.0,0.0,0.0,0.0012077802979922362,0.0038012203003631785,0.00782359729109026,0.015118537056156393,0.01182656575390085,0.018892724933255764,0.0033407291727787893,0.0
component_2,2.159442014277783,0.0,0.00779172708575308,29.541544011181678,0.0014764777158431215,0.0021574158027187792,0.12952649451827197,0.0,0.0,0.4247354597883248,0.04352151796859358,1.1108558237329582,0.007959534609018331,0.0,0.0,2.455374643052302,0.0,0.002761370468888183,0.014300677965646408,0.008945269134118609,0.00599098917595166,0.00968763152082333,0.00029296819679852496,0.12949010908080044,0.14375036654696993,0.0052945598581221704,0.0,0.0,0.07983282010524893,0.2936396563356157,0.001117549899705457,2.186046555327358,0.005305581415907144,0.0,0.11845001100426933,0.12207759082325048,0.014743122016506844,16.581496813901058,0.023696977417022015,0.0,0.00599098917595166,0.6935063182732608,0.014777711932670756,0.0,0.010572570086051782,0.0,0.0,0.03284224540398891,0.015293879880466382,0.02780903680536705,0.008945269134118609,0.0,0.0,0.0691280287991694,0.0,0.007010479372072954,0.0015837737966715826,0.02149746388510189,0.00599098917595166,0.0008684505382473955,0.017898347123449083,0.005168232278196949,0.1921342512206513,0.0,0.009490305626248077,0.0338739645916184,0.04108301517627635,0.1644996038237938,0.05383079271402807,0.00032658691912339785,0.03180671994528099,0.044565263594416184,0.01918089259166471,0.0,0.0,0.011314488093981839
component_3,16.464738601112455,2.063146651497074,0.010967101243478106,1.723514468120227,0.04528958974717945,0.00012502769806414348,0.14959231276747773,4.326961937408687e-05,0.0,0.0,0.0604612072707999,0.4901043922263076,0.002972133162772813,0.00011902421759497697,4.055156913809165,9.886862360654792,0.00028187937305588275,4.4606384903383376e-05,0.0,0.0,0.0,0.018542443163936124,0.016573920785493686,0.06487544873086508,0.051287250887772334,0.0,10.316005951140669,0.0,0.0,0.24911685416844132,0.005605376945690726,2.682568535155459,0.0,0.19245102058193075,0.602281698292627,0.026978524647562434,0.09946337611191895,0.0,0.0443238715451453,15.07214731293508,0.0,0.0,0.013144916914163059,0.0013185810572432784,0.0008697813042778713,0.0008841529258306565,0.07768904951177612,0.0,0.0,0.0073954142774228125,0.0,0.5328680636473131,4.407859945716548,0.0,0.0048019978780118105,0.01510786402074911,1.697122648139321e-05,0.08267450089680421,0.0,0.000627769190395105,0.0583819581046868,0.0026910495700756968,0.07857746974884913,0.004116349486551002,0.004266983730050022,0.002501047572918423,0.0,0.0,0.0034318899969127954,0.008558708380466507,0.04187825176138786,0.04700604519013005,0.005463197892869628,0.017834075531240806,0.17677587921399296,0.0
