component,Calanoida indet (small),Calanus simillimus,Candacia maxima,Decapoda zoea indet,Eukrohnia hamata,Euphausia frigida,Euphausia superba,Euphausiidae furcilia indet,Fritillaria sp.,Hyperia spinigera,Hyperiidea indet,Limacina sp.,Nauplius indet,Oikopleura sp.,Oithona similis,Paraeuchaeta antarctica,Pisces larvae,Pleuromamma robusta,Rhincalanus gigas,Rhincalanus gigas nauplius,Salpa thompsoni,Themisto gaudichaudii,Thysanoessa macrura,Thysanoessa macrura furcilia
component_1,0.8009239904114693,0.00033681115237274947,0.0,0.0,0.006803883325021372,0.0,0.0005742135438765158,0.0,0.0014181668903289677,0.0,0.0016918826571205934,0.002139126339107467,0.0,6.737345241127811e-05,0.17750997357230008,0.0008132364970413327,0.00045042370541877345,0.0,0.0020856573689884196,0.0,5.4502228636510516e-05,0.0006940793996343917,0.0040807931883003945,0.00035588626797180775
component_2,0.0,0.0016212862585775812,0.0,0.0,0.0009752352604232355,0.0,0.001989180083256203,0.0,0.012470951160198028,0.0,0.0001458315822940798,0.0,0.0035883564315284337,0.0,0.9378422605473987,0.0,0.0,0.0,0.0015083690878166481,0.0005986163657579175,0.0009484249272738329,0.0,0.021910663894830533,0.01640082440064482
component_3,0.47117296183362734,0.011183912026746184,0.02105935656092082,0.01052967828046041,0.0,0.1641585944666888,0.013273293214107617,0.01052967828046041,0.0016282588448520252,0.01052967828046041,0.00046064934371714826,0.11194277644096098,0.0,0.014576668519729132,0.0,0.07727661993786103,0.0,0.03158903484138123,0.0,0.0,0.0007689029738143947,0.013796816151781067,0.03552312000243088,0.0
component_4,0.014555437928146344,0.0,0.0,0.0,0.0,0.0,0.013268452911024542,0.0,0.015348979685609894,0.0,0.0,0.0,0.0,0.3019837566277949,0.5991709888364928,0.0,0.0,0.0,0.013585818485975027,0.02554978666106052,0.0,0.010629399856498434,0.0,0.005907379007397408
