component,Acartia sp.,Bivalvia larvae,Calanoida indet (small),Calanoides brevicornis,Calanus australis,Calocalanus sp.,Chaetognatha indet,Clausocalanus sp.,Cnidaria indet,Copepoda nauplius indet,Ctenocalanus sp.,Decapoda (natant) indet juv,Decapoda megalopa indet,Decapoda zoea indet,Euphausiidae calyptopis indet,Euphausiidae furcilia indet,Euphausiidae indet,Euphausiidae nauplius indet,Euterpina sp.,Foraminifera indet,Fritillaria sp.,Gastropoda indet,Hyperiidea indet,Isopoda indet,Mecynocera clausi,Metridia lucens,Metridia sp.,Microcalanus pygmaeus,Microsetella sp.,Mysidae indet,Neocalanus tonsus,Nyctiphanes australis,Oikopleura sp.,Oithona similis,Oncaea sp.,Ostracoda indet,Paracalanus sp.,Phronima sp.,Pisces egg,Pisces larvae,Pseudosagitta sp.,Pteropoda indet,Rhincalanus gigas,Rhincalanus gigas nauplius,Salpidae indet,Teuthida indet,Themisto gaudichaudii,Thysanoessa gregaria,Thysanoessa sp. furcilia,Tintinnina indet,Vibilia sp.
component_1,0.0,0.0039973524276405385,0.030264061173357715,8.654966847636449e-05,0.0015611119521327388,0.002343422895546574,0.024518460562033904,0.01831224976048053,0.0,0.0034347413995247504,0.08652501477042772,9.236622396433074e-05,0.0,0.0,0.010337922917877418,0.03817529514323054,0.03875854973053638,0.0,0.00030986852685991337,0.5390609982034856,0.06059787804665524,0.0028157292173515624,0.00667112994352821,0.0,0.0,0.00020695104497729853,0.0010600906301097683,0.0002401298095037067,0.00041390208995459706,0.0003054638394139739,0.0026095464969335225,0.007607271364016019,0.0017146587982712204,0.05106720461252216,9.403119546641543e-05,0.011738351140322494,0.0,0.0004990341678040039,3.6691569641280263e-07,0.0002873693070341427,0.0003309517218125402,0.0007321425834446388,4.745023872088169e-05,0.0,0.01654009498926972,0.0005119480766361346,0.00015994183654865742,0.034815409621986024,0.00044399139051779076,0.0002844257733613067,0.00042656979256623493
component_2,0.0,0.0,0.06585528911030691,0.0003509639083893702,0.0133871266259358,0.008810098945350902,0.0004607704772275138,0.013292351110087476,0.0014590354453127138,0.0007855611270257466,0.01308529325771735,9.852470078423604e-05,0.00017964668248839942,0.004387156788387131,0.026068506116786187,0.0,0.0,0.06887139861380911,0.0,0.0,0.006705955201173085,0.0009952444605831206,0.006504329662713462,2.2108734736038844e-05,0.0029180708906254276,2.959597187198379e-05,0.0004548761437436571,0.003851378845085233,5.919194374396758e-05,0.0,0.039116839332695864,0.16561849531175865,0.0,0.06299618982028989,0.011009214312363205,0.0,0.4752482242161017,0.0,3.023827970242603e-07,0.0010893681209145924,0.0,1.7325923078500272e-05,0.0028738503071176775,0.0014590354453127138,0.0016697685230434864,0.0,7.797812010669532e-06,0.0,4.847364269527682e-05,0.0,0.00021264008593583668
component_3,0.4760139095188182,0.0025770465557396075,0.24462837094500994,0.0,0.0,0.0007651453068072017,0.0,0.00014663701204706224,0.0,0.01696143585063648,0.0,0.002971466332985504,0.00017161194394613727,0.0011032457507192243,0.00988890029046955,0.0,0.0,0.0,0.008887633528095252,0.07579652007873172,0.0046880262758414335,0.0023464857146345305,0.0003851711716909689,0.0009211209079615133,0.0,0.00018204449178877178,0.0005266616222458093,0.0008180735107249693,0.00036408898357754356,0.0020446173724086828,0.0,0.016598569226331072,0.008877931534623544,0.11793650106306781,0.0,0.0,0.0,0.0,2.863240867415246e-06,0.0002809326934617148,0.0,6.792059633071627e-05,0.0,0.0,0.0023406274453754705,0.0,2.9892702381254634e-05,0.0,0.0010054166865334129,0.0004988230809190051,0.00017230856522851875
