component,Acartia sp.,Amphipoda indet,Calanoida indet (small),Calanoides brevicornis,Calanus australis,Calocalanus sp.,Centropages aucklandicus,Chaetognatha indet,Cirripedia nauplius,Clausocalanus sp.,Copepoda nauplius indet,Ctenocalanus sp.,Decapoda (natant) indet juv,Decapoda zoea indet,Eucalanus hyalinus,Euchirella rostrata,Euphausiidae calyptopis indet,Euphausiidae furcilia indet,Euphausiidae indet,Foraminifera indet,Fritillaria sp.,Isopoda indet,Limacina sp.,Metridia sp.,Microcalanus pygmaeus,Munida gregaria,Mysidae indet,Neocalanus tonsus,Nyctiphanes australis,Oikopleura sp.,Oithona similis,Oncaea sp.,Paracalanus sp.,Pisces larvae,Rhincalanus gigas nauplius,Squilla sp.,Subeucalanus longiceps,Thalia sp.,Themisto gaudichaudii
component_1,0.18825523043432768,0.0005511948809564018,0.08549906766586114,0.0011361653458570346,0.003921658994132695,1.1878012702140838e-05,0.018658817464094014,0.0005690871712409563,0.0,0.0014653964080149756,0.0,0.0,0.00044514816805011633,0.000525776195679632,0.00016044042531577032,0.0,0.007500301511839686,0.06027742834428426,0.00016440632910763855,0.0,0.0,0.0,0.0,0.0,0.00026545974711068767,0.0009632286781872047,0.0014729607498279425,0.0,0.006403416670942687,0.0,0.0,0.0,0.6202611215470312,0.001315530913626372,0.0,0.00016440632910763855,0.0,0.0,1.1878012702140838e-05
component_2,0.0,0.0,0.4420408563119285,0.005481910664697402,0.012756780074696106,0.0005333457573973157,0.0,0.00590985496495263,3.0675317605903376e-05,0.008950369092204969,0.002271927095420079,0.020680373046367627,0.003713290213399031,0.0003574539245736918,0.0011175045653083976,0.005365901786784972,0.059525056041211936,0.061680058793141423,0.0,0.026689219519420642,0.0007190391675394497,0.001072695009256164,0.008294772415214174,0.0016102558841363226,1.8884338609022678e-05,0.005964498804150376,0.00010080477227101472,0.1807512531415855,0.05706388090676744,0.002145390018512328,0.07207044865478071,0.005491826773890137,0.0,8.459625636234082e-05,0.0016102558841363226,0.0,0.004290780037024656,0.001072695009256164,0.0005333457573973157
component_3,0.4757920394949174,0.0,0.11016411585136521,0.0,0.0013575145780973174,0.0,0.029102058592752788,0.0,0.0005098075977010063,0.00212357548979653,0.0044393214046236995,0.0006184501184924088,0.0028717561561747854,0.0025244152234703064,0.0,0.0,0.04725224138745726,0.0,0.00031208858830553235,0.0,0.0339359469052871,0.0,0.0,0.0,0.0013565544793618751,0.00019861618510409387,0.0010385046379718463,0.0,0.0,0.0,0.0466974950251746,0.0,0.23936536740752248,2.8042288118439416e-05,0.0,0.00031208858830553235,0.0,0.0,0.0
