component,Calanoida indet (small),Calanus propinquus,Clausocalanus sp.,Ctenocalanus sp.,Euphausia superba,Limacina sp.,Neogloboquadrina pachyderma,Oithona similis,Oncaea sp.,Pteropoda indet
component_1,0.00011868661986317791,0.0,0.03881813128386952,0.03881813128386952,0.8412116672468246,0.0,0.001639217188985491,0.0389368179037327,0.03881813128386952,0.001639217188985491
component_2,0.0,0.11427134213344085,0.0,0.0,0.7293327478109854,0.14896914216782342,0.003713383943875192,0.0,0.0,0.003713383943875192
