component,Acartia sp.,Amphipoda indet,Bivalvia larvae,Calanoida indet (small),Calanoides brevicornis,Calanus australis,Calanus simillimus,Calocalanus sp.,Centropages aucklandicus,Chaetognatha indet,Cirripedia cyprid,Cirripedia nauplius,Clausocalanus laticeps,Clausocalanus sp.,Clio sp.,Copepoda indet,Copepoda nauplius indet,Ctenocalanus sp.,Decapoda (natant) indet juv,Decapoda zoea indet,Egg indet,Eucalanus sp.,Euchirella rostrata,Euphausia lucens,Euphausia vallentini,Euphausiidae calyptopis indet,Euphausiidae furcilia indet,Euphausiidae indet,Foraminifera indet,Fritillaria sp.,Gastropoda indet,Hyperiidea indet,Limacina sp.,Metridia lucens,Metridia sp.,Microcalanus pygmaeus,Munida gregaria,Neocalanus gracilis,Neocalanus tonsus,Nyctiphanes australis,Nyctiphanes australis calyptopis,Nyctiphanes australis furcilia,Oikopleura sp.,Oithona similis,Oncaea sp.,Ostracoda indet,Paracalanus sp.,Phronima sp.,Pisces larvae,Pteropoda indet,Rhincalanus gigas nauplius,Sagittidae indet,Salpidae indet,Sergestidae indet,Teuthida indet,Thalia sp.,Themisto australis,Themisto sp.,Thysanoessa gregaria,Thysanoessa gregaria calyptopis,Thysanoessa gregaria furcilia,Thysanoessa sp.,Thysanoessa sp. furcilia,Vibilia sp.
component_1,0.0,2.8066995998981043e-05,0.0,0.018435973577262885,0.0,0.0,0.00013967553991093052,0.0,0.0,0.000555588232336261,0.0,0.0,7.05066673666187e-05,0.013230343387458468,0.0003823615102661216,0.010993419628358456,0.009540154446261504,0.014681652080311138,2.2834328400040555e-05,0.0,0.0,4.566468134156452e-05,0.0,8.615008768203836e-06,6.282748328557053e-05,0.0016537527123448588,0.030860799649207293,0.0034207805479365386,0.6348843287738205,0.046979014039929,5.636714212697685e-06,0.0001364008531746493,0.005595744745896802,0.0,0.0032844087403636987,0.0007777739311467712,0.0,2.2687770107215087e-05,0.05482447635539609,0.0,0.0,4.004800324940166e-05,0.021790806916323457,0.08780262163260688,0.00013431604734473013,0.0027107489033644625,0.0,6.715802367236506e-05,0.00015404016363322997,1.7706241330695543e-05,0.0024629711065327145,0.0002232575113448277,0.0002552367116153078,0.00026204583597265165,9.762482439819997e-07,9.752432747870984e-06,3.5466457659163325e-06,3.839097157812362e-05,0.0056345249228413365,0.0038552879157619253,0.02359101734079975,0.00010081988220452658,0.00018402146023177143,1.7216681971181372e-05
component_2,0.19780889109565528,0.0,0.0001024716764484673,0.3105231052045838,0.009750912442729045,0.011677766174592825,0.0,0.0001024716764484673,0.00784064228947322,8.692100602325509e-05,7.26865431746685e-05,0.0,0.0,0.03357328718624481,9.068029942178974e-05,0.0346337347586301,0.016035281270836456,0.018735996846261874,1.9743368149328406e-05,0.00121993013856621,0.000787108717672326,1.4100739309230859e-05,6.87979442715278e-05,0.00012893556770718443,8.446005214208095e-05,0.0,0.0,5.420015460534188e-05,0.0,0.09464689537420819,3.160342104889261e-06,0.0004267656034683399,0.0015470680404815417,0.0,0.0031507556418829746,0.0013531847202614801,0.0004169549869094444,0.0,0.016247976000117143,0.011301981413751135,0.10071029838790503,0.0023986865239429027,0.0,0.028622872800195126,4.209399229401044e-05,0.0,0.09384768811676523,2.104699614700522e-05,0.00018345062792291387,0.0,9.225282492058372e-05,0.0,0.0006710727091981816,0.00013944679760056688,1.3888146886564379e-05,4.331823259728651e-06,1.9910527547635517e-05,0.0,0.0,0.0007009466545360629,0.0,8.720397143535337e-07,0.0,2.4273755031587856e-05
component_3,0.0,0.0,0.0,0.10137445448488246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028152019102645014,0.0,0.09778365885219283,2.8344182210824156e-05,0.0,0.0,0.2619902194669737,0.00014897943769600047,0.0,0.0,0.0,0.0,0.0,0.0005051626873252863,0.0,0.0,0.003911538495653763,0.11036429985976116,0.0,0.0,0.00034180765293922847,7.869716783985732e-05,0.3702593138997674,0.0027794828182485065,0.000756303565623877,0.0,0.0,0.011532093929210467,0.0,0.0,0.0,0.0,0.03285532293964142,0.0,0.0,0.0,0.0,0.00011937773942218714,0.00028203247878593303,0.0,0.0,0.0002872252919669836,2.6052172878218818e-05,0.0,0.0,0.0,0.0,0.00397025295121029,0.0003238597347433773,0.0,0.0,0.0,0.0
