component,Calanoida indet (small),Calanoides acutus,Calanus simillimus,Candacia maxima,Chaetognatha indet,Clausocalanus laticeps,Ctenocalanus citer,Cyllopus lucasii,Decapoda (natant) indet juv,Decapoda nauplius indet,Decapoda zoea indet,Egg indet,Eukrohnia hamata,Euphausia longirostris,Euphausia longirostris furcilia,Euphausia triacantha furcilia,Euphausia vallentini,Euphausia vallentini calyptopis,Euphausia vallentini furcilia,Euphausiidae calyptopis indet,Euphausiidae furcilia indet,Foraminifera indet,Fritillaria sp.,Heterorhabdus austrinus,Hyperiidea indet,Limacina sp.,Metridia lucens,Mysidae indet,Nauplius indet,Neocalanus tonsus,Oikopleura sp.,Oithona similis,Ostracoda indet,Paraeuchaeta exigua,Paraeuchaeta sp.,Pelagobia longicirrata,Phronima sp.,Pisces larvae,Pleuromamma borealis,Pleuromamma robusta,Primno macropa,Pseudosagitta gazellae,Pyrosomatidae indet,Rhincalanus gigas,Rhincalanus gigas nauplius,Salpa thompsoni,Siphonophorae nectophore,Spongiobranchaea australis,Subeucalanus sp.,Themisto gaudichaudii,Thysanoessa macrura,Thysanoessa macrura calyptopis,Thysanoessa macrura furcilia,Tomopteris sp.,Vanadis longissima
component_1,0.7346202018716708,0.005291979004088147,0.0,8.298181682173748e-05,0.0007162350291619994,0.007405716486891793,1.9034072981517918e-05,3.1621664375058285e-05,6.9849419226572595e-06,7.617563648613576e-07,2.7030290995361515e-05,6.090612965519659e-07,0.00020488203640719403,2.5102007791939397e-05,5.850986246050338e-05,7.075922810019221e-05,0.001185337851656722,0.0001090659436629961,0.00040408276982817565,0.0001783222607436881,0.000984612500651528,0.0028859055301999033,0.006923641168435936,8.298181682173748e-05,0.004279086824230777,0.0014263451568413633,0.0005868488660618533,2.255977107016453e-05,0.0004860858926123243,0.001322657913753149,0.005609870661001527,0.20680539082796565,0.0009951601435574408,0.0009183554807460103,0.0003810186684161968,0.0001000441912834971,5.1673020671068045e-06,5.569321672729837e-05,6.42681922259185e-05,0.00011503214563104141,7.579475298650767e-05,6.352489754645092e-05,8.813067414682114e-05,0.0006858796740513044,0.007392389622816983,0.00011156824104361542,4.035194423116017e-06,8.46370020545421e-06,5.011997196600249e-06,0.0006239121840537946,0.0013025455405218885,0.00021944396421933382,0.004687009127377695,0.00022758664724375843,1.4759554644874492e-05
component_2,0.2560681564325223,0.0,0.7136058630569135,1.436534219299783e-05,0.0002395680118365234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006367079084475539,0.000250575618972861,0.0,0.0,0.0003352513337354209,0.0,5.5469445223149364e-05,0.0,0.0014791636768938833,0.003982727093321086,0.0,1.436534219299783e-05,0.007054883702391244,0.006044262294519261,0.0,0.0,0.0,0.0,0.0,0.0,0.0019785101035989304,0.00013789325373165102,0.0,2.9159450144134898e-05,0.0,2.1174944101137384e-05,0.0,0.0,0.0,2.1341828645574495e-05,0.0,0.0,0.0,0.0,0.0,9.35051133195602e-07,0.0,0.0009589546182066467,0.002578262391975655,0.0,0.004492409099300453,0.0,0.0
