component,Calanoida indet (small),Calanus australis,Candacia falcifera,Chaetognatha indet,Clausocalanus brevipes,Clausocalanus laticeps,Copepoda nauplius indet,Decapoda zoea indet,Eukrohnia hamata,Euphausia longirostris,Euphausia spinifera calyptopis,Euphausia spinifera furcilia,Euphausia vallentini,Euphausiidae calyptopis indet,Euphausiidae furcilia indet,Euphausiidae indet,Foraminifera indet,Fritillaria sp.,Globorotalia sp.,Hansarsia megalops,Harpacticoida indet,Hyperiidea indet,Limacina sp.,Lucicutia sp.,Mecynocera clausi,Metridia lucens,Neocalanus tonsus,Oikopleura sp.,Oithona similis,Oncaea sp.,Ostracoda indet,Paraeuchaeta sp.,Pleuromamma gracilis,Pleuromamma robusta,Primno macropa,Pseudosagitta gazellae,Rhincalanus gigas nauplius,Salpa thompsoni,Sapphirina sp.,Subeucalanus sp.,Thalia sp.,Themisto gaudichaudii,Thysanoessa macrura,Thysanoessa macrura F1,Thysanoessa macrura F2,Thysanoessa macrura F3,Thysanoessa macrura F4,Thysanoessa macrura F6
component_1,0.22372333887797577,6.480138821203213e-06,0.0,0.0,0.6668478010320313,0.001956614530998035,0.0,8.382294927782411e-05,0.001090171328160015,0.0,0.000554738440527228,0.0,5.121407088396262e-05,0.0,0.0,0.0,0.0,0.0,0.00014588133473413673,0.0,0.0,0.0021931532062139203,4.8474177086581615e-05,0.00023647162050462553,0.00019000941475724785,0.020918562684188877,0.0,0.006382168549170456,0.010822779626844246,0.0008798221635106492,0.00042243263693244487,0.0007650365540521425,0.0,0.0010912012972850603,3.870429447957521e-05,0.0015744321436892623,0.0,0.0005046225782048411,0.0,0.0,0.0,0.0,3.796654889661134e-05,0.0035036440394751846,0.003395952546186596,0.052074186994339126,0.00025329732513818307,0.00020701889563533332
component_2,0.04315231976821711,8.157848542889728e-05,0.003715721106019584,0.0,0.0,0.00016439084619828306,0.0,0.0005083225950655619,0.0010634152693334085,0.0003491815048915771,0.0011826174818957349,0.0,0.0037934439784093913,0.0034978592381284175,0.0036261388752655537,0.0028212379663816087,0.004310182472520128,0.0,0.0003071403052005719,0.0029955952993645685,0.0,0.000621988945114112,0.0003053287953679689,9.71331518756931e-05,0.00038883413180470665,0.00578943172775703,0.8645272637377902,0.024465594014889118,0.0,0.0009726178802661113,0.0003455120343516093,0.0006701072737543108,6.0924660335975626e-05,0.0011371246888401642,0.0,0.0063293688837964285,0.0,0.0006065253908132436,0.0,0.0,0.0,0.0,0.004064448077721202,0.010655584855790696,0.0,0.007393066557411019,0.0,0.0
component_3,0.097997698721855,0.0009907894374360752,0.0,0.01099148516472187,0.0,0.0,0.00010697800126414931,0.00033662849378935457,0.0007351200345659277,0.0018518130234370946,0.00041212076924495786,0.0032861524690200525,0.0,0.0024099040667702,0.0030119055458931675,0.00889229372018059,0.3554476662523715,7.951849370334164e-05,0.005766194267899199,0.0018975440775560444,0.0005436766789062767,0.0008532340325045246,0.0017031724910897361,0.0004306509162830919,0.00046351201717469164,0.0039579661102542305,0.0,0.028565544618088835,0.3654856914804783,0.006220792422671193,0.0022419422292564283,0.003563177004949321,0.0005931540711681482,0.0029187144395789286,0.0007323244779611986,0.0071407590417677715,0.0020807704191380255,0.0006608211057471685,0.002143915710422016,0.0014104431667075043,0.04672513972119035,0.0018832860270182486,0.00013033408188030453,0.006980182077398883,0.0,0.013794516706147704,0.0011381464369251534,0.003424319975583381
