Segment_ID,component_1,component_2,component_3
AA_674.0_17-Dec-2012_21:37,0.6725259798063602,0.3078283471877222,0.019645673005917474
AA_674.0_17-Dec-2012_22:06,0.6935369952778997,0.29074956457112505,0.01571344015097533
AA_674.0_17-Dec-2012_22:34,1.0,0.0,0.0
AA_674.0_17-Dec-2012_23:02,1.0,0.0,0.0
AA_674.0_17-Dec-2012_23:30,1.0,0.0,0.0
AA_674.0_17-Dec-2012_23:58,0.5197432931406467,0.45851027191373867,0.021746434945614533
AA_674.0_18-Dec-2012_00:25,0.4786758813188808,0.49936452557204686,0.021959593109072386
AA_674.0_18-Dec-2012_00:53,0.319957589410039,0.53850451218688,0.14153789840308104
AA_674.0_18-Dec-2012_01:20,0.3828529247955806,0.5192584982992854,0.09788857690513401
AA_674.0_18-Dec-2012_01:48,0.5625429019133316,0.4226983066297665,0.01475879145690184
AA_674.0_18-Dec-2012_02:15,0.9438518326373981,0.04480519072974106,0.011342976632860737
AA_674.0_18-Dec-2012_02:42,0.8965025285355324,0.09412467509739972,0.009372796367067891
AA_674.0_18-Dec-2012_03:08,0.9206313616284832,0.06895333151630623,0.010415306855210518
AA_674.0_18-Dec-2012_03:35,0.7089096247086951,0.26711585660638665,0.02397451868491815
AA_674.0_18-Dec-2012_04:01,0.4850596958835755,0.47456667581534945,0.04037362830107504
AA_674.0_18-Dec-2012_04:27,0.5382748585124273,0.4352879311177251,0.026437210369847645
AA_674.0_18-Dec-2012_04:55,0.4175906057061822,0.5528354957222762,0.029573898571541662
AA_674.0_18-Dec-2012_05:21,0.42226099191838024,0.552579633138456,0.025159374943163622
AA_674.0_18-Dec-2012_05:47,0.5322900000295163,0.3740703702495414,0.09363962972094235
AA_674.0_18-Dec-2012_06:13,0.6490495569830235,0.24063124769319624,0.11031919532378025
AA_674.0_18-Dec-2012_06:39,0.36723578601000123,0.4616316696684466,0.17113254432155217
AA_674.0_18-Dec-2012_07:05,0.2932197331320463,0.5354791479931901,0.17130111887476368
AA_674.0_18-Dec-2012_07:31,0.0,0.1413677077698314,0.8586322922301686
AA_674.0_18-Dec-2012_07:57,0.18655089768300398,0.3951438277582608,0.4183052745587353
AA_674.0_18-Dec-2012_08:22,0.0,0.01794452202111781,0.9820554779788823
AA_674.0_18-Dec-2012_08:47,0.4797977218986771,0.062472920274326056,0.4577293578269968
AA_674.0_18-Dec-2012_09:13,0.07830067589172471,0.006771690443142369,0.9149276336651329
AA_674.0_18-Dec-2012_09:38,0.17108698810724188,0.046466725343942326,0.7824462865488159
AA_674.0_18-Dec-2012_10:04,0.0,0.0,1.0
AA_674.0_18-Dec-2012_10:29,0.051376805859671054,0.03659858987806755,0.9120246042622614
AA_674.0_18-Dec-2012_10:55,0.14497189587517226,0.2026270015927268,0.6524011025321008
AA_674.0_18-Dec-2012_11:21,0.06480337434744111,0.0,0.9351966256525588
AA_674.0_18-Dec-2012_11:46,0.12428032467247835,0.3810595419374909,0.4946601333900307
AA_674.0_18-Dec-2012_12:13,0.3351363746501468,0.3637665612436337,0.30109706410621956
AA_675.0_19-Dec-2012_09:44,0.31028826238180757,0.6651893781451177,0.02452235947307475
AA_675.0_19-Dec-2012_10:11,0.0,0.26480963764430715,0.7351903623556928
AA_675.0_19-Dec-2012_10:37,0.0,0.26128544837116113,0.7387145516288388
AA_675.0_19-Dec-2012_11:04,0.05508862579684842,0.9101348981577355,0.03477647604541601
AA_675.0_19-Dec-2012_11:30,0.3350648138911915,0.4107532120066545,0.2541819741021541
AA_675.0_19-Dec-2012_11:56,0.28787394871032457,0.48968575828401756,0.2224402930056579
AA_675.0_19-Dec-2012_12:21,0.45482925752807823,0.5239927487494411,0.021177993722480543
AA_675.0_19-Dec-2012_12:47,0.0,0.35687877758507647,0.6431212224149236
