component,Calanoida indet (small),Calanoides acutus,Calanoides brevicornis,Calanus australis,Calanus simillimus,Candacia maxima,Centropages bradyi,Chaetognatha indet,Clausocalanus brevipes,Clausocalanus laticeps,Clio sp.,Copepoda nauplius indet,Ctenocalanus sp.,Cyllopus lucasii,Decapoda (natant) indet juv,Decapoda zoea indet,Egg indet,Egg mass,Euchirella rostromagna,Eukrohnia hamata,Euphausia frigida calyptopis,Euphausia frigida furcilia,Euphausia longirostris,Euphausia longirostris calyptopis,Euphausia longirostris furcilia,Euphausia spinifera furcilia,Euphausia superba,Euphausia triacantha calyptopis,Euphausia triacantha furcilia,Euphausia vallentini,Euphausia vallentini calyptopis,Euphausia vallentini furcilia,Euphausiidae calyptopis indet,Euphausiidae furcilia indet,Euphausiidae indet,Foraminifera indet,Fritillaria sp.,Haloptilus oxycephalus,Hansarsia megalops,Harpacticoida indet,Hyperiidea indet,Limacina sp.,Mecynocera clausi,Metridia lucens,Neocalanus tonsus,Nyctiphanes australis calyptopis,Nyctiphanes australis furcilia,Oikopleura sp.,Oithona similis,Oncaea sp.,Ostracoda indet,Paraeuchaeta sp.,Pelagobia longicirrata,Pisces larvae,Pleuromamma borealis,Pleuromamma sp.,Primno macropa,Pseudosagitta sp.,Pyrosomatidae indet,Radiozoa indet,Rhincalanus gigas,Rhincalanus gigas nauplius,Salpa thompsoni,Siphonophorae nectophore,Solmundella bitentaculata,Spongiobranchaea australis,Subeucalanus longiceps,Teuthida indet,Themisto gaudichaudii,Thysanoessa gregaria,Thysanoessa gregaria calyptopis,Thysanoessa gregaria furcilia,Thysanoessa macrura,Thysanoessa macrura C1,Thysanoessa macrura C2,Thysanoessa macrura C3,Thysanoessa macrura F1,Thysanoessa macrura F2,Thysanoessa macrura F3,Thysanoessa macrura F4,Thysanoessa macrura F6,Tomopteris sp.,Vibilia sp.
component_1,15.670441261900203,0.3527494571805943,0.006517342067179711,0.002103009448150131,0.0,0.0,0.0010993859163015774,0.0005562470643829398,1.2558039981248585,0.163568752006951,0.011954839896693934,4.554417019258493,0.0,0.0019087979484120215,0.0,0.0,1.9660505296282826,0.0014574649810697945,0.0,0.0018939161828277317,0.0,0.0,0.0,0.0,0.0001380475140254448,0.0,0.00031234053608627334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6959270288707746,5.071373931487188,0.0,0.0,0.006136152333789348,0.0,0.0,0.007911762483427077,0.0,0.0,0.0011651509235095022,0.0,0.23029861717266492,37.48708625486013,0.0,0.0,0.0,0.0,0.0018006601167355587,0.0,0.0,0.0,0.0,0.0,2.938773249739571,0.09335741854140744,3.8373940921237777,0.0,0.00029915050103670635,0.0,0.0,0.0,0.0037185044160346482,0.006153834846106167,0.0,0.001902095942431637,0.0,0.05993884946647793,0.0,0.0,0.0,0.0599224272615876,0.0,0.0,0.0,0.0,0.0,0.0007874308854461208
component_2,26.12980071884055,0.23301967295994375,0.03687044622864652,0.025974815250448518,6.065404755537151,0.018765087604417002,0.0012082746341184646,0.053900641543695636,2.98611319201813,0.5741060876737127,0.006863359581471444,0.870282611166929,0.04311302308465451,0.00013140430369729795,0.006260744798289813,0.005130047620719461,0.15816819982261293,0.00322547527438338,0.0,0.023379909250765638,0.06810347249243388,0.011822024692041107,0.0,0.0,0.0,0.010007920049835167,0.0003845021819064663,0.015749009150068626,0.057239207568189725,0.07601834755227911,0.12330604878757213,0.1409026846032961,0.17726622445162796,0.19532782717899752,0.013322019444414789,0.08436283916406512,2.145223296486057,0.005451543060831496,0.0,0.0,0.08276727366731106,0.562249585508132,0.005934874314449474,0.21679068266982693,0.0,0.0015689437022615596,0.0017662005044346183,3.521110960255895,6.677083280241907,0.0015642571850717003,0.8483770693950433,0.005561279893751294,0.03471297172758223,0.0003223614776302743,0.00010337528089326484,0.0,0.016899559548943,0.02162818852172274,0.00021207717431159724,0.0,0.10474349149651753,0.517100170024984,0.3714108162483826,0.0,0.0008689980548320451,0.018079767371265685,0.0,0.00010138134675129192,0.06904635477352841,0.023321686015855915,0.004557137555373034,0.027157064131138258,0.0,0.007250434986149524,0.05313285167449512,0.032575384464373795,0.21316688425285515,0.03547157093675145,0.10128044216357183,0.006260744798289813,0.037156010158742835,0.03417632213151513,0.022634686309469562
component_3,5.615838063150178,0.0,0.01469066214927829,0.01256109091388477,0.0,0.0,0.000777840082045751,0.07195368376200416,0.29202179782687276,0.037370210025856214,0.0,1.1809139108509,0.0,0.0,0.0,0.08378055925430476,0.3473767934538951,2.1720944779669014e-05,0.04951680667149495,0.008099145179298599,0.0,0.0,0.007772016181805572,0.04173764587935627,0.016041090310002334,0.0,7.374331908148073e-07,0.0,0.0,0.0,0.0,0.0,0.2772076347967768,0.04097092128190164,0.0,0.0,0.9834767064867405,0.0,0.04990392684869641,2.4685526309333133e-06,0.16713181461865914,0.0,0.035915325787750224,1.2227155314541878,15.048107318965627,0.00012891501712559994,0.0013830093470970503,0.44682011857736026,5.877347298522437,0.3066588664756106,0.16196553818640386,0.0,0.0,0.0013287514589290573,0.42324206985823065,0.08770127626995268,0.0034527452009428874,0.02809989403578773,0.009700013310915568,0.0,0.0,0.0,0.059376112531265894,0.05400113405651207,0.0012598183893229944,0.0,0.08678786116361063,0.0,0.0,0.09099883089710425,0.001611697593724857,0.11430479947595835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002665901220561156
