Segment_ID,component_1,component_2,component_3,component_4,component_5
AA_62.0_13-Jan-2000_04:36,0.35525323573496165,0.5047384652719072,12.659499446101288,0.09633475133421608,1.110154860736888
AA_62.0_13-Jan-2000_04:59,0.3022473907883098,0.08420802577986397,8.466196730949553,0.0893248084795801,0.42149856595701096
AA_62.0_13-Jan-2000_05:22,0.023131799993016625,0.11502062502553152,7.673360309764012,0.08020489740069273,1.6731506955070439
AA_62.0_13-Jan-2000_05:45,0.2597490911407786,0.0,11.386700985643852,0.0,0.08744149268950471
AA_62.0_13-Jan-2000_06:17,0.3419442500409408,0.06404366427918415,4.301908787776649,0.0,0.0
AA_62.0_13-Jan-2000_06:41,0.2777210497658882,0.033890340484265084,4.555276036898819,0.0,1.2583069919295518
AA_62.0_13-Jan-2000_07:05,0.44087104549092754,0.046755085009987075,5.606257936566991,0.0,0.5231259343618049
AA_62.0_13-Jan-2000_07:29,0.2712585749379473,0.07628931502265257,6.5686674284321445,0.0,0.0
AA_62.0_13-Jan-2000_07:52,0.22904525187723299,0.26875606415633696,7.1864629156575,0.0,0.654124324198904
AA_62.0_13-Jan-2000_08:16,0.25752186683053313,0.22270790642330113,8.388344546767522,0.0,1.035108388880473
AA_62.0_13-Jan-2000_08:40,0.6934167442949685,0.18880923086789236,15.01447480705746,0.06329806045333454,0.4237555834703939
AA_62.0_13-Jan-2000_09:04,0.9850737697024672,0.05523194521972124,6.6099930392991055,0.0,0.14820307800659246
AA_62.0_13-Jan-2000_09:28,0.6608878830930495,0.2144179012218823,4.84433317347693,0.0,0.0
AA_62.0_13-Jan-2000_09:52,0.675077938119762,0.047376688807169935,6.503727384011608,0.0,0.3529708718694104
AA_62.0_13-Jan-2000_10:15,0.5558110284384062,0.06800409444402836,4.910782042226088,0.0,0.7862487948894004
AA_62.0_13-Jan-2000_10:39,0.5738108706411217,0.10607799372201204,6.403509556144625,0.0,0.0
AA_62.0_13-Jan-2000_11:02,0.48334318169690826,0.10123106220880528,4.206824834002045,0.0,0.0
AA_62.0_13-Jan-2000_11:25,0.389626481242367,0.05589417970517943,2.6377437542300375,0.0,0.0
AA_62.0_13-Jan-2000_11:48,0.5480079493336226,0.027840009631612518,3.271143820800287,0.0017142460401271874,0.0
AA_62.0_13-Jan-2000_12:10,0.6462614590407275,0.1872153930838725,3.708734737051278,0.030331138060954478,0.0
AA_62.0_13-Jan-2000_12:32,0.6128067299692788,0.1538335140910628,2.367671292623234,0.08889221709574639,0.0
AA_62.0_13-Jan-2000_12:54,0.33157949968798306,0.14820810099688425,2.155234242913283,0.0005338950548057292,0.0
AA_62.0_13-Jan-2000_13:16,0.22515419671292206,0.30841246034371433,0.6063872991891905,0.00829799299197692,0.45654401831387115
AA_62.0_13-Jan-2000_13:38,0.4165179597147443,0.2288471691810089,1.1545718607342694,0.024430658973225144,0.0
AA_62.0_13-Jan-2000_13:59,0.06454290470294258,0.20241258691612835,0.5071953278984979,0.04129684775253308,0.6344590676413342
AA_62.0_13-Jan-2000_14:21,0.31702118816472,0.06403776413179921,1.1545420764787995,0.014043207016347956,0.0
AA_62.0_13-Jan-2000_14:42,0.17821186666953218,0.04312532803840711,0.6582510027822146,0.026149876072405286,0.0
AA_62.0_13-Jan-2000_15:10,0.19837627945090663,0.04584397671432217,0.6288296838440848,0.07193461826087914,0.0
AA_63.0_13-Jan-2000_16:51,0.3571483374608801,0.22811899526797003,9.868829063062224,0.12525549464763447,0.0
AA_63.0_13-Jan-2000_17:17,0.28678544939329026,0.23856957735601714,7.946323391983823,0.0,0.0
AA_63.0_13-Jan-2000_17:39,0.5455455580068206,0.21383013343907048,8.112571324151334,0.0,0.0
AA_63.0_13-Jan-2000_18:00,0.8785902811564551,0.4237223473095387,4.6451428612304735,0.0,0.4896005111796775
AA_63.0_13-Jan-2000_18:21,1.1418250353150106,0.6660269917077555,7.695093216375271,0.0,1.3952751497898928
AA_63.0_13-Jan-2000_18:43,1.658580125379214,0.452657799755012,10.739304548983258,0.0,0.0
AA_63.0_13-Jan-2000_19:05,1.1408506524099131,0.3161775864896664,3.8979951386065492,0.0,1.0311459524913267
AA_63.0_13-Jan-2000_19:26,1.0454331049817143,0.35327330940266227,4.989263074180082,0.0,1.716876268476462
AA_63.0_13-Jan-2000_19:48,1.3884799959890173,0.25261097421667517,3.84156489073188,0.0,1.0718690137243607
AA_63.0_13-Jan-2000_20:09,1.3877396778247326,0.12940679413774597,3.752065402757598,0.0,0.003918179643587848
AA_63.0_13-Jan-2000_20:30,1.2424613485055676,0.17509053962423365,3.238987608976898,0.0,1.5713856037894922
