component,Calanoida indet (small),Calanoides acutus,Calanus propinquus,Calanus simillimus,Candacia maxima,Cnidaria indet,Eukrohnia hamata,Euphausia frigida,Euphausia frigida calyptopis,Euphausia frigida furcilia,Euphausia superba,Euphausia triacantha furcilia,Euphausiidae furcilia indet,Foraminifera indet,Fritillaria sp.,Haloptilus oxycephalus,Harpacticoida indet,Heterorhabdus austrinus,Hyperiidea indet,Limacina sp.,Nauplius indet,Oikopleura sp.,Oithona similis,Oncaea sp.,Ostracoda indet,Paraeuchaeta antarctica,Paraeuchaeta sp.,Pelagobia longicirrata,Pisces egg,Pisces larvae,Pleuromamma robusta,Pseudosagitta gazellae,Rhincalanus gigas,Rhincalanus gigas nauplius,Salpa thompsoni,Spongiobranchaea australis,Themisto gaudichaudii,Thysanoessa macrura,Thysanoessa macrura calyptopis,Thysanoessa macrura furcilia,Tomopteris sp.
component_1,8.431959682551541,0.0,0.00812777245790922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018565716235520292,0.003905718516362398,4.857410292581505e-05,0.0,0.0,0.0016033180570926798,0.009862446573315031,0.0,0.0012716550007697226,0.0,0.31431712334627354,0.19569594119203748,49.75194879022328,0.0,0.0,0.0,0.0,0.0027965938605908703,0.0,0.0,0.005551215090459195,0.0,0.0,1.15397984021574,0.0,0.0,0.01062812993413531,0.012605988843821967,0.008444527589463005,0.0,0.0017065097686753108
component_2,48.544940479820276,1.768928610765153,0.0,0.0,0.021207747354671583,0.0,0.0,0.006688454381732286,0.006760679859620292,0.006061688597383793,0.0,0.002354877358994858,0.004292060475081371,0.0,0.22641735728573262,0.0,0.02942687556027841,0.0,0.029352415998628464,0.0,0.0,0.17939753942627598,0.0,0.0,0.0038290074317459417,0.006747745756251019,0.023561646160869185,0.003156473783400682,0.0,0.005088930936082011,0.004775624969338651,0.0,0.0,0.018926370980243523,0.008046141436329623,0.0,0.06803145441239399,0.0,0.002548315599379653,0.2584897530662159,0.0
component_3,0.0,0.0,0.0,0.010498100778952671,0.0,0.006942295379667778,0.0035180746693695736,0.0,0.0,0.0003362457252720066,0.056908499889844054,0.0,0.0,1.8161855296969296,0.0,0.0,0.0,6.033901452381274e-05,0.0,0.014432769891582925,0.3361540923032523,0.0075600434427341955,0.22488381325274465,0.035557374666708254,0.005737189315607117,0.0,0.00031156613679814404,0.0,0.1441343421154138,0.0,0.0,0.0,0.008705536163277555,0.06679837246296548,0.001743751375313914,0.008350393021156326,0.0019173811963679474,0.019344209268069637,0.0,0.08726088879869588,0.0
component_4,15.568818455544534,9.461945724723792,0.0,8.258178182427367,0.0,0.0,0.2573650980225565,0.0,0.0,0.0,0.0,0.0,0.003456174882239747,0.0,0.05253687804471797,0.0,0.0,0.014969853425737199,0.0,0.9327659614215337,0.0,0.8231153904122833,0.0,0.0,0.2761894434330624,0.0,0.0,0.0004006007929266857,0.0,0.1217125687177903,0.0,0.039985738096062345,1.0533776367075638,0.24637142957264482,0.0,0.0,0.0,0.012551835450254963,0.0,1.6992885548786747,0.01640172041995874
component_5,0.0,0.08531992730107901,0.0,0.0,0.0,0.0014831828197933209,0.0,0.0,0.0,0.0,0.00015743535502450032,0.0,0.0,0.0,1.333561883836855,0.0,0.0,0.0,0.0,0.0,0.5626675743050259,0.0160117382668302,16.807383656645623,0.0,0.0,0.0005636937480499643,0.011057722304059861,0.0,0.0,0.0,0.0,0.0,0.0,0.1684126713717214,0.006189144194651185,0.0,0.003779983816556667,0.0,0.0,0.0060946139000892284,0.0
