Segment_ID,component_1,component_2,component_3,component_4,component_5
AA_62.0_13-Jan-2000_04:36,0.024124249620081764,0.03427537177496885,0.8596710571015884,0.006541822436795388,0.0753874990665655
AA_62.0_13-Jan-2000_04:59,0.032279402031824354,0.008993244611194147,0.904172463643341,0.009539706519245163,0.04501518319439543
AA_62.0_13-Jan-2000_05:22,0.0024184127998971043,0.012025322365656281,0.802244217784957,0.008385363462714852,0.17492668358677474
AA_62.0_13-Jan-2000_05:45,0.02213665343699946,0.0,0.9704113011634177,0.0,0.0074520453995829345
AA_62.0_13-Jan-2000_06:17,0.0726320630375445,0.013603455711052618,0.9137644812514029,0.0,0.0
AA_62.0_13-Jan-2000_06:41,0.045340773004829554,0.005532941187744953,0.7436949303535929,0.0,0.20543135545383256
AA_62.0_13-Jan-2000_07:05,0.06662692747867546,0.00706589305439842,0.8472494276653155,0.0,0.07905775180161057
AA_62.0_13-Jan-2000_07:29,0.03922066657129248,0.011030500282397425,0.9497488331463101,0.0,0.0
AA_62.0_13-Jan-2000_07:52,0.027468766937640807,0.032231175406967114,0.8618527269973776,0.0,0.0784473306580144
AA_62.0_13-Jan-2000_08:16,0.02600263703915535,0.022487383024006036,0.8469924565765561,0.0,0.10451752336028253
AA_62.0_13-Jan-2000_08:40,0.04232343370506472,0.011524173639138767,0.9164245518169151,0.0038634649181708875,0.025864375920710475
AA_62.0_13-Jan-2000_09:04,0.1263157707588882,0.0070823789502069655,0.847597805514749,0.0,0.019004044776155884
AA_62.0_13-Jan-2000_09:28,0.11554713295193608,0.037488013282688214,0.8469648537653757,0.0,0.0
AA_62.0_13-Jan-2000_09:52,0.08907036822691151,0.0062509213812847195,0.8581074276472551,0.0,0.0465712827445487
AA_62.0_13-Jan-2000_10:15,0.08793301275745516,0.010758701426106373,0.7769184810552956,0.0,0.12438980476114289
AA_62.0_13-Jan-2000_10:39,0.08100784913916917,0.014975579153488877,0.904016571707342,0.0,0.0
AA_62.0_13-Jan-2000_11:02,0.1008772539790127,0.02112766241400402,0.8779950836069833,0.0,0.0
AA_62.0_13-Jan-2000_11:25,0.12636816982818713,0.018128247266123672,0.8555035829056893,0.0,0.0
AA_62.0_13-Jan-2000_11:48,0.1423875831667107,0.00723360252639321,0.8499334058946575,0.0004454084122385898,0.0
AA_62.0_13-Jan-2000_12:10,0.14133524771484432,0.04094338844964844,0.8110880440678683,0.0066333197676391,0.0
AA_62.0_13-Jan-2000_12:32,0.19012348482491712,0.04772689716270263,0.7345707791035719,0.02757883890880838,0.0
AA_62.0_13-Jan-2000_12:54,0.12581008810591682,0.05623409849515612,0.81775323940401,0.00020257399491714235,0.0
AA_62.0_13-Jan-2000_13:16,0.14030082407075342,0.19218172688596524,0.37785943599690947,0.005170746412477959,0.28448726663389395
AA_62.0_13-Jan-2000_13:38,0.22830812639855472,0.12543917305057253,0.6328613980949619,0.013391302455910943,0.0
AA_62.0_13-Jan-2000_13:59,0.04451521132280623,0.13960386695389218,0.34981238150430316,0.028482416667342123,0.43758612355165627
AA_62.0_13-Jan-2000_14:21,0.20457675435598507,0.041324171479322956,0.7450368605985094,0.00906221356618263,0.0
AA_62.0_13-Jan-2000_14:42,0.19675872293693872,0.047613464970928436,0.7267564674554331,0.028871344636699894,0.0
AA_62.0_13-Jan-2000_15:10,0.20992541911376536,0.0485129373947022,0.6654391104497689,0.07612253304176363,0.0
AA_63.0_13-Jan-2000_16:51,0.03375899971563095,0.021562662593172358,0.932838718785918,0.011839618905278735,0.0
AA_63.0_13-Jan-2000_17:17,0.03385225869281481,0.02816083963107906,0.9379869016761061,0.0,0.0
AA_63.0_13-Jan-2000_17:39,0.06149107485061965,0.024101827148330444,0.9144070980010499,0.0,0.0
AA_63.0_13-Jan-2000_18:00,0.1364894574533561,0.06582548718728967,0.7216253611275443,0.0,0.07605969423181004
AA_63.0_13-Jan-2000_18:21,0.10477169612285714,0.061113371511927216,0.7060871352156896,0.0,0.12802779714952608
AA_63.0_13-Jan-2000_18:43,0.12906693462317184,0.03522480087254826,0.8357082645042799,0.0,0.0
AA_63.0_13-Jan-2000_19:05,0.17864397159828638,0.04950974052700108,0.6103807990647349,0.0,0.16146548880997766
AA_63.0_13-Jan-2000_19:26,0.1289886490527615,0.043587912712066516,0.6155901325877499,0.0,0.2118333056474222
AA_63.0_13-Jan-2000_19:48,0.21183533856992676,0.03853993676844567,0.586093571111822,0.0,0.16353115354980557
AA_63.0_13-Jan-2000_20:09,0.2631719042613673,0.02454079319182697,0.711544256271976,0.0,0.0007430462748297747
AA_63.0_13-Jan-2000_20:30,0.19949844103404177,0.028113783770302297,0.5200749136354917,0.0,0.25231286156016414
AA_63.0_13-Jan-2000_20:51,0.13062065349291221,0.05542517921602796,0.40979564044474887,0.0,0.40415852684631093
AA_63.0_13-Jan-2000_21:12,0.2021273521084454,0.01520655903885619,0.4616965736815491,0.0,0.3209695151711493
AA_63.0_13-Jan-2000_21:33,0.23758449737239376,0.022765330647184504,0.4381493266545502,0.0,0.30150084532587157
AA_63.0_13-Jan-2000_21:54,0.1735502187729829,0.0,0.265995883134641,0.0,0.560453898092376
AA_63.0_13-Jan-2000_22:15,0.1511795161898335,0.024404529264075003,0.32840589184296004,0.0,0.49601006270313147
AA_63.0_13-Jan-2000_22:36,0.13244615094244752,0.035853626263674006,0.4456398170807517,0.0,0.3860604057131269
AA_63.0_13-Jan-2000_22:57,0.22612236087512091,0.03441610347724966,0.4309678028892183,0.0,0.30849373275841113
AA_63.0_13-Jan-2000_23:18,0.13652558923335098,0.029927943712544716,0.18839123857367188,0.00446661655248633,0.640688611927946
