component,Calanoida indet (small),Calanus propinquus,Crustacea nauplius indet,Euphausia superba,Euphausia superba furcilia,Metridia gerlachei,Themisto gaudichaudii,Thysanoessa macrura furcilia
component_1,0.0,0.0430524099157552,0.0,0.19171254672775603,0.01950308887966934,0.11472370642621357,0.2677165110342628,0.36329173701634304
component_2,0.0,0.29156022867823467,0.0,0.7084397713217653,0.0,0.0,0.0,0.0
component_3,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
