component,Calanoides acutus,Calanus propinquus,Clio pyramidata,Copepoda indet,Euphausia superba,Euphausia superba calyptopis,Euphausia superba furcilia,Hyperiella dilatata,Hyperiella sp.,Limacina sp.,Metridia gerlachei,Pisces larvae,Spongiobranchaea australis,Themisto gaudichaudii,Vanadis antarctica
component_1,0.0,0.0,0.0,0.0,0.011169877779870727,0.005526571631308116,0.024142765317103403,3.2199921703521585e-06,3.2199921703521585e-06,0.955926968089959,0.0,0.0,0.0,0.003227377197417965,0.0
component_2,0.4124767522725107,0.030760634144539282,0.00044876372717415577,0.2871000933653932,0.01391697404718763,0.10369272803583385,0.1433894984307827,4.286152159222921e-05,4.286152159222921e-05,0.0,0.0004552288565415532,0.006480142722333071,0.0006906301493580993,0.0005021229915525919,7.082136086275069e-07
