h3_cell,year,center_lat,center_lon,n_segments,n_tows,n_ships,ships,season,months,mean_segment_length,total_abundance_sum,mean_total_abundance,mean_total_plankton_corrected,mean_water_temperature,mean_salinity,mean_fluorescence,mean_phytoplankton_colour_index,mean_par,mean_hadisst_sst,mean_hadisst_ice,dist_to_antarctica_km,ocean_zone,ocean_zone_num
83cd2bfffffffff,2004,-50.1618,87.9147,14,2,1,AA,2004-05,December,4.939,4647,331.93,66.7478,4.5,33.67,0.03,,522.43,6.01,0.0,1749.7,SAF-PF,3
83cd2bfffffffff,2006,-49.9663,86.8235,4,1,1,AA,2005-06,January,5.0,263,65.75,13.15,4.87,33.89,0.0,,1271.24,6.52,0.0,1749.7,SAF-PF,3
83cd2cfffffffff,1999,-51.9752,91.0245,3,1,1,AA,1998-99,March,5.05,230,76.67,15.1815,6.13,33.74,24.76,,2.17,5.18,0.0,1531.3,PF-SACCF,4
83cd34fffffffff,2009,-48.13,97.6433,7,1,1,UM,2008-09,February,5.0,236,33.71,6.7429,7.95,33.83,0.96,,714.91,7.65,0.0,1930.7,SAF-PF,3
83cd35fffffffff,1999,-48.9237,95.3624,11,1,1,AA,1998-99,March,5.05,117,10.64,2.1062,7.66,33.89,19.79,,156.39,7.2,0.0,1876.0,SAF-PF,3
83cd36fffffffff,2009,-47.233,97.9232,5,1,1,UM,2008-09,February,5.0,223,44.6,8.92,9.07,33.9,3.31,,0.51,8.17,0.0,2028.7,SAF-PF,3
83cd42fffffffff,2003,-49.4215,79.7532,11,1,1,AA,2003-04,December,5.0,4286,389.64,77.9273,4.66,33.8,255.21,,103.25,5.01,0.0,1928.8,SAF-PF,3
83cd43fffffffff,2003,-50.0708,78.3453,17,2,1,AA,2003-04,December,5.1,2574,151.41,29.8346,5.01,33.77,237.14,,214.14,4.24,0.0,1871.9,PF-SACCF,4
83cd4efffffffff,2003,-50.4012,77.3323,5,1,1,AA,2003-04,December,4.73,469,93.8,18.9227,3.79,33.88,145.19,,1144.06,3.81,0.0,1964.4,PF-SACCF,4
83cd50fffffffff,2003,-48.2477,82.4033,10,1,1,AA,2003-04,December,5.05,779,77.9,15.4764,5.88,33.8,155.04,,327.71,6.3,0.0,2040.8,SAF-PF,3
83cd51fffffffff,2003,-48.9866,80.9136,10,1,1,AA,2003-04,December,5.0,1028,102.8,20.56,4.06,33.86,180.55,,536.56,5.64,0.0,1967.5,SAF-PF,3
83cd56fffffffff,2003,-47.7646,83.5686,12,1,1,AA,2003-04,December,5.0,1266,105.5,21.1,5.97,33.78,184.63,,0.22,7.48,0.0,2090.4,SAF-PF,3
83cd74fffffffff,2006,-51.7404,86.6325,1,1,1,AA,2005-06,January,5.0,158,158.0,31.6,4.4,33.82,1.36,,127.01,5.26,0.0,1648.6,SAF-PF,3
83cd76fffffffff,2006,-50.493,86.6785,9,1,1,AA,2005-06,January,5.0,597,66.33,13.2667,4.85,33.9,0.15,,1629.0,6.08,0.0,1787.4,SAF-PF,3
83cda1fffffffff,2006,-43.7283,92.9953,2,1,1,AA,2005-06,January,5.0,14,7.0,1.4,10.55,34.5,0.07,,955.18,11.63,0.0,2446.2,STF-SAF,2
83cdadfffffffff,2003,-44.3739,90.2154,9,1,1,AA,2003-04,December,5.0,945,105.0,21.0,8.78,34.29,196.43,,33.87,10.28,0.0,2378.2,STF-SAF,2
83cf20fffffffff,2000,-56.0883,-79.4658,1,1,1,KM,1999-00,February,3.792,18,18.0,4.7468,7.85,34.17,0.03,,,7.6,0.0,1536.6,STF-SAF,2
83cf24fffffffff,2000,-56.51,-78.7808,17,1,1,KM,1999-00,February,3.792,353,20.76,5.4759,10.87,34.17,0.03,,,7.63,0.0,1485.7,STF-SAF,2
83cf25fffffffff,2000,-55.9018,-79.7741,7,1,1,KM,1999-00,February,3.792,143,20.43,5.3884,7.87,34.18,0.03,,,8.01,0.0,1559.4,STF-SAF,2
83d000fffffffff,2004,-45.8521,13.0584,12,1,1,PS,2003-04,May,5.0,894,74.5,14.9,6.47,33.78,4.79,,0.0,8.13,0.0,2663.8,STF-SAF,2
83d003fffffffff,2004,-46.7503,12.7922,10,1,1,PS,2003-04,May,5.0,189,18.9,3.78,6.26,33.78,4.92,,71.48,7.13,0.0,2565.0,STF-SAF,2
83d005fffffffff,2004,-44.8327,13.3567,13,1,1,PS,2003-04,May,5.012,930,71.54,14.2781,7.54,33.91,4.9,,42.96,9.45,0.0,2776.0,STF-SAF,2
83d018fffffffff,2004,-48.6063,12.3414,9,1,1,PS,2003-04,April;May,5.0,788,87.56,17.5111,4.39,33.79,5.24,,0.0,5.4,0.0,2360.7,SAF-PF,3
83d01afffffffff,2004,-49.4681,11.8391,13,1,1,PS,2003-04,April,5.093,887,68.23,13.5712,3.6,33.83,5.21,,106.38,4.48,0.0,2295.0,SAF-PF,3
83d01cfffffffff,2004,-47.6992,12.5474,13,1,1,PS,2003-04,May,5.057,601,46.23,9.2065,5.79,33.74,5.15,,10.54,6.16,0.0,2460.5,STF-SAF,2
83d030fffffffff,2007,-44.6571,8.46,5,1,1,PS,2007-08,December,5.0,23,4.6,0.92,8.18,34.33,0.6,0.0,505.27,8.36,0.0,2842.9,STF-SAF,2
83d032fffffffff,2007,-45.3192,7.7458,13,1,1,PS,2007-08,December,5.0,371,28.54,5.7077,5.9,33.96,0.72,0.0,185.48,7.55,0.0,2770.1,STF-SAF,2
83d036fffffffff,2007,-44.8557,8.2484,1,1,1,PS,2007-08,December,5.0,6,6.0,1.2,7.72,34.22,0.59,0.0,580.02,8.36,0.0,2821.0,STF-SAF,2
83d040fffffffff,2005,-45.6943,22.7343,12,1,1,UM,2004-05,January,5.0,685,57.08,11.4167,8.02,33.39,4.89,,1082.56,9.94,0.0,2736.3,STF-SAF,2
83d040fffffffff,2006,-45.7174,22.7865,12,1,1,UM,2005-06,January,5.0,2556,213.0,42.6,7.98,33.79,5.44,,369.95,9.48,0.0,2736.3,STF-SAF,2
83d040fffffffff,2007,-45.8603,22.4103,13,1,1,UM,2007-08,December,5.0,4717,362.85,72.5692,8.67,33.83,3.84,,87.33,8.46,0.0,2736.3,STF-SAF,2
83d041fffffffff,2009,-45.5189,24.3051,10,1,1,UM,2008-09,January,5.0,1992,199.2,39.84,10.48,34.2,4.86,,0.35,9.45,0.0,2735.6,STF-SAF,2
83d042fffffffff,2006,-46.7222,22.5923,1,1,1,UM,2005-06,January,5.0,149,149.0,29.8,10.08,33.53,4.21,,1115.65,8.24,0.0,2621.9,STF-SAF,2
83d043fffffffff,2005,-46.6786,23.2242,13,1,1,UM,2004-05,January,5.0,2402,184.77,36.9538,6.29,33.33,3.6,,127.06,8.33,0.0,2611.0,STF-SAF,2
83d043fffffffff,2006,-46.6371,22.929,11,2,1,UM,2005-06,January,5.12,3014,274.0,53.8203,7.32,33.77,2.25,,636.85,8.07,0.0,2611.0,STF-SAF,2
83d043fffffffff,2007,-46.7713,22.8396,10,1,1,UM,2007-08,December,5.0,4039,403.9,80.78,8.04,33.83,4.6,,0.0,7.07,0.0,2611.0,SAF-PF,3
83d044fffffffff,2005,-45.1074,22.4247,3,1,1,UM,2004-05,January,5.0,185,61.67,12.3333,10.09,33.73,1.28,,1681.25,10.21,0.0,2801.2,STF-SAF,2
83d044fffffffff,2006,-44.7746,22.5652,1,1,1,UM,2005-06,January,5.0,138,138.0,27.6,12.01,34.74,5.99,,444.68,11.75,0.0,2801.2,STF-SAF,2
83d044fffffffff,2007,-44.8742,21.9342,12,1,1,UM,2007-08,December,5.0,1590,132.5,26.5,10.58,34.25,1.73,,737.36,10.31,0.0,2801.2,STF-SAF,2
83d045fffffffff,2006,-45.016,22.6396,5,1,1,UM,2005-06,January,5.0,545,109.0,21.8,10.5,34.21,5.22,,398.98,10.64,0.0,2811.6,STF-SAF,2
83d045fffffffff,2009,-44.9657,23.8883,1,1,1,UM,2008-09,January,5.0,41,41.0,8.2,13.63,34.87,8.63,,6.64,11.56,0.0,2811.6,STF-SAF,2
83d048fffffffff,2009,-46.797,25.3117,1,1,1,UM,2008-09,January,5.0,117,117.0,23.4,7.59,33.76,1.56,,1.94,7.87,0.0,2484.2,SAF-PF,3
83d04afffffffff,1999,-47.4629,25.5025,10,1,1,KM,1999-00,November,5.0,108,10.8,2.16,6.86,33.89,0.03,,,5.0,0.0,2409.0,SAF-PF,3
83d04afffffffff,2009,-47.243,25.6488,11,1,1,UM,2008-09,January,5.0,871,79.18,15.8364,7.61,33.79,1.37,,208.7,6.78,0.0,2409.0,SAF-PF,3
83d04cfffffffff,2009,-45.9565,24.6495,2,1,1,UM,2008-09,January,5.0,564,282.0,56.4,8.25,33.84,2.82,,0.36,9.45,0.0,2686.3,STF-SAF,2
83d04efffffffff,2009,-46.3931,25.0012,10,1,1,UM,2008-09,January,5.0,3372,337.2,67.44,7.6,33.77,1.73,,0.39,7.88,0.0,2531.8,STF-SAF,2
83d058fffffffff,2005,-48.18,23.9663,3,1,1,UM,2004-05,January,5.0,363,121.0,24.2,4.4,33.36,8.86,,0.0,5.53,0.0,2441.9,SAF-PF,3
