h3_cell,year,center_lat,center_lon,n_segments,n_tows,n_ships,ships,season,months,mean_segment_length,total_abundance_sum,mean_total_abundance,mean_total_plankton_corrected,mean_water_temperature,mean_salinity,mean_fluorescence,mean_phytoplankton_colour_index,mean_par,mean_hadisst_sst,mean_hadisst_ice,dist_to_antarctica_km,ocean_zone,ocean_zone_num
83d8a5fffffffff,2014,-47.6685,141.0912,6,1,1,AA,2013-14,January,5.105,284,47.33,9.1384,11.54,34.55,399.98,0.0,151.18,11.1,0.0,2126.6,STF-SAF,2
83d8a5fffffffff,2016,-47.7503,140.6725,1,1,1,AA,2015-16,January,5.11,70,70.0,13.6986,11.63,34.47,503.89,0.0,154.97,10.9,0.0,2126.6,STF-SAF,2
83d8a5fffffffff,2018,-47.4325,140.9903,21,2,1,AA,2017-18;2018-19,December;January,5.0,3525,167.86,33.5714,11.32,34.56,307.39,1.0,3.35,11.1,0.0,2126.6,STF-SAF,2
83d8a5fffffffff,2019,-47.5034,141.1781,10,1,1,AA,2019-20,December,5.0,1457,145.7,29.14,9.43,34.45,245.68,0.0,0.12,10.43,0.0,2126.6,STF-SAF,2
83d8a6fffffffff,2001,-46.485,143.4159,8,1,1,AA,2001-02,October,4.706,66,8.25,1.8939,10.08,34.71,1.79,,1138.93,10.65,0.0,2264.4,STF-SAF,2
83d8a6fffffffff,2011,-45.9323,142.7765,27,3,1,AA,2010-11;2011-12,December;March;October,5.0,1752,64.89,12.9778,10.6,34.64,0.96,0.41,717.4,11.82,0.0,2264.4,North of STF,1
83d8a6fffffffff,2012,-46.3941,143.5113,19,2,1,AA,2012-13,December;November,5.005,2615,137.63,27.5207,11.14,34.68,1.63,0.68,464.94,10.83,0.0,2264.4,North of STF,1
83d8a6fffffffff,2013,-46.3688,143.3934,22,2,1,AA,2012-13,February;January,5.0,1498,68.09,13.6182,12.64,34.64,1.14,0.0,397.47,12.42,0.0,2264.4,North of STF,1
83d8a8fffffffff,2011,-44.8044,137.3306,2,1,1,AA,2010-11,February,5.0,37,18.5,3.7,12.71,34.8,0.25,0.0,241.59,13.68,0.0,2376.8,STF-SAF,2
83d8a9fffffffff,2011,-45.0154,135.6521,9,1,1,AA,2010-11,February,5.0,396,44.0,8.8,12.07,34.7,0.1,0.0,1021.61,12.93,0.0,2350.4,STF-SAF,2
83d8aafffffffff,2011,-44.7103,138.1423,12,1,1,AA,2010-11,February,5.0,373,31.08,6.2167,12.6,34.8,0.4,0.0,30.78,13.78,0.0,2390.2,STF-SAF,2
83d8abfffffffff,2011,-44.8837,136.6958,9,1,1,AA,2010-11,February,5.0,279,31.0,6.2,12.38,34.73,0.17,0.0,511.89,13.56,0.0,2366.4,STF-SAF,2
83d8acfffffffff,2010,-46.2119,138.2331,14,1,1,AA,2010-11,October,5.076,160,11.43,2.2515,9.71,,0.33,0.0,1310.05,9.24,0.0,2224.0,STF-SAF,2
83d8acfffffffff,2015,-46.6644,138.2435,8,1,1,AA,2015-16,October,5.0,841,105.12,21.025,10.21,34.7,222.93,0.0,0.12,9.54,0.0,2224.0,STF-SAF,2
83d8adfffffffff,2010,-46.6149,136.8161,11,1,1,AA,2010-11,October,5.076,266,24.18,4.764,9.57,,0.71,0.0,292.86,9.1,0.0,2174.3,STF-SAF,2
83d8adfffffffff,2017,-46.6999,136.7729,9,1,1,AA,2017-18,November,5.0,587,65.22,13.0444,9.21,34.54,190.2,0.0,711.21,10.48,0.0,2174.3,STF-SAF,2
83d8aefffffffff,2010,-45.9705,139.0804,1,1,1,AA,2010-11,October,5.076,32,32.0,6.3042,9.87,,0.56,0.0,526.26,9.82,0.0,2271.0,STF-SAF,2
83d8b0fffffffff,2010,-44.4866,144.2497,6,1,1,AA,2010-11,October,5.076,163,27.17,5.352,11.35,,0.56,0.0,1027.14,10.79,0.0,2492.9,North of STF,1
83d8b0fffffffff,2011,-43.9697,143.852,6,1,1,AA,2010-11,February,5.0,222,37.0,7.4,14.04,34.91,0.4,0.0,373.79,14.74,0.0,2492.9,North of STF,1
83d8b1fffffffff,2011,-44.1035,142.7142,14,1,1,AA,2010-11,February,5.0,398,28.43,5.6857,13.75,34.79,0.29,0.0,557.78,13.82,0.0,2527.9,North of STF,1
83d8b4fffffffff,2011,-44.7153,144.8728,10,2,1,AA,2010-11;2011-12,March;October,5.0,430,43.0,8.6,12.31,35.17,0.62,0.4,1070.31,11.78,0.0,2468.2,North of STF,1
83d8b4fffffffff,2012,-45.0241,145.4853,38,5,1,AA,2011-12;2012-13,December;March;November;September,5.059,4665,122.76,24.5201,12.53,34.85,0.81,0.34,949.07,12.41,0.0,2468.2,North of STF,1
83d8b4fffffffff,2013,-44.9708,145.3534,14,1,1,AA,2012-13,January,5.0,990,70.71,14.1429,13.45,34.8,1.01,0.0,730.93,13.38,0.0,2468.2,North of STF,1
83d8b5fffffffff,2010,-44.7404,143.3674,10,1,1,AA,2010-11,October,5.076,81,8.1,1.5957,11.36,,0.49,0.0,1032.47,10.6,0.0,2458.1,North of STF,1
83d8b5fffffffff,2011,-45.1665,143.7468,30,2,1,AA,2010-11;2011-12,March;October,5.0,1627,54.23,10.8467,12.1,34.87,0.52,0.03,997.01,12.32,0.0,2458.1,North of STF,1
83d8b5fffffffff,2012,-45.006,143.699,14,1,1,AA,2011-12,March,5.0,72,5.14,1.0286,15.13,35.08,0.73,0.0,569.77,14.03,0.0,2458.1,North of STF,1
83d8b6fffffffff,2013,-44.4548,146.0569,3,1,1,AA,2012-13,January,5.637,172,57.33,10.3795,14.53,35.19,2.18,0.0,118.25,13.92,0.0,2500.1,North of STF,1
83d8e1fffffffff,2011,-45.8626,128.8008,11,1,1,AA,2010-11,February,5.0,684,62.18,12.4364,11.25,34.59,0.27,0.09,1121.98,11.75,0.0,2267.8,STF-SAF,2
83d8e2fffffffff,2011,-45.5445,131.2616,13,1,1,AA,2010-11,February,5.0,714,54.92,10.9846,11.75,34.75,0.88,0.0,79.84,12.06,0.0,2290.8,STF-SAF,2
83d8e3fffffffff,2011,-45.6939,129.9693,9,1,1,AA,2010-11,February,5.0,466,51.78,10.3556,11.4,34.58,0.15,0.0,1189.52,11.92,0.0,2283.0,STF-SAF,2
83d8e4fffffffff,2006,-47.5225,131.3612,9,1,1,AA,2005-06,March,5.141,151,16.78,3.27,10.48,34.53,0.69,,36.57,10.81,0.0,2070.8,STF-SAF,2
83d8ecfffffffff,2011,-46.1595,127.4271,13,1,1,AA,2010-11,February,5.0,1500,115.38,23.0769,10.71,34.57,1.29,0.62,47.42,10.76,0.0,2251.6,STF-SAF,2
83d8f4fffffffff,2011,-45.1861,134.2771,12,2,1,AA,2010-11,February,5.07,582,48.5,9.5322,12.28,34.71,0.36,0.0,294.63,12.39,0.0,2326.8,STF-SAF,2
83d8f5fffffffff,2011,-45.3606,132.7829,13,1,1,AA,2010-11,February,5.0,1006,77.38,15.4769,12.1,34.71,0.95,0.0,2.08,12.27,0.0,2307.2,STF-SAF,2
83d8f6fffffffff,2011,-45.0957,135.0751,1,1,1,AA,2010-11,February,5.0,56,56.0,11.2,12.32,34.72,0.12,0.0,923.21,12.52,0.0,2341.5,STF-SAF,2
83d900fffffffff,1999,-56.5221,142.1417,11,1,1,AA,1999-00,July,5.0,780,70.91,14.1818,1.32,33.69,10.88,,1.44,1.52,0.0,1145.8,PF-SACCF,4
83d900fffffffff,2004,-56.5275,141.9938,9,1,1,AA,2004-05,October,5.0,199,22.11,4.4222,1.68,33.69,1.24,,73.07,1.64,0.0,1145.8,PF-SACCF,4
83d900fffffffff,2006,-56.6277,142.7738,12,1,1,AA,2005-06,March,5.0,532,44.33,8.8667,4.0,33.73,0.26,,84.4,4.46,0.0,1145.8,PF-SACCF,4
83d900fffffffff,2007,-56.544,142.0304,10,1,1,AA,2007-08,December,5.0,1451,145.1,29.02,3.17,33.76,0.85,0.0,56.95,3.07,0.0,1145.8,PF-SACCF,4
83d900fffffffff,2008,-56.5502,142.7009,20,3,1,AA,2007-08,January;March,5.107,2344,117.2,22.1092,3.99,33.72,0.87,1.0,368.88,4.57,0.0,1145.8,PF-SACCF,4
83d901fffffffff,1995,-56.4974,140.1388,8,1,1,AA,1995-96,August,5.282,5,0.62,0.1183,1.57,33.84,,,10.56,2.03,0.0,1123.9,PF-SACCF,4
83d901fffffffff,1997,-56.5369,140.3181,13,1,1,AA,1997-98,December,4.577,2361,181.62,39.68,2.62,33.87,,,2.93,3.46,0.0,1123.9,PF-SACCF,4
83d901fffffffff,2001,-56.4649,140.1564,9,1,1,AA,2001-02,December,4.617,3690,410.0,88.8023,2.73,33.79,24.47,,15.55,3.17,0.0,1123.9,PF-SACCF,4
83d901fffffffff,2002,-56.5443,139.9829,7,1,1,TA,2001-02,February;March,4.659,1635,233.57,50.1334,4.62,33.72,0.32,,355.54,4.68,0.0,1123.9,PF-SACCF,4
83d901fffffffff,2005,-56.5959,140.491,13,1,1,UM,2004-05,February,5.0,340,26.15,5.2308,6.34,33.05,0.6,,732.15,5.03,0.0,1123.9,PF-SACCF,4
83d901fffffffff,2006,-56.8955,141.0182,12,1,1,AA,2005-06,March,5.0,160,13.33,2.6667,4.32,33.74,0.02,,584.03,4.47,0.0,1123.9,PF-SACCF,4
83d901fffffffff,2008,-56.8543,141.8375,2,1,1,AA,2007-08,January,5.0,728,364.0,72.8,4.02,33.72,0.73,1.0,147.85,4.58,0.0,1123.9,PF-SACCF,4
83d901fffffffff,2011,-56.6761,140.0177,8,1,1,UM,2010-11,January,5.0,1728,216.0,43.2,5.23,33.68,3.33,,,4.45,0.0,1123.9,PF-SACCF,4
83d901fffffffff,2012,-56.6598,140.0052,9,1,1,UM,2011-12,January,5.0,1121,124.56,24.9111,3.98,33.8,17.43,0.0,1092.66,4.55,0.0,1123.9,PF-SACCF,4
83d901fffffffff,2013,-56.6865,140.8752,13,1,1,AA,2013-14,October,5.0,2003,154.08,30.8154,1.69,33.79,156.38,1.0,143.19,1.81,0.0,1123.9,PF-SACCF,4
83d901fffffffff,2016,-56.4419,139.9065,2,1,1,AA,2016-17,December,5.0,415,207.5,41.5,3.21,33.83,309.23,1.0,0.12,3.23,0.0,1123.9,PF-SACCF,4
83d901fffffffff,2018,-56.4054,139.849,1,1,1,AA,2018-19,October,5.0,189,189.0,37.8,2.08,33.88,291.74,0.0,0.13,1.89,0.0,1123.9,PF-SACCF,4
83d902fffffffff,2008,-55.5412,143.4027,13,1,1,AA,2007-08,March,5.0,1230,94.62,18.9231,4.21,33.7,1.48,0.31,98.88,5.23,0.0,1263.1,SAF-PF,3
83d902fffffffff,2013,-55.3479,143.1402,12,1,1,AA,2013-14,October,5.0,1411,117.58,23.5167,0.75,,,1.0,238.82,2.16,0.0,1263.1,SAF-PF,3
83d902fffffffff,2019,-55.7812,144.3576,1,1,1,IN,2018-19,January,5.0,150,150.0,30.0,4.74,33.8,1.93,0.0,429.55,4.94,0.0,1263.1,SAF-PF,3
83d903fffffffff,1995,-55.4578,140.7642,5,1,1,AA,1995-96,August,5.282,7,1.4,0.2651,1.75,33.83,,,1.0,2.56,0.0,1241.3,SAF-PF,3
83d903fffffffff,1997,-55.5238,140.9177,11,1,1,AA,1997-98,December,4.577,2451,222.82,48.6821,2.85,33.86,82.46,,19.12,3.96,0.0,1241.3,SAF-PF,3
83d903fffffffff,1999,-55.6479,142.078,10,1,1,AA,1999-00,July,5.0,1321,132.1,26.42,1.37,33.7,12.19,,0.0,2.04,0.0,1241.3,SAF-PF,3
83d903fffffffff,2001,-55.4297,140.8275,6,1,1,AA,2001-02,December,5.0,3228,538.0,107.6,2.78,33.76,8.12,,436.48,3.71,0.0,1241.3,SAF-PF,3
83d903fffffffff,2003,-55.3851,141.5975,6,1,1,AA,2003-04,September,4.913,283,47.17,9.4643,1.29,33.78,2.65,,0.14,2.15,0.0,1241.3,SAF-PF,3
83d903fffffffff,2004,-55.6539,141.95,12,1,1,AA,2004-05,October,5.0,836,69.67,13.9333,2.43,33.72,1.58,,0.0,2.15,0.0,1241.3,SAF-PF,3
83d903fffffffff,2005,-55.4302,140.5883,1,1,1,UM,2004-05,February,5.0,100,100.0,20.0,6.43,33.03,1.13,,18.09,5.49,0.0,1241.3,SAF-PF,3
83d903fffffffff,2006,-55.2797,140.836,2,1,1,AA,2005-06,March,5.0,17,8.5,1.7,4.45,33.71,0.01,,558.12,5.03,0.0,1241.3,SAF-PF,3
83d903fffffffff,2007,-55.6287,141.9377,12,1,1,AA,2007-08,December,5.0,3310,275.83,55.1667,3.62,33.75,1.1,0.0,8.45,3.63,0.0,1241.3,SAF-PF,3
83d903fffffffff,2008,-55.7001,142.1757,11,1,1,AA,2007-08,January,5.0,755,68.64,13.7273,4.37,33.72,0.16,1.45,1347.37,4.92,0.0,1241.3,SAF-PF,3
83d903fffffffff,2013,-55.9127,141.8782,10,1,1,AA,2013-14,October,5.0,918,91.8,18.36,1.06,33.8,118.76,1.0,645.12,2.13,0.0,1241.3,PF-SACCF,4
83d904fffffffff,2001,-57.6576,144.2547,11,1,1,AA,2001-02,October,5.0,61,5.55,1.1091,0.91,33.78,3.92,,578.81,1.68,0.0,1027.8,PF-SACCF,4
83d904fffffffff,2005,-57.4438,144.0251,13,1,1,AA,2004-05,March,5.0,391,30.08,6.0154,3.85,33.47,1.0,,229.96,3.96,0.0,1027.8,PF-SACCF,4
83d904fffffffff,2008,-57.4998,144.8644,6,1,1,UM,2007-08,February,5.0,1212,202.0,40.4,5.77,33.69,2.41,,251.07,4.12,0.0,1027.8,PF-SACCF,4
83d904fffffffff,2019,-57.3613,143.8879,13,2,1,IN,2018-19,January,5.074,2611,200.85,39.6166,4.2,33.85,2.33,0.0,383.99,4.07,0.0,1027.8,PF-SACCF,4
83d905fffffffff,1999,-57.5576,142.2873,14,1,1,AA,1999-00,July,5.0,310,22.14,4.4286,1.42,33.68,11.25,,32.92,1.03,0.0,1030.9,PF-SACCF,4
83d905fffffffff,2001,-58.0872,142.3866,3,1,1,AA,2001-02,October,5.0,126,42.0,8.4,1.11,33.75,8.08,,2.46,1.35,0.0,1030.9,PF-SACCF,4
83d905fffffffff,2004,-57.5265,141.9801,15,1,1,AA,2004-05,October,5.0,189,12.6,2.52,1.51,33.7,0.45,,605.75,1.21,0.0,1030.9,PF-SACCF,4
83d905fffffffff,2005,-57.7629,142.1731,12,1,1,AA,2004-05,March,5.0,721,60.08,12.0167,3.87,33.47,1.43,,50.41,4.04,0.0,1030.9,PF-SACCF,4
83d905fffffffff,2007,-57.5829,142.17,15,1,1,AA,2007-08,December,5.0,908,60.53,12.1067,2.99,33.76,0.28,0.0,623.28,2.62,0.0,1030.9,PF-SACCF,4
83d905fffffffff,2008,-57.5822,142.2003,27,3,1,AA,2007-08,January;March,4.983,5347,198.04,39.7451,3.89,33.72,0.79,0.67,167.66,4.11,0.0,1030.9,PF-SACCF,4
83d906fffffffff,2006,-56.437,144.3933,10,1,1,AA,2005-06,March,4.768,1235,123.5,26.6737,3.85,33.72,0.48,,0.0,4.38,0.0,1163.9,PF-SACCF,4
83d906fffffffff,2008,-56.4668,145.0521,13,1,1,UM,2007-08,February,5.0,2717,209.0,41.8,5.8,33.7,1.96,,476.37,4.55,0.0,1163.9,PF-SACCF,4
83d906fffffffff,2012,-56.3666,145.2217,10,2,1,AA,2011-12,January,4.801,1476,147.6,31.4902,2.59,33.77,1.02,0.0,50.35,4.33,0.0,1163.9,SAF-PF,3
83d906fffffffff,2019,-56.3169,144.2004,12,1,1,IN,2018-19,January,5.0,2082,173.5,34.7,4.61,33.8,1.77,0.0,819.43,4.52,0.0,1163.9,SAF-PF,3
83d908fffffffff,2002,-56.0932,138.4766,6,1,1,AA,2002-03,October,5.0,188,31.33,6.2667,3.38,33.82,3.23,,0.0,2.36,0.0,1144.1,PF-SACCF,4
83d908fffffffff,2005,-55.5135,137.4476,10,1,1,AA,2005-06,December,5.0,1515,151.5,30.3,4.6,33.86,1.02,,0.32,4.13,0.0,1144.1,SAF-PF,3
83d908fffffffff,2006,-56.1863,138.5414,4,1,1,AA,2005-06,March,5.0,60,15.0,3.0,5.19,33.76,0.07,,5.2,4.47,0.0,1144.1,PF-SACCF,4
83d908fffffffff,2007,-55.5108,136.8446,1,1,1,AA,2007-08,September,5.0,71,71.0,14.2,3.65,33.8,0.73,0.0,0.0,2.68,0.0,1144.1,SAF-PF,3
83d908fffffffff,2009,-55.8471,137.8705,14,1,1,AA,2008-09,February,5.0,687,49.07,9.8143,5.57,33.74,0.13,0.0,476.12,5.14,0.0,1144.1,PF-SACCF,4
83d909fffffffff,2005,-55.9714,136.0395,12,1,1,AA,2005-06,December,5.0,1634,136.17,27.2333,4.27,33.86,0.92,,162.38,3.98,0.0,1132.2,PF-SACCF,4
83d909fffffffff,2007,-55.9789,136.2252,13,1,1,AA,2007-08,September,5.0,459,35.31,7.0615,3.56,33.83,0.67,0.0,7.44,2.41,0.0,1132.2,PF-SACCF,4
83d909fffffffff,2009,-56.3128,136.3088,8,1,1,AA,2008-09,February,5.0,806,100.75,20.15,5.16,33.73,0.35,0.0,243.6,4.89,0.0,1132.2,PF-SACCF,4
83d909fffffffff,2011,-55.8387,135.8713,14,1,1,AA,2011-12,December,5.0,4980,355.71,71.1429,3.34,33.85,0.57,1.0,460.11,4.01,0.0,1132.2,SAF-PF,3
83d909fffffffff,2020,-55.9248,136.2167,13,1,1,UM,2019-20,January,5.0,125,9.62,1.9231,5.8,33.58,0.4,0.0,902.78,5.02,0.0,1132.2,SAF-PF,3
83d909fffffffff,2023,-55.6695,135.3556,11,1,1,UM,2022-23,February,5.0,794,72.18,14.4364,5.92,33.53,0.35,0.0,1284.56,5.23,0.0,1132.2,SAF-PF,3
83d90afffffffff,2005,-55.1251,138.8261,11,1,1,AA,2005-06,December,5.0,1359,123.55,24.7091,4.43,33.85,0.94,,28.39,4.21,0.0,1252.9,SAF-PF,3
83d90afffffffff,2007,-54.551,138.122,10,1,1,AA,2007-08,September,5.0,483,48.3,9.66,3.56,33.83,0.73,0.0,16.31,3.17,0.0,1252.9,SAF-PF,3
83d90afffffffff,2020,-54.5717,137.787,5,1,1,UM,2019-20,January,5.0,73,14.6,2.92,6.48,33.61,0.65,0.0,207.58,5.78,0.0,1252.9,SAF-PF,3
83d90bfffffffff,2000,-54.4175,136.5068,8,1,1,AA,2000-01,October,5.0,134,16.75,3.35,,,,,5.01,3.61,0.0,1306.1,SAF-PF,3
83d90bfffffffff,2007,-55.1839,137.2969,9,1,1,AA,2007-08,September,5.0,766,85.11,17.0222,3.46,33.82,0.71,0.0,0.3,2.74,0.0,1306.1,SAF-PF,3
83d90bfffffffff,2009,-54.5737,135.9482,4,1,1,AA,2009-10,December,5.0,263,65.75,13.15,4.52,,0.56,0.0,,4.22,0.0,1306.1,SAF-PF,3
83d90bfffffffff,2011,-54.9516,137.089,13,1,1,AA,2011-12,December,5.0,3127,240.54,48.1077,4.51,33.89,0.5,1.0,640.65,4.44,0.0,1306.1,SAF-PF,3
83d90bfffffffff,2017,-54.8071,136.618,14,1,1,AA,2017-18,December,5.0,2128,152.0,30.4,4.73,33.84,210.74,0.0,173.36,4.23,0.0,1306.1,SAF-PF,3
83d90bfffffffff,2020,-55.1882,137.1695,9,1,1,UM,2019-20,January,4.858,857,95.22,19.4344,6.02,33.58,0.84,0.0,110.83,5.33,0.0,1306.1,SAF-PF,3
83d90bfffffffff,2023,-54.7075,136.2262,13,1,1,UM,2022-23,February,5.0,1072,82.46,16.4923,6.84,33.54,0.38,0.0,1228.71,5.75,0.0,1306.1,SAF-PF,3
83d90cfffffffff,1995,-56.9473,139.883,3,1,1,AA,1995-96,August,5.282,1,0.33,0.0631,1.26,33.85,,,121.02,1.96,0.0,1073.3,PF-SACCF,4
83d90cfffffffff,2001,-56.9748,139.8556,2,1,1,AA,2001-02,December,5.49,1333,666.5,123.2214,2.72,33.78,22.16,,6.24,2.96,0.0,1073.3,PF-SACCF,4
83d90cfffffffff,2002,-56.5526,138.3881,6,2,2,AA;TA,2001-02;2002-03,February;October,4.943,348,58.0,12.1709,3.28,33.82,2.38,,73.48,2.65,0.0,1073.3,PF-SACCF,4
83d90cfffffffff,2006,-56.4211,138.1145,4,1,1,AA,2005-06,March,5.0,223,55.75,11.15,4.79,33.76,0.17,,0.0,4.49,0.0,1073.3,PF-SACCF,4
83d90cfffffffff,2016,-56.8814,139.6767,9,1,1,AA,2016-17,December,5.0,1539,171.0,34.2,3.16,33.82,290.97,1.0,6.84,3.1,0.0,1073.3,PF-SACCF,4
83d90cfffffffff,2018,-56.909,139.4926,12,1,1,AA,2018-19,October,5.0,1786,148.83,29.7667,2.31,33.89,253.4,0.0,95.93,1.65,0.0,1073.3,PF-SACCF,4
83d90dfffffffff,2002,-56.7453,137.7955,3,1,1,AA,2002-03,October,5.17,54,18.0,3.5445,2.74,33.81,1.54,,317.68,2.2,0.0,1070.2,PF-SACCF,4
83d90dfffffffff,2006,-56.9115,137.2951,12,1,1,AA,2005-06,March,5.0,887,73.92,14.7833,4.7,33.77,0.21,,0.0,4.34,0.0,1070.2,PF-SACCF,4
83d90dfffffffff,2009,-56.1569,136.9192,1,1,1,AA,2008-09,February,5.0,76,76.0,15.2,5.17,33.72,0.36,0.0,274.66,4.88,0.0,1070.2,PF-SACCF,4
83d90efffffffff,1995,-55.9123,140.4781,6,1,1,AA,1995-96,August,5.282,9,1.5,0.284,1.75,33.83,,,1.0,2.38,0.0,1189.8,PF-SACCF,4
83d90efffffffff,1997,-55.9947,140.647,2,1,1,AA,1997-98,December,4.577,423,211.5,46.2093,2.73,33.86,,,2.94,3.72,0.0,1189.8,PF-SACCF,4
83d90efffffffff,2001,-55.9238,140.5193,6,1,1,AA,2001-02,December,4.618,2362,393.67,85.2569,2.75,33.79,16.72,,140.52,3.53,0.0,1189.8,PF-SACCF,4
83d90efffffffff,2002,-55.6619,139.7134,24,2,2,AA;TA,2001-02;2002-03,March;October,4.815,3439,143.29,30.4668,4.61,33.77,1.65,,267.22,3.87,0.0,1189.8,SAF-PF,3
83d90efffffffff,2005,-55.7634,140.5627,7,1,1,UM,2004-05,February,5.0,180,25.71,5.1429,6.43,33.05,1.25,,102.97,5.43,0.0,1189.8,PF-SACCF,4
83d90efffffffff,2006,-55.7088,139.6617,15,1,1,AA,2005-06,March,5.0,137,9.13,1.8267,5.02,33.74,0.03,,740.15,4.93,0.0,1189.8,PF-SACCF,4
83d90efffffffff,2009,-55.3271,139.2036,8,1,1,AA,2008-09,February,5.0,1143,142.88,28.575,5.37,33.73,0.38,0.0,43.68,5.29,0.0,1189.8,SAF-PF,3
83d90efffffffff,2011,-55.8023,140.0013,13,1,1,UM,2010-11,January,5.0,3381,260.08,52.0154,5.67,33.7,1.95,,,4.84,0.0,1189.8,PF-SACCF,4
83d90efffffffff,2012,-55.7439,139.9861,13,1,1,UM,2011-12,January,5.0,1855,142.69,28.5385,3.94,33.8,17.8,0.0,1252.97,5.0,0.0,1189.8,PF-SACCF,4
83d90efffffffff,2016,-55.8847,140.2127,12,1,1,AA,2016-17,December,5.0,1887,157.25,31.45,3.94,33.85,371.89,1.0,13.27,3.51,0.0,1189.8,PF-SACCF,4
83d90efffffffff,2018,-55.858,140.2135,13,1,1,AA,2018-19,October,5.0,3413,262.54,52.5077,2.42,33.87,288.98,0.0,0.8,2.17,0.0,1189.8,PF-SACCF,4
83d910fffffffff,2008,-54.4455,145.4274,11,1,1,UM,2007-08,February,5.0,2860,260.0,52.0,6.68,33.67,3.5,,0.1,5.83,0.0,1388.1,SAF-PF,3
83d910fffffffff,2012,-54.4526,145.5049,12,1,1,AA,2011-12,January,5.0,1974,164.5,32.9,3.48,33.81,0.81,0.0,232.78,5.64,0.0,1388.1,SAF-PF,3
83d910fffffffff,2013,-54.3252,145.6351,11,1,1,AA,2013-14,October,5.0,1687,153.36,30.6727,1.56,,,1.0,1.85,2.95,0.0,1388.1,SAF-PF,3
83d911fffffffff,2006,-54.4857,144.0561,12,1,1,AA,2005-06,March,4.845,890,74.17,15.1493,4.66,33.69,0.25,,7.67,5.61,0.0,1380.7,SAF-PF,3
83d911fffffffff,2008,-54.4871,143.7864,13,2,1,AA,2007-08,March,4.949,606,46.62,9.4237,4.47,33.7,0.98,0.31,246.17,6.0,0.0,1380.7,SAF-PF,3
83d911fffffffff,2013,-54.8326,144.426,9,2,1,AA,2013-14,October,5.212,1167,129.67,25.4972,1.22,,,1.0,47.56,2.79,0.0,1380.7,SAF-PF,3
83d911fffffffff,2019,-54.5902,144.6987,10,1,1,IN,2018-19,January,5.0,2330,233.0,46.6,4.62,33.83,2.64,0.0,5.9,5.59,0.0,1380.7,SAF-PF,3
83d912fffffffff,2006,-53.413,146.2798,13,1,1,AA,2005-06,March,5.0,115,8.85,1.7692,6.59,33.79,,,1092.07,6.71,0.0,1506.4,SAF-PF,3
83d912fffffffff,2008,-53.3274,145.6227,2,1,1,UM,2007-08,February,5.0,354,177.0,35.4,7.86,33.66,4.78,,0.0,6.59,0.0,1506.4,SAF-PF,3
83d912fffffffff,2012,-53.3786,145.707,5,1,1,AA,2011-12,January,5.0,3815,763.0,152.6,4.32,33.78,1.0,0.0,0.02,6.49,0.0,1506.4,SAF-PF,3
83d912fffffffff,2013,-53.4491,146.2479,13,1,1,AA,2013-14,October,5.0,1527,117.46,23.4923,3.65,,,1.0,81.39,4.27,0.0,1506.4,SAF-PF,3
83d913fffffffff,2006,-54.0252,145.2399,8,1,1,AA,2005-06,March,5.0,132,16.5,3.3,4.56,33.71,0.06,,498.54,6.0,0.0,1434.2,SAF-PF,3
83d913fffffffff,2008,-53.6188,144.7198,17,2,2,AA;UM,2007-08,February;March,5.0,2006,118.0,23.6,6.09,33.68,1.94,0.1,6.43,6.73,0.0,1434.2,SAF-PF,3
83d913fffffffff,2012,-53.7868,145.6241,5,1,1,AA,2011-12,January,5.0,942,188.4,37.68,4.23,33.78,1.18,0.0,16.78,6.49,0.0,1434.2,SAF-PF,3
83d913fffffffff,2019,-53.6855,144.9499,12,1,1,IN,2018-19,January,5.0,1963,163.58,32.7167,6.29,33.82,2.26,0.0,28.48,6.25,0.0,1434.2,SAF-PF,3
83d915fffffffff,2008,-55.4262,145.2461,12,2,1,UM,2007-08,February,5.153,3767,313.92,61.3307,5.7,33.7,2.89,,153.27,5.15,0.0,1278.4,SAF-PF,3
83d915fffffffff,2012,-55.4581,145.2851,13,1,1,AA,2011-12,January,5.0,1541,118.54,23.7077,2.96,33.78,0.42,0.0,573.71,4.95,0.0,1278.4,SAF-PF,3
83d915fffffffff,2019,-55.3708,144.4762,9,1,1,IN,2018-19,January,5.0,1646,182.89,36.5778,4.51,33.83,2.46,0.0,225.37,4.94,0.0,1278.4,SAF-PF,3
83d918fffffffff,1995,-53.9518,141.5533,12,1,1,AA,1995-96,August,5.282,16,1.33,0.2524,1.92,33.81,,,100.23,3.45,0.0,1426.6,SAF-PF,3
83d918fffffffff,1997,-53.8734,141.7226,12,1,1,AA,1997-98,December,4.577,331,27.58,6.0265,3.85,33.84,21.57,,1151.98,5.02,0.0,1426.6,SAF-PF,3
83d918fffffffff,1999,-53.798,141.8258,8,2,1,AA,1999-00,July,5.279,68,8.5,1.6614,2.33,33.67,16.28,,70.17,3.61,0.0,1426.6,SAF-PF,3
83d918fffffffff,2000,-53.8172,141.1378,14,2,1,AA,2000-01,October,5.156,159,11.36,2.1496,2.06,33.73,3.27,,421.3,4.08,0.0,1426.6,SAF-PF,3
83d918fffffffff,2002,-53.4827,141.7713,1,1,1,AA,2002-03,November,5.0,58,58.0,11.6,2.97,33.73,1.58,,548.3,4.5,0.0,1426.6,SAF-PF,3
