h3_cell,year,center_lat,center_lon,n_segments,n_tows,n_ships,ships,season,months,mean_segment_length,total_abundance_sum,mean_total_abundance,mean_total_plankton_corrected,mean_water_temperature,mean_salinity,mean_fluorescence,mean_phytoplankton_colour_index,mean_par,mean_hadisst_sst,mean_hadisst_ice
82c947fffffffff,2002,-48.7278,112.6542,14,1,1,AA,2001-02,January,5.0,185,13.21,2.6429,7.77,,1.42,,712.98,8.38,0.0
82c947fffffffff,2004,-47.3458,110.0446,22,1,1,SH,2004-05,December,5.0,7334,333.36,66.6727,9.52,34.24,5.01,,,8.74,0.0
82c947fffffffff,2005,-47.8284,112.3748,50,2,2,AA;UM,2004-05;2005-06,February;November,5.0,5001,100.02,20.004,9.51,34.03,4.09,,95.1,8.54,0.0
82c947fffffffff,2006,-47.4569,109.9924,19,1,1,SH,2006-07,December,5.0,3185,167.63,33.5263,9.25,33.9,13.62,,,8.16,0.0
82c947fffffffff,2009,-47.5887,110.0048,29,2,2,AA;SH2,2008-09;2009-10,December;January,5.0,3212,110.76,22.1517,8.15,34.2,282.43,0.0,1067.25,8.6,0.0
82c947fffffffff,2010,-47.4679,110.0093,40,3,2,SH2;UM,2010-11,December,5.016,7979,199.47,39.8881,9.27,34.32,144.72,,58.2,8.33,0.0
82c947fffffffff,2011,-47.4312,110.3192,29,1,1,SH2,2011-12,December,5.0,2618,90.28,18.0552,8.15,34.06,149.85,0.0,,8.3,0.0
82c947fffffffff,2012,-47.4717,110.0024,40,2,1,SH2,2011-12;2012-13,December;March,5.0,1293,32.33,6.465,8.76,34.08,164.05,0.0,,8.72,0.0
82c947fffffffff,2013,-47.4887,109.9881,20,1,1,UM,2012-13,January,5.0,2588,129.4,25.88,9.7,33.93,2.15,0.0,55.63,9.4,0.0
82c947fffffffff,2014,-47.4621,110.0022,40,2,2,SH2;UM,2013-14;2014-15,December;January,5.0,2769,69.22,13.845,9.4,34.21,80.19,0.25,853.01,8.76,0.0
82c947fffffffff,2015,-47.3793,109.9741,52,4,2,SH2;UM,2014-15;2015-16,December;January;March,5.033,1661,31.94,6.3807,8.89,34.15,87.11,0.27,139.58,8.56,0.0
82c947fffffffff,2016,-47.4532,110.0005,40,2,2,SH2;UM,2015-16;2016-17,December;January,5.0,3635,90.88,18.175,10.15,34.22,101.78,0.5,212.6,9.19,0.0
82c947fffffffff,2017,-47.4857,110.0049,20,1,1,UM,2016-17,January,5.0,1438,71.9,14.38,10.66,34.09,0.91,0.0,44.65,9.43,0.0
