component,Calanoida indet (small),Calanoides acutus,Calanus simillimus,Candacia maxima,Cnidaria indet,Euaugaptilus sp.,Eukrohnia hamata,Euphausia frigida,Euphausia frigida furcilia,Euphausiidae furcilia indet,Foraminifera indet,Fritillaria sp.,Harpacticoida indet,Hyperia spinigera,Limacina sp.,Nauplius indet,Oikopleura sp.,Oithona similis,Ostracoda indet,Paraeuchaeta antarctica,Pelagobia longicirrata,Pisces larvae,Pseudosagitta gazellae,Radiozoa indet,Rhincalanus gigas,Rhincalanus gigas nauplius,Salpa thompsoni,Themisto gaudichaudii,Thysanoessa macrura,Thysanoessa macrura furcilia,Tomopteris sp.
component_1,0.07843382689506276,0.0048035541410932706,0.0,0.0,0.0,8.317767100654424e-05,0.0,0.0,2.1032824554232524e-05,0.0,0.0019931046133330127,0.007662697333671294,0.00010937807421126747,0.0,0.0,0.00041390660799259764,0.0011977799038227525,0.9028552700167242,0.0,0.0,0.0,0.0,0.0,0.0,0.0004446174521821853,0.0013478039023147694,0.0,0.0003543484843737691,0.00021539067185911254,0.0,6.411140779838001e-05
component_2,0.8883973358816711,0.000645555381430595,0.0318823473785852,0.0004129544949193208,0.0012104776900514719,0.0,0.0014420790374380821,0.00045918176463238987,1.7214703945731887e-05,0.0004495377535219631,0.010538754460577142,0.0,0.0,0.00011262656199256815,0.03362479238477942,0.0,0.014079857418633173,0.0009692111278385674,0.0014732088551520398,0.000768970353718653,0.0006979151703532831,0.00013311985717367485,0.0003213771433188815,0.007289226580317473,0.0,0.001437873396606683,0.000388275893206547,0.0022342320726177474,0.0004588155597772212,0.0,0.0005550590777409263
component_3,0.002080765508470825,0.002433456502083669,0.27389349496026194,0.0,0.005567491388243453,1.669575754818878e-05,0.0024914799217061576,0.00028193310626510327,0.00013524693543401735,0.000159033883264399,0.0,0.011327590265722233,0.0,0.0003988579620273394,0.022819980716871177,6.304444304001387e-05,0.0029944180888844137,0.014317399335968895,0.0,0.0,5.054645179145814e-06,3.6893816654528114e-05,0.0007154877597491736,0.0015881499250358364,0.0001767089051158455,0.0,0.0,0.00018997247127821795,0.05164359307109436,0.6066632506301012,0.0
