"individual_id","abbreviated_name","date","decimal_longitude","decimal_latitude","longitude_se","latitude_se"
"4120679","ANPE",2013-12-04 22:18:56,5.18041211690351,-71.9026729041411,0.00753827007440542,0.00550576789855905
"4120679","ANPE",2013-12-04 23:18:56,5.15407232731849,-71.6957606901454,0.00776492599397077,0.00516273385828867
"4120679","ANPE",2013-12-05 00:18:56,5.37864862503986,-71.1128176619841,0.00818888050146069,0.00493751260499376
"4120679","ANPE",2013-12-05 01:18:56,6.10396728707784,-70.5066051223829,0.0070760091397106,0.00462368096133319
"4120679","ANPE",2013-12-05 02:18:56,6.76244665849021,-69.9978256531731,0.00711869228149633,0.00463543583600314
"4120679","ANPE",2013-12-05 03:18:56,7.17579591583748,-69.5873627661783,0.00860809365211979,0.0053006500848874
"4120679","ANPE",2013-12-05 04:18:56,7.21717672843309,-69.5297938195144,0.0113579951943875,0.00515867303891647
"4120679","ANPE",2013-12-05 05:18:56,7.61879352812278,-69.1851040393588,0.00724799087401655,0.00522723388560501
"4120679","ANPE",2013-12-05 06:18:56,8.10047506575526,-68.7877120156257,0.00786497638422617,0.00461486496366172
"4120679","ANPE",2013-12-05 07:18:56,8.40480964983638,-68.4979416340356,0.0111178766161727,0.0077825058748681
"4120679","ANPE",2013-12-05 08:18:56,8.56014418869896,-68.4153983880806,0.0144808498998552,0.0115087542309038
"4120679","ANPE",2013-12-05 09:18:56,8.89566569130571,-68.2147891376304,0.00715996436130575,0.00512762913109014
"4120679","ANPE",2013-12-05 10:18:56,8.89860886286158,-68.2167308177142,0.00733471922302718,0.0047885664520226
"4120679","ANPE",2013-12-05 11:18:56,8.92889896787207,-68.1622965539633,0.00866782608530983,0.00678462730903767
"4120679","ANPE",2013-12-05 12:18:56,9.01001633619993,-68.0051966894663,0.0102952631032434,0.0108700595398894
"4120679","ANPE",2013-12-05 13:18:56,9.011629788378,-68.0078490188461,0.00641540798531018,0.00458697401320364
"4120679","ANPE",2013-12-05 14:18:56,9.02227360828115,-68.00241833559,0.00647250208739067,0.00437647611417901
"4120679","ANPE",2013-12-05 15:18:56,9.02590039262495,-67.9999083173112,0.00615002138191425,0.00415256496304571
"4120679","ANPE",2013-12-05 16:18:56,9.02325392634756,-67.998271035158,0.00610630153390837,0.0041205807317953
"4120679","ANPE",2013-12-05 17:18:56,9.01561715779846,-67.9975268376483,0.0061158476897243,0.00411343858019457
"4120679","ANPE",2013-12-05 18:18:56,9.0081538906669,-67.9961813503321,0.00614036486265863,0.00406379699913112
"4120679","ANPE",2013-12-05 19:18:56,8.99018469863134,-67.9956189982661,0.00658842138849113,0.00423372644489936
