"individual_id","abbreviated_name","date","decimal_longitude","decimal_latitude","longitude_se","latitude_se"
"105299","DMSA",2011-03-18 09:36:47,37.9965534960146,-46.5688197133951,0.13330156662146,0.145744815995352
"105299","DMSA",2011-03-18 11:36:47,38.1804248027362,-46.1745913999874,0.0310907878297934,0.00541051800337534
"105299","DMSA",2011-03-18 13:36:47,38.2091609032873,-46.1743545277459,0.00699198943486085,0.00191015062974641
"105299","DMSA",2011-03-18 15:36:47,38.2474580253195,-46.1581913627443,0.00730032277979864,0.00203876518022821
"105299","DMSA",2011-03-18 17:36:47,38.3380783346344,-46.1202188744446,0.0115726504384648,0.00317300746468793
"105299","DMSA",2011-03-18 19:36:47,38.3567046378306,-46.0917313477039,0.0201449288264803,0.00476872496376344
"105299","DMSA",2011-03-18 21:36:47,38.262054883097,-46.0885751873994,0.402011042199722,0.519630419435124
"105299","DMSA",2011-03-18 23:36:47,38.1189941702684,-46.1319643142502,0.612581322211559,0.784633393057895
"105299","DMSA",2011-03-19 01:36:47,37.9698075142064,-46.2458427025365,0.672752862408764,0.855562280763755
"105299","DMSA",2011-03-19 03:36:47,37.8601453443061,-46.4743739220585,0.578611793266707,0.732294574004404
"105299","DMSA",2011-03-19 05:36:47,37.8700898097425,-46.8940753740459,0.348384755314612,0.438511024610127
"105299","DMSA",2011-03-19 07:36:47,38.1632061624999,-47.6167567365665,0.128312537329495,0.150874137326837
"105299","DMSA",2011-03-19 09:36:47,38.9630050706875,-48.5382301237535,0.165080759075581,0.196237173892036
"105299","DMSA",2011-03-19 11:36:47,39.6866058971054,-49.1761605559911,0.372676625711068,0.463725003804238
"105299","DMSA",2011-03-19 13:36:47,40.2261994874744,-49.6102238779981,0.682253490558663,0.859338280844069
"105299","DMSA",2011-03-19 15:36:47,40.6544073752755,-49.9679866884572,0.932212444498271,1.16446952223657
"105299","DMSA",2011-03-19 17:36:47,41.0207588186587,-50.3020128021836,1.10850979077048,1.3693551210564
"105299","DMSA",2011-03-19 19:36:47,41.3551545011904,-50.6314826897805,1.21537403798495,1.48463986143522
"105299","DMSA",2011-03-19 21:36:47,41.6743163537875,-50.9614655219246,1.25826105162359,1.51964256634761
