component,Calanoida indet (small),Calanoides acutus,Calanus propinquus,Calanus simillimus,Candacia maxima,Chaetognatha indet,Clausocalanus brevipes,Clausocalanus laticeps,Copepoda nauplius indet,Decapoda zoea indet,Eukrohnia hamata,Euphausia frigida,Euphausia frigida furcilia,Euphausia spinifera,Euphausia vallentini,Euphausiidae calyptopis indet,Euphausiidae furcilia indet,Euphausiidae indet,Foraminifera indet,Fritillaria sp.,Haloptilus oxycephalus,Hansarsia megalops,Hyperiella sp.,Hyperiidea indet,Limacina sp.,Metridia gerlachei,Metridia lucens,Neocalanus tonsus,Oikopleura sp.,Oithona similis,Oncaea sp.,Ostracoda indet,Paraeuchaeta antarctica,Paraeuchaeta exigua,Paraeuchaeta sp.,Pelagobia longicirrata,Phronima sp.,Pisces larvae,Pleuromamma piseki,Pleuromamma robusta,Primno macropa,Pseudosagitta gazellae,Rhincalanus gigas,Rhincalanus gigas nauplius,Salpa thompsoni,Spongiobranchaea australis,Subeucalanus longiceps,Themisto gaudichaudii,Thysanoessa macrura,Thysanoessa macrura C1,Thysanoessa macrura C2,Thysanoessa macrura C3,Thysanoessa macrura calyptopis,Thysanoessa macrura F1,Thysanoessa macrura F2,Thysanoessa macrura F3,Thysanoessa macrura F5,Thysanoessa macrura furcilia,Tomopteris sp.,Vibilia antarctica
component_1,0.6990940692081494,0.003787257053465857,2.895830722119678e-05,0.0362710404038551,4.0532556200764744e-05,2.803372063206751e-05,0.020815199888935716,0.004156700670240347,0.006389904070563074,1.0750354491847931e-05,0.000389357372857862,6.952477797951121e-05,8.452067800826658e-05,2.3453648126351983e-05,0.00020400605583123572,0.0006048367690789505,0.00020778812420604902,0.0004282294450861784,0.15534859509939894,0.0,0.0,8.849336691556098e-05,3.6829351202850192e-06,0.0003722692562803242,0.0010112125814160954,0.0,0.0020327305426232497,0.0010648608032361867,0.0014913279488347774,0.006695208053310107,0.0,0.004599457160155726,0.0,2.8838248035900098e-05,0.00017612292266217964,0.0,2.763430096672519e-06,0.0001735141543096742,0.0001709500373852453,0.0002892359732520032,8.423022795359777e-05,0.00034698818778953046,0.005820501423741076,0.034685447635749996,0.00025487999270869233,5.188396782245208e-05,0.00026347431243065066,0.003933622638014916,0.001484185029467919,1.0436934168914116e-05,0.0001402036655553396,0.0004525032854380593,6.272927514300091e-05,0.004830164602895534,0.0005202818663122677,0.0007565566296345359,5.87018477304685e-05,4.5065326184181285e-05,1.2558576841035303e-05,2.158956454471307e-06
component_2,0.1411979074241433,0.0026854448913166975,0.0,0.0,0.0,0.0,0.0,0.0,0.021112289195195564,0.0,4.692562635255247e-05,0.0,0.0,0.0,0.0,6.867507304489959e-05,0.0,0.00020564997618597897,0.021044066808874596,0.014913345592533257,0.00024100413469989497,0.0,0.0,5.332417455511273e-05,0.0,1.7787433371668817e-05,0.0,0.0,0.0007664830280732954,0.7722164352400547,0.00010005428247112328,0.0,2.6414133085979914e-05,0.0,0.0,3.373541863462506e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0028842668909768217,0.019261951396000055,0.0,0.0,0.0,0.0,0.0021258733287930036,0.0,2.1714262591551912e-05,1.3366022068303497e-05,0.0,0.0009462374671075405,0.0,0.0,0.0,0.0,1.704819986948123e-05,0.0
