component,Calanoida indet (small),Calanoides acutus,Calanus simillimus,Eukrohnia hamata,Euphausia frigida,Euphausia frigida calyptopis,Euphausia frigida furcilia,Euphausia triacantha furcilia,Euphausiidae furcilia indet,Fritillaria sp.,Haloptilus oxycephalus,Harpacticoida indet,Hyperiella dilatata,Hyperiidea indet,Limacina sp.,Metridia gerlachei,Nauplius indet,Oikopleura sp.,Oithona similis,Ostracoda indet,Pelagobia longicirrata,Pleuromamma robusta,Rhincalanus gigas,Rhincalanus gigas nauplius,Salpa thompsoni,Spongiobranchaea australis,Themisto gaudichaudii,Thysanoessa macrura,Thysanoessa macrura calyptopis,Thysanoessa macrura furcilia,Tomopteris sp.
component_1,12.72699030013266,0.07363680051026493,0.10962005835976024,0.02390846258896323,0.0,0.015450058009303226,0.20078895113121992,0.0006986244564804512,0.0,0.12057316846490994,0.0,0.031044550306980258,0.0,0.0,0.01983158427222686,0.003582684247409962,0.6351590141093135,0.07853476015178466,14.311724162851544,0.03165286320779754,0.006373842017527072,0.0,0.0,0.3998929391785817,0.07639937861023491,0.0,0.01677195761374717,0.006674214085549635,0.0,0.05885292159001475,0.0
component_2,1.0736784063473022,0.0,0.3932619343388932,0.0,0.026346933710520316,0.012550125349699187,0.0,0.02026614571546262,0.11638883376492569,0.08148545514348364,0.08433677143287766,0.0,0.0,0.0,0.0069362045485435635,0.0,0.0,0.01472256547136629,8.115153429127997,0.0,0.012561185013935381,0.03129173652570241,0.04516093473670166,0.2517335829829711,0.007889345327373537,0.026346933710520316,0.0,0.12796700137825742,0.42842747794278985,0.1252821563807575,0.0
component_3,6.555234241902936,0.1768987576762966,0.9111054976800745,0.0,0.0,0.0,0.05764536435436856,0.02681405308671701,0.09332195708692259,0.07581571867885015,0.0,0.028549469779108057,0.05549424309703678,0.030528157360871028,0.011999525706459102,0.016273611550090133,0.0,0.0,0.0,0.0,0.0,0.0,0.07134156281570374,0.24697031486295143,0.0,0.0,0.0,0.056307706763216725,0.0,0.0,0.07015777091750826
