Segment_ID,component_1,component_2,component_3
SA_862.0_02-Feb-2015_01:22,5.783078183850235e-05,0.001418223834683184,0.0
SA_862.0_02-Feb-2015_01:51,1.6048643386020633e-07,9.743636851002688e-07,2.8127212329903832e-05
SA_862.0_02-Feb-2015_02:25,0.0,0.0,0.04539533652414011
SA_862.0_02-Feb-2015_03:02,0.000268505345422598,0.0006814060083842585,0.04532062892666709
SA_862.0_02-Feb-2015_03:37,8.024321693010314e-07,4.8718184255013435e-06,0.00014063606164951912
SA_862.0_02-Feb-2015_04:08,3.2097286772041266e-07,1.9487273702005376e-06,5.6254424659807665e-05
SA_862.0_02-Feb-2015_04:40,0.0,0.0,0.0
SA_862.0_02-Feb-2015_05:13,0.0,0.0,0.04525810973856339
SA_862.0_02-Feb-2015_05:45,9.62918603161238e-07,5.846182110601614e-06,0.00016876327397942297
SA_862.0_02-Feb-2015_06:17,0.025981937137451908,0.0,0.0001502041171313511
SA_862.0_02-Feb-2015_06:49,1.2838914708816506e-06,7.79490948080215e-06,0.00022501769863923066
SA_862.0_02-Feb-2015_07:21,9.227568391410913e-06,6.473109580223493e-06,0.00018142258135241162
SA_862.0_02-Feb-2015_07:53,1.765350772462269e-06,1.0718000536102958e-05,0.00030939933562894203
SA_862.0_02-Feb-2015_08:26,8.024321693010314e-07,4.8718184255013435e-06,0.00014063606164951912
SA_862.0_02-Feb-2015_08:58,0.0,4.6949853967900646e-05,0.0003022161588492226
SA_862.0_02-Feb-2015_09:30,0.0,0.0029099990292375468,0.0
SA_862.0_02-Feb-2015_10:02,6.419457354408253e-07,3.897454740401075e-06,0.00011250884931961533
SA_862.0_02-Feb-2015_10:34,3.2097286772041266e-07,1.9487273702005376e-06,5.6254424659807665e-05
SA_862.0_02-Feb-2015_11:06,8.42513622210988e-06,1.6012911547221501e-06,4.0786519702892475e-05
SA_862.0_02-Feb-2015_11:38,4.81459301580619e-07,2.923091055300807e-06,8.438163698971148e-05
SA_862.0_02-Feb-2015_12:10,0.0,0.06482982934492422,0.0
SA_862.0_02-Feb-2015_12:42,0.0,0.0,0.04525810973856339
SA_862.0_02-Feb-2015_13:13,0.00011573242726468583,0.0028387645884434586,0.0
SA_862.0_02-Feb-2015_13:45,0.00011551983650164243,0.002831813831212187,0.0
SA_862.0_02-Feb-2015_14:17,4.81459301580619e-07,2.923091055300807e-06,8.438163698971148e-05
SA_862.0_02-Feb-2015_14:49,0.0,0.0,0.09048800247055079
SA_862.0_02-Feb-2015_15:22,0.0,0.0,0.045286326745139376
SA_862.0_02-Feb-2015_15:54,0.02272138978130127,0.04528137418561517,2.421321098159667e-06
SA_862.0_02-Feb-2015_16:27,0.0,0.0,0.04525810973856339
SA_862.0_02-Feb-2015_17:00,0.0,0.023431573455866928,0.001953469695680438
SA_862.0_02-Feb-2015_17:32,0.07418355554401133,0.04525401116757578,0.9045489170507254
SA_862.0_02-Feb-2015_18:03,0.0,0.01675629583457829,0.6398909584567412
SA_862.0_02-Feb-2015_18:35,0.0429129684333944,0.13263828265044536,2.0164502940447457
SA_862.0_02-Feb-2015_19:07,0.0478602703110443,0.0,11.390209865632176
SA_862.0_02-Feb-2015_19:40,0.020991641135701452,0.0,9.828226273079487
SA_862.0_02-Feb-2015_20:13,0.0,0.0,8.992608371934756
SA_862.0_02-Feb-2015_20:47,0.0,1.0319367400875128,8.194909586943572
SA_862.0_02-Feb-2015_21:19,0.0,1.0567896283281868,6.865956859531288
SA_862.0_02-Feb-2015_21:51,0.0059928026042948964,0.6752377298993584,3.8307730709638657
SA_862.0_02-Feb-2015_22:23,0.0,0.02653005424926517,3.509708333778745
SA_862.0_02-Feb-2015_22:55,0.05083870671519456,0.0,3.359445619050132
SA_862.0_02-Feb-2015_23:31,0.0,0.0,2.858113636540097
SA_862.0_03-Feb-2015_00:06,0.02562296102107485,0.0016843809422225995,1.410136932475067
SA_862.0_03-Feb-2015_00:33,0.04829489898449764,0.051293375859893964,0.36525118592847367
SA_862.0_03-Feb-2015_01:01,0.0,0.15135698981079257,0.7386602731566627
SA_862.0_03-Feb-2015_01:33,0.0,0.01702179273758861,0.13841773768234986
SA_862.0_03-Feb-2015_02:05,0.021297174973514677,0.07106058185585909,0.007748705978433025
SA_862.0_03-Feb-2015_02:36,0.0,0.012011547084613628,0.5012708323016634
SA_862.0_03-Feb-2015_03:07,0.0,0.07524147018305491,0.31794577317220735
SA_862.0_03-Feb-2015_03:38,0.06685338844632456,0.14294130375628533,0.35306469314345323
SA_862.0_03-Feb-2015_04:10,0.47482975961993235,0.2423591990265326,2.0711823880454285
SA_862.0_03-Feb-2015_04:42,0.2666265556427399,0.2530328770480734,0.8493669297748305
SA_862.0_03-Feb-2015_05:16,0.3254184551329508,0.1607863125627577,0.26024479299237696
SA_862.0_03-Feb-2015_05:53,0.1851239890141278,0.30457298864390125,0.6272489973406707
SA_862.0_03-Feb-2015_06:37,0.1263448091721601,0.39681391202190874,0.2606799770037111
SA_862.0_03-Feb-2015_07:26,0.2049843713812028,0.4284927735842525,0.4067437876129699
SA_862.0_03-Feb-2015_08:27,0.14297511552495945,0.916674353227753,0.3045832541718899
SA_862.0_03-Feb-2015_09:23,0.0,5.58074564571726,0.8527545720184935
SA_862.0_03-Feb-2015_10:06,0.18727737186619936,1.3278525071902825,0.4851496467515346
SA_862.0_03-Feb-2015_10:49,0.6547286945754007,3.060388451139961,0.13480103751234618
SA_862.0_03-Feb-2015_11:49,0.5666844098230749,2.5389762597046035,0.3126517020456156
SA_862.0_03-Feb-2015_13:15,1.0442558040224164,1.695639296853035,0.022572555723277595
SA_866.0_03-Feb-2015_20:58,0.14343732021011335,3.5090664403917127,0.0
SA_866.0_03-Feb-2015_21:23,1.037278835975902,5.71237452845471,0.0
SA_866.0_03-Feb-2015_21:48,1.742796404518643,8.291656929077167,0.0
SA_866.0_03-Feb-2015_22:13,0.8788421692387973,5.164409668096608,0.0
SA_866.0_03-Feb-2015_22:41,0.23851958994303493,4.730694588335849,0.3468445160878921
SA_866.0_03-Feb-2015_23:12,0.747496476168833,6.894525922330759,0.18648842794562664
SA_866.0_03-Feb-2015_23:42,0.10690604018005366,6.804750789061365,0.1283599132956679
SA_866.0_04-Feb-2015_00:13,0.0,7.528311675678796,0.4220592679996278
SA_866.0_04-Feb-2015_00:44,0.6489079868110921,6.518310048816584,0.283921581665655
SA_866.0_04-Feb-2015_01:16,0.4946325382083386,7.632874224221148,0.13578118836062036
SA_866.0_04-Feb-2015_01:47,0.06304483767367992,8.579061153119484,0.5921063152445941
SA_866.0_04-Feb-2015_02:20,1.4409693028141213,6.096245997294325,0.8858445656913699
SA_866.0_04-Feb-2015_02:52,1.7245415414994618,6.214282405086709,0.8779227207349647
SA_866.0_04-Feb-2015_03:25,3.333761542527351,7.6689896873849825,0.16719261726093174
SA_866.0_04-Feb-2015_03:58,3.5987453222075696,6.792603496172721,0.798822866669638
SA_866.0_04-Feb-2015_04:29,7.045412469449533,6.0702435391535525,1.0043600953909366
SA_866.0_04-Feb-2015_05:01,9.238404889377007,9.481097346248468,1.0204575752670335
SA_866.0_04-Feb-2015_05:38,5.406974311662468,5.2125005969226335,0.7820347295249855
SA_866.0_04-Feb-2015_06:16,2.6492886725978106,2.321896975809244,0.17374621569890394
SA_866.0_04-Feb-2015_06:55,3.895564876303795,2.4434223530936947,0.19003107004280995
SA_867.0_04-Feb-2015_08:19,6.67995750208715,1.3317475745799612,0.0014101394158848053
SA_867.0_04-Feb-2015_08:54,15.492868139851426,0.13830502607770637,0.10330423599601793
SA_867.0_04-Feb-2015_09:27,18.434393933409858,0.03800736864178052,0.0
SA_867.0_04-Feb-2015_09:59,15.60689849300114,0.0,0.0
SA_867.0_04-Feb-2015_10:34,3.358883766340307,0.0,0.0
SA_867.0_04-Feb-2015_11:12,4.782444985066273,0.0352304250536862,0.0
SA_867.0_04-Feb-2015_11:58,3.0883011273281507,0.004900686648102361,0.0
SA_867.0_04-Feb-2015_12:42,2.5453398634762765,0.018371555989762478,0.0
SA_867.0_04-Feb-2015_13:22,1.405435135987488,0.08023219772287991,0.0
SA_867.0_04-Feb-2015_13:54,0.45209452657185395,0.12397946683929247,0.00012848536074398843
SA_867.0_04-Feb-2015_14:25,1.941135532724496,0.05709228886912689,0.04466227137654951
SA_867.0_04-Feb-2015_14:55,1.9945231201416476,0.08532893101014612,0.0
