component,Calanoida indet (small),Calanoides acutus,Calanus sp.,Cirripedia nauplius,Clausocalanus sp.,Clione limacina antarctica,Clione sp.,Clytemnestra sp.,Copepoda nauplius indet,Ctenocalanus sp.,Decapoda (natant) indet juv,Eucalanus sp.,Euphausia crystallorophias furcilia,Euphausia frigida,Euphausia frigida calyptopis,Euphausia superba,Euphausia superba C1,Euphausia superba C2,Euphausia superba C3,Euphausia superba F1,Euphausiidae calyptopis indet,Euphausiidae furcilia indet,Euphausiidae nauplius indet,Foraminifera indet,Fritillaria sp.,Hyperiidea indet,Iospilidae indet,Limacina sp.,Lopadorrhynchidae indet,Microcalanus pygmaeus,Neocalanus tonsus,Oithona similis,Oncaea sp.,Paralabidocera antarctica,Pelagobia longicirrata,Pisces larvae,Pleuragramma antarctica,Polychaeta indet,Rhincalanus gigas,Rhincalanus gigas nauplius,Salpidae indet,Stephos longipes,Thysanoessa macrura C1,Thysanoessa macrura C2,Thysanoessa macrura C3,Thysanoessa macrura calyptopis,Thysanoessa macrura F1,Thysanoessa macrura furcilia,Tintinnina indet
component_1,0.0008866426397866804,0.0,0.000672635453526505,5.826636014977746e-05,0.0,0.0020625642102615562,3.5307144229722536e-06,0.0001512079160099613,0.0,0.0,9.685800461893002e-06,0.0,1.9371600923786004e-05,0.00019107120262321618,0.005719457275640557,8.084430635928032e-06,0.0,0.0028863744573639685,0.003402013707085939,0.0,0.0023686179356235577,0.0,0.0,0.00026395247041199497,0.0,0.0,0.04831804946927483,0.8240159520395539,0.0,0.0001008601224943951,1.9317314632618793e-06,0.009545156256872411,0.001170083454028071,0.0005306686462629133,2.2587293606402394e-06,0.08945884090981723,4.6771552620720225e-05,0.0,0.0,0.0,0.00011731807652081439,0.0025312664069869224,0.0,0.0,0.0,5.826636014977746e-05,0.0,0.0,0.005399100069665824
component_2,0.34347160704670776,0.015321101337064642,0.0,0.0,0.0004755430461729184,0.0005785922033186577,7.935510387144588e-05,0.0002675929673790805,0.05075233905069351,0.0460687614051847,2.9588527444007336e-05,0.0,5.917705488801467e-05,0.0,0.0,3.696582514733104e-05,0.00016083716652880522,0.002984999660680699,0.0019107363344470732,0.0005000628680575972,0.0009112194165542805,0.0005307389374347762,0.00047163127357705085,3.5680008888879206e-05,0.0,0.0003864022117584957,0.0,0.04672253559257066,0.0008235021133501929,0.003095804514914658,0.0009249520303237077,0.37390766568635253,0.05252213055438574,0.00015917557204452075,1.3326152544723012e-05,0.0,0.00019988568502335668,0.0007518577598183843,0.00020880104889766749,0.0005459449165216291,6.660680788659878e-05,0.004298057841570088,0.0027158325257744236,0.017479458206880304,0.006902934662986963,0.0,0.0009433733662590057,6.653215750500289e-05,0.022618691358590178
component_3,0.0,0.0,0.0,0.0,0.0,4.541864915550851e-05,0.0,2.6399975780462605e-05,0.0063911431674813215,0.0,0.0,0.0002949317795907045,0.0,0.0,0.0,0.0005621831474225018,0.0004070437608278711,0.002059844097137747,0.00020238942116277873,0.0,0.0,0.0,0.0,0.000253665178974209,0.9011404069875699,0.0,0.0,0.0,0.000300224121388857,0.0,0.0,0.081802914994331,0.0,0.0,6.274386061191175e-05,0.0,0.0009254862262933674,0.002734048115082708,0.0003618948342656754,0.0019519545617578003,2.5359229020687853e-05,0.0004519478921451887,0.0,0.0,0.0,0.0,0.0,0.0,0.0
