component,Calanoida indet (small),Calanoides acutus,Calanus simillimus,Candacia maxima,Chaetognatha indet,Clausocalanus laticeps,Copepoda nauplius indet,Ctenocalanus sp.,Ctenophora indet,Euaugaptilus sp.,Euphausia vallentini,Euphausiidae calyptopis indet,Euphausiidae furcilia indet,Foraminifera indet,Fritillaria sp.,Globigerina bulloides,Harpacticoida indet,Hyperiidea indet,Limacina sp.,Metridia lucens,Metridia sp.,Neocalanus tonsus,Neogloboquadrina pachyderma,Oikopleura sp.,Oithona similis,Oncaea sp.,Ostracoda indet,Paraeuchaeta sp.,Pisces larvae,Pleuromamma sp.,Primno macropa,Rhincalanus gigas,Rhincalanus gigas nauplius,Siphonophorae nectophore,Subeucalanus sp.,Themisto gaudichaudii,Thysanoessa macrura,Thysanoessa macrura F1,Thysanoessa macrura F2,Thysanoessa macrura F3,Thysanoessa macrura furcilia,Tomopteris sp.,Vibilia sp.
component_1,0.544455401287299,0.0016389499368866132,0.0824077342228776,0.0008899797264484859,0.0006529871828363314,0.008171070364082805,0.008027181492566624,0.19188363897890168,9.294927158913801e-05,0.0,2.4708721447429047e-05,0.0005003581349720161,0.010407444606954211,0.025429438914890495,0.0,0.0007017387171583118,7.338664404325545e-05,0.00011821749695751416,0.00841632420342736,0.0018003548890943358,0.00023653294434797036,0.0004809900582446635,0.002566636553342841,0.002803521851654416,0.0582362003411801,0.0002363603189765979,0.0022225911887328365,0.00026872501601385185,2.5917371263255142e-06,0.0003279067563422299,4.6744518598646785e-05,0.005407497235184405,0.03572779789342173,0.00012776489986461277,0.0009596598494334717,0.0002391453612258783,0.00024664103970254363,0.0021725912906651154,0.00024361612070128636,0.0004694462986063174,0.00029338306015575406,0.0008740699402835215,0.00011772093376142374
component_2,0.05983327577906005,0.0,0.0,0.00017379330211360938,0.0,0.0016502467561007282,0.10260463258012671,0.07873748002170082,0.0,1.1451462485221585e-05,0.0,0.0,0.0,0.0,0.08567258327856866,4.094781470985337e-05,0.0,0.0,0.0,0.0,8.064610694912566e-05,0.0,0.0,0.0018191168275318594,0.6351601213186502,0.0,0.0,2.716031391695588e-05,5.098323099958927e-05,0.0,0.0,0.0,0.03151936015560898,0.0,0.0,0.0023357270094292266,0.0,0.0,0.0,0.0,0.0,0.00023162323785909275,5.085080418918163e-05
