Segment_ID,component_1,component_2
AF_440.0_17-Feb-2008_14:01,0.0,1.0
AF_440.0_17-Feb-2008_14:24,0.5968447965629113,0.4031552034370886
AF_440.0_17-Feb-2008_14:47,0.46593421557500136,0.5340657844249985
AF_440.0_17-Feb-2008_15:11,0.0,0.0
AF_440.0_17-Feb-2008_15:34,0.0,0.0
AF_440.0_17-Feb-2008_15:57,1.0,0.0
AF_440.0_17-Feb-2008_16:20,1.0,0.0
AF_440.0_17-Feb-2008_16:43,1.0,0.0
AF_440.0_17-Feb-2008_17:06,0.24740593054767893,0.7525940694523211
AF_440.0_17-Feb-2008_17:29,0.0,1.0
AF_440.0_17-Feb-2008_17:52,0.002302863243444065,0.9976971367565559
AF_440.0_17-Feb-2008_18:15,0.0,0.0
AF_440.0_17-Feb-2008_18:39,0.0,0.0
AF_440.0_17-Feb-2008_19:01,0.0,0.0
AF_440.0_17-Feb-2008_19:24,0.0,0.0
AF_440.0_17-Feb-2008_19:47,0.0,1.0
AF_440.0_17-Feb-2008_20:10,1.0,0.0
AF_440.0_17-Feb-2008_20:33,0.0,0.0
AF_440.0_17-Feb-2008_20:56,0.0,0.0
AF_440.0_17-Feb-2008_21:09,0.0,0.0
AF_440.0_17-Feb-2008_21:21,0.0,0.0
AF_440.0_17-Feb-2008_21:32,1.0,0.0
AF_440.0_17-Feb-2008_21:44,1.0,0.0
AF_440.0_17-Feb-2008_21:56,1.0,0.0
AF_440.0_17-Feb-2008_22:15,1.0,0.0
AF_440.0_17-Feb-2008_22:36,1.0,0.0
AF_440.0_17-Feb-2008_22:57,0.0,0.0
AF_440.0_17-Feb-2008_23:18,1.0,0.0
AF_440.0_17-Feb-2008_23:39,1.0,0.0
AF_440.0_18-Feb-2008_00:00,1.0,0.0
AF_440.0_18-Feb-2008_00:21,1.0,0.0
AF_440.0_18-Feb-2008_00:42,1.0,0.0
AF_440.0_18-Feb-2008_01:03,1.0,0.0
AF_440.0_18-Feb-2008_01:24,1.0,0.0
AF_440.0_18-Feb-2008_01:45,1.0,0.0
AF_440.0_18-Feb-2008_02:06,1.0,0.0
AF_440.0_18-Feb-2008_02:27,0.0,0.0
AF_440.0_18-Feb-2008_02:48,0.025513892151446196,0.9744861078485538
AF_440.0_18-Feb-2008_03:09,1.0,0.0
AF_440.0_18-Feb-2008_03:30,1.0,0.0
AF_440.0_18-Feb-2008_03:51,1.0,0.0
AF_440.0_18-Feb-2008_04:13,1.0,0.0
AF_440.0_18-Feb-2008_04:34,1.0,0.0
AF_440.0_18-Feb-2008_04:55,1.0,0.0
AF_440.0_18-Feb-2008_05:16,1.0,0.0
AF_440.0_18-Feb-2008_05:37,1.0,0.0
AF_440.0_18-Feb-2008_05:58,1.0,0.0
AF_440.0_18-Feb-2008_06:19,1.0,0.0
AF_440.0_18-Feb-2008_06:40,1.0,0.0
AF_440.0_18-Feb-2008_07:01,1.0,0.0
AF_440.0_18-Feb-2008_07:22,1.0,0.0
AF_440.0_18-Feb-2008_07:43,1.0,0.0
AF_440.0_18-Feb-2008_08:04,1.0,0.0
AF_440.0_18-Feb-2008_08:25,1.0,0.0
AF_440.0_18-Feb-2008_08:46,1.0,0.0
AF_440.0_18-Feb-2008_09:07,1.0,0.0
AF_440.0_18-Feb-2008_09:28,1.0,0.0
AF_440.0_18-Feb-2008_09:49,1.0,0.0
AF_440.0_18-Feb-2008_10:10,1.0,0.0
AF_440.0_18-Feb-2008_10:31,1.0,0.0
AF_440.0_18-Feb-2008_10:52,1.0,0.0
AF_440.0_18-Feb-2008_11:13,0.0,0.0
AF_440.0_18-Feb-2008_11:34,0.002302863243444065,0.9976971367565559
AF_440.0_18-Feb-2008_11:55,0.0,0.0
AF_440.0_18-Feb-2008_12:16,0.0,0.0
AF_440.0_18-Feb-2008_12:37,0.002302863243444065,0.9976971367565559
AF_440.0_18-Feb-2008_12:58,1.0,0.0
AF_440.0_18-Feb-2008_13:19,0.0,0.0
AF_440.0_18-Feb-2008_13:40,1.0,0.0
AF_440.0_18-Feb-2008_14:01,0.0,0.0
AF_440.0_18-Feb-2008_14:22,0.0,0.0
AF_440.0_18-Feb-2008_14:43,0.0,0.0
AF_440.0_18-Feb-2008_15:04,0.002302863243444065,0.9976971367565559
AF_440.0_18-Feb-2008_15:25,0.0,0.0
AF_440.0_18-Feb-2008_15:46,0.002302863243444065,0.9976971367565559
AF_440.0_18-Feb-2008_16:07,0.0,0.0
AF_440.0_18-Feb-2008_16:29,1.0,0.0
AF_440.0_18-Feb-2008_16:52,0.22532751558758043,0.7746724844124195
AF_440.0_18-Feb-2008_17:15,0.0,0.0
AF_440.0_18-Feb-2008_17:38,0.0,0.0
AF_440.0_18-Feb-2008_18:01,0.0,0.0
AF_440.0_18-Feb-2008_18:24,0.0,0.0
AF_440.0_18-Feb-2008_18:47,1.0,0.0
AF_440.0_18-Feb-2008_19:10,1.0,0.0
AF_440.0_18-Feb-2008_19:33,0.8340875096231642,0.16591249037683575
AF_440.0_18-Feb-2008_19:56,1.0,0.0
AF_440.0_18-Feb-2008_20:19,1.0,0.0
AF_440.0_18-Feb-2008_20:48,1.0,0.0
